;Donyell Malen;Emre Can;Gregor Kobel;Ian Maatsen;Jadon Sancho;Jamie Bynoe-Gittens;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Sebastien Haller
Donyell Malen;0.01334989153964;0.131010979822634;0.0627981923571259;0.0658454579186537;0.0756592611999348;0.00953317727546166;0.097995570065457;0.0939081449255173;0.0243019225755646;0.0723165094954075;0.00999392762849428;0.114198257302649;0.0451648720890752;0.17361455333396;0.0103092824704241
Emre Can;0.0133513823820442;0.131013310148105;0.0628010285553755;0.0658471417606274;0.0756613231715243;0.00953353776239692;0.0979944721589423;0.0939060567357515;0.0243024595433432;0.0723159505755637;0.00999235675911852;0.114198432002095;0.0451588723152975;0.173613657446851;0.0103100186829643
Gregor Kobel;0.0133512080336607;0.131013255129505;0.0628010131928187;0.065846995851361;0.0756611433247991;0.00953351945742616;0.0979944804840636;0.0939061662711904;0.0243023972512452;0.0723160170607034;0.00999245357540556;0.114198422719937;0.0451591933354502;0.173613791161075;0.0103099431513589
Ian Maatsen;0.0133515944633102;0.131013406395525;0.062800924093093;0.0658472924440077;0.0756615541213242;0.00953355864328351;0.0979945421442334;0.0939059571349539;0.02430256686847;0.0723158893965716;0.00999234279064361;0.114198120659329;0.0451589448845992;0.17361320456108;0.010310101399576
Jadon Sancho;0.0133515301181735;0.131013414107842;0.0628011222397997;0.0658472870884743;0.0756614968184105;0.00953356149487278;0.0979944244945229;0.0939059171118143;0.0243025142608901;0.0723158908533072;0.00999224687277248;0.114198475432431;0.0451584820795532;0.17361354934183;0.0103100876853062
Jamie Bynoe-Gittens;0.0133513174446173;0.131013288901321;0.0628008776223395;0.0658470809311304;0.0756612806363733;0.00953353181779926;0.0979945381096934;0.093906111453596;0.0243024708672047;0.0723159780267747;0.00999247383441467;0.114198245930645;0.0451593579506031;0.17361345369929;0.0103099927741973
Julian Brandt;0.0133508177604794;0.131012703138262;0.0628004452648255;0.0658465806850291;0.0756606039249664;0.00953343199355619;0.0979946902540994;0.0939066660346055;0.0243022346379143;0.0723161626264969;0.00999279124734571;0.114198525661054;0.0451603951014233;0.173614200070231;0.0103097515997108
Julian Ryerson;0.0133508163332074;0.131012925312;0.0628008422408331;0.0658466275658064;0.0756606568056561;0.00953345473063229;0.0979945412363524;0.0939065223822053;0.0243022196473421;0.0723161600442874;0.00999265902268955;0.114198599786846;0.0451598618702245;0.173614349622886;0.0103097633990315
Karim Adeyemi;0.0133519365589211;0.131013779588062;0.0628012776815683;0.0658476191895101;0.0756619856708425;0.00953361993401174;0.0979944291352496;0.0939056091494956;0.0243027030632565;0.0723157679657273;0.00999209555658417;0.114197992411385;0.045158059412905;0.173612864667364;0.010310260015118
Marcel Sabitzer;0.0133514298601884;0.131013393488673;0.062801009445909;0.0658471659252582;0.0756614013143677;0.00953354330800116;0.097994528431071;0.0939060438418886;0.024302506536427;0.0723159468902216;0.0099923977338283;0.114198160086886;0.045159024792856;0.173613405816875;0.0103100425275491
Marco Reus;0.0133547657550792;0.131015063642858;0.0628007038614929;0.0658497203241658;0.0756649815312581;0.00953390527780461;0.0979949617233375;0.0939041136677895;0.0243039587039224;0.0723148971707278;0.0099913926059103;0.114195122938247;0.0451567899717761;0.173608240256983;0.0103113825686484
Mats Hummels;0.0133513276781875;0.131013271536075;0.0628010018304072;0.065847098238753;0.0756612635146153;0.00953353091222561;0.0979944756296066;0.0939060956217253;0.0243024393511103;0.0723159680204522;0.00999238573039122;0.114198467233295;0.0451589628972035;0.17361371554655;0.0103099962594029
Niclas Fullkrug;0.0133527180994465;0.131014055338846;0.0628009036331356;0.0658481723689292;0.0756628311477401;0.00953368382013341;0.0979947185122476;0.0939052962155673;0.0243030925598874;0.0723155244998426;0.0099920062233375;0.114197023400089;0.0451579981723336;0.173611384743422;0.0103105912650428
Nico Schlotterbeck;0.0133513644086867;0.131013162735393;0.0628007910565125;0.0658470776190057;0.0756612584354353;0.00953351569265972;0.0979945900552879;0.0939061922252378;0.0243024581117267;0.0723159676302169;0.00999246026173278;0.114198315468749;0.0451592431718381;0.173613602694567;0.0103100004329507
Sebastien Haller;0.0133496323381502;0.131010032142415;0.0627965969800132;0.065845040063016;0.0756586157873603;0.00953305850725433;0.0979961539085375;0.0939090115118056;0.0243018010524911;0.0723167299413292;0.00999476525533879;0.114197879152062;0.0451673515280816;0.173614331089154;0.0103090007429901
