;Alejandro Garnacho;Andre Onana;Anthony Martial;Bruno Fernandes;Casemiro;Christian Eriksen;Diogo Dalot;Facundo Pellistri;Lisandro Martinez;Marcus Rashford;Rasmus Hojlund;Scott McTominay;Sergio Reguilon;Victor Lindelof
Alejandro Garnacho;0.0102749098592905;0.049172474860585;0.011555417761221;0.123665878629848;0.095630010528242;0.084820831148859;0.085307308140332;0.0407144876802484;0.0990995321702895;0.126965917744749;0.0279762935423968;0.0148680474204527;0.0966060420414098;0.133342848472076
Andre Onana;0.0102749458601702;0.0491729668955432;0.0115542351130061;0.123663539467473;0.0956316934401264;0.0848191941262765;0.0853062347097312;0.040715045129033;0.0990990625023541;0.126969993104648;0.0279764516835725;0.0148679989798981;0.0966028133901777;0.13334582559799
Anthony Martial;0.0102751757754204;0.0491748560590733;0.0115537716124112;0.123662495062398;0.0956325301250998;0.0848193769644284;0.0853079723865853;0.0407142340743643;0.0991003683814283;0.126973150909671;0.027975996707005;0.0148678674267345;0.0966011201414738;0.133341084373906
Bruno Fernandes;0.0102751162104388;0.0491743544274268;0.0115538985147721;0.123662777220849;0.0956322992882705;0.0848193210551123;0.0853075072562189;0.0407144512997443;0.099100039526342;0.126972309450356;0.027976119319737;0.0148679026394214;0.0966015801520637;0.133342323639246
Casemiro;0.0102750334337586;0.0491731648436182;0.01155433454995;0.123663650692067;0.0956316732409341;0.0848193293832963;0.08530646358734;0.0407147975695609;0.0990993561078462;0.126970379419413;0.0279763783710283;0.0148679656908035;0.096602983111533;0.13334448999885
Christian Eriksen;0.0102749413165962;0.0491727162422375;0.0115546661175611;0.123664378491781;0.0956311065215498;0.0848197316984788;0.0853064919594109;0.040714863068309;0.09909917036125;0.12696859459591;0.0279764170636039;0.0148680143361865;0.0966039945645461;0.133344913662579
Diogo Dalot;0.0102749506963235;0.0491725094310726;0.0115544891789331;0.123664004869693;0.0956313915399854;0.0848192702446204;0.0853058643885732;0.0407150811207963;0.099098885475811;0.126969281333071;0.0279765351269788;0.0148680116900339;0.0966035553541883;0.13334616954992
Facundo Pellistri;0.0102751116099143;0.0491756152595459;0.0115538812577696;0.123662827303171;0.0956321586209858;0.0848201705202179;0.0853095098617559;0.0407138842204835;0.0991010931600531;0.12697211207307;0.0279757186045816;0.0148678817458249;0.0966013375660216;0.133338698196605
Lisandro Martinez;0.0102750465965316;0.0491740814401563;0.0115541586747277;0.123663348934261;0.0956318416295549;0.0848196720174265;0.085307641321422;0.0407144714083711;0.0990999808401098;0.126970914046641;0.0279761282099279;0.014867939405852;0.0966023611498485;0.133342414325169
Marcus Rashford;0.0102749312722957;0.0491729075355667;0.0115551769736626;0.123665407331533;0.0956303343202584;0.0848206991614297;0.085307582475201;0.0407144341489893;0.0990997290565198;0.126966810124361;0.0279762220772551;0.0148680266378064;0.0966053221241755;0.133342416760945
Rasmus Hojlund;0.0102752239178961;0.049175257740222;0.0115535598687918;0.123662050385884;0.0956328642015359;0.0848192270782616;0.0853081707914344;0.0407141451979738;0.0991005678327424;0.126974182702436;0.0279759312637481;0.0148678376396222;0.096600462466029;0.133340518913423
Scott McTominay;0.0102748988651709;0.0491720344284165;0.0115554610694011;0.123665949932179;0.0956299927277064;0.0848206310765467;0.085306704986574;0.0407146648648979;0.0990991683173544;0.126965761994667;0.0279764182050303;0.014868059164491;0.0966062322086349;0.13334402215893
Sergio Reguilon;0.0102751885977841;0.0491750674916336;0.0115534534641321;0.123661865465302;0.0956329685213901;0.0848189669141418;0.0853077922532604;0.0407143545681153;0.0991003348936251;0.126974255261723;0.0279760187950426;0.0148678531204615;0.0966002390248567;0.133341641628532
Victor Lindelof;0.0102750106574653;0.0491749918267458;0.0115543319759851;0.1236637823455;0.0956313987498307;0.0848206038230241;0.0853094322018038;0.0407139882143541;0.0991009217748809;0.12696987736514;0.0279757938836071;0.0148679433946757;0.0966027047974471;0.13333921898954
