;Andre Ramalho;Armel Bella Kotchap;Hirving Lozano;Ismael Saibari;Jerdy Schouten;Joey Veerman;Johan Bakayoko;Jordan Teze;Luuk de Jong;Malik Tillman;Noa Lang;Olivier Boscagli;Sergino Dest;Walter Benitez;Yorbe Vertessen
Andre Ramalho;0.0185846409904941;0.096304415694374;0.0104297097429201;0.0567917746930886;0.0860685700247071;0.116621028948031;0.0858127088675474;0.11962210332858;0.0423108573336822;0.0136260070559417;0.0760862794611536;0.0960720845496684;0.108228564062182;0.0704137753491919;0.00302747989843807
Armel Bella Kotchap;0.0185847339877219;0.0963046577429617;0.0104297637111149;0.0567915386868849;0.0860687933662949;0.116621245864245;0.0858131515733933;0.119621362219645;0.042310718726339;0.013626010867356;0.0760861473649669;0.0960720761264553;0.108228792716701;0.0704135299877774;0.00302747705814191
Hirving Lozano;0.0185845922554746;0.0963042874222757;0.0104296890123462;0.0567918829528353;0.0860685159939546;0.116620959490777;0.0858125893703123;0.119622349408353;0.0423109295269024;0.0136260111154772;0.0760863201679591;0.0960720535153779;0.108228507814595;0.0704138315467032;0.00302748040665603
Ismael Saibari;0.0185857126825134;0.0963071210218042;0.0104303103367668;0.0567892865619421;0.0860708012539066;0.116623056558268;0.0858169986136607;0.119615382252733;0.0423094070643649;0.0136260175271145;0.0760845475626062;0.0960719766335205;0.108230224959911;0.0704117535699544;0.00302740340093358
Jerdy Schouten;0.0185851249721618;0.0963056429728492;0.0104299838337607;0.0567906346048746;0.0860696115349175;0.116621983676927;0.0858147186069325;0.119618925933028;0.0423101943468493;0.0136260144123868;0.07608550562624;0.0960720301579812;0.108229385471763;0.0704127958066575;0.00302744804266953
Joey Veerman;0.0185858030448444;0.096307351009693;0.0104303603161703;0.056789074957984;0.0860709867707637;0.116623229972628;0.0858173590128122;0.119614802031571;0.0423092822855599;0.0136260180900003;0.0760844100170372;0.0960719727560191;0.10823037334975;0.070411578436077;0.00302739794908881
Johan Bakayoko;0.0185852501004297;0.0963059531125454;0.0104300536365673;0.0567903552720726;0.0860698596518476;0.116622196899162;0.0858151854525633;0.11961823283004;0.0423100328844196;0.0136260149791477;0.0760852863434452;0.0960720114356534;0.108229530614658;0.0704126005822285;0.0030274362052203
Jordan Teze;0.0185861124559083;0.0963081241375548;0.010430530866849;0.0567883973592595;0.0860715808828939;0.116623753696286;0.0858184765308242;0.119613121268443;0.0423088929099043;0.013626011306433;0.07608388748376;0.0960719473950528;0.10823069505293;0.07041109780594;0.0030273708479607
Luuk de Jong;0.0185859707816235;0.0963077706878426;0.0104304537331455;0.0567887100855958;0.0860713142000274;0.116623518091149;0.0858179716619842;0.119613886051843;0.0423090750129253;0.0136260132175152;0.0760841244809;0.0960719569702462;0.10823054103365;0.070411310728486;0.00302738326306531
Malik Tillman;0.0185855183098546;0.0963066282036348;0.0104302024145946;0.0567897143493722;0.0860704175909844;0.116622704846441;0.0858162724146702;0.119616507635987;0.0423096506459194;0.0136260250844016;0.0760848584694463;0.0960719838062679;0.108230002939342;0.0704120958820884;0.00302741740699574
Noa Lang;0.018585962306137;0.0963077530903492;0.0104304482457132;0.0567886898656124;0.0860713185996531;0.116623535810078;0.0858180102485255;0.119613755057032;0.0423090509473521;0.0136260249438757;0.076084161867721;0.0960719592815214;0.108230670618168;0.0704112715346669;0.00302738758359365
Olivier Boscagli;0.0185861335490644;0.0963081810843472;0.0104305406403157;0.056788325020548;0.0860716271171108;0.116623809003877;0.0858185875685016;0.11961288904659;0.0423088410409754;0.0136260177218163;0.076083877284283;0.096071954495506;0.108230811834115;0.0704110322336783;0.00302737235927113
Sergino Dest;0.0185851103231597;0.0963056157183979;0.0104299738904675;0.0567906478135949;0.0860695868971817;0.116621985794163;0.0858146948668761;0.119618881351504;0.0423101949226855;0.0136260161656851;0.0760855680093731;0.0960720505720801;0.108229447949501;0.0704127712340266;0.00302745449130318
Walter Benitez;0.0185860770536138;0.0963080340401324;0.0104305071524403;0.0567884710907713;0.0860714849486526;0.116623672181581;0.0858183061658517;0.119613358545182;0.0423089267043116;0.0136260144035474;0.076083958571802;0.0960719627278827;0.108230663179644;0.0704111892399086;0.00302737399467883
Yorbe Vertessen;0.0185860666486012;0.0963080278932133;0.0104305049820142;0.0567884514427041;0.0860715268257607;0.116623749778184;0.0858184192292537;0.119613054160759;0.0423089124783509;0.0136260183243846;0.076084030160768;0.0960719754595321;0.108230835182093;0.0704110424169034;0.00302738501747653
