;Alex Meret;Amir Rrahmani;Eljif Elmas;Giacomo Raspadori;Giovanni Di Lorenzo;Giovanni Simeone;Juan Jesus;Khvicha Kvaratskhelia;Leo Ostigard;Mathias Olivera;Matteo Politano;Piotr Zielinski;Stanislav Lobotka;Victor Osimhen;Zambo Anguissa
Alex Meret;0.035507202652322;0.0125767910510034;0.019346398015688;0.0444042052316123;0.111896507707714;0.00267248318061428;0.0602213743017305;0.092715398652835;0.0547946258303578;0.101090361941748;0.0648750708771971;0.106983081423747;0.12726311610941;0.0817287158444847;0.083924667179536
Amir Rrahmani;0.0355067461999678;0.0125769584934258;0.0193457466215034;0.0444036772834309;0.111897886024786;0.00267253758837751;0.0602217175022998;0.0927131035328838;0.054795384558231;0.101091582615536;0.0648750213967665;0.106984168131324;0.127262052498494;0.0817296252206006;0.0839237923323731
Eljif Elmas;0.0354941873575506;0.012573406302691;0.0193505638740533;0.0444131692669004;0.111877028034541;0.00267252335496278;0.0602079654597783;0.0927332571116804;0.0547796633973095;0.101105702827764;0.0648658034312498;0.106991848517596;0.127263135031973;0.0817523558799186;0.0839193901520315
Giacomo Raspadori;0.0354932237122174;0.0125733373363353;0.0193508199906461;0.0444138523997945;0.11187491666997;0.00267254168653398;0.0602074834130914;0.0927337837650805;0.0547792488088169;0.101107352893115;0.0648661997647793;0.106991505291258;0.127262953030509;0.0817535891339333;0.0839191921039194
Giovanni Di Lorenzo;0.0355017823394892;0.0125754356284269;0.019348013774856;0.0444077993510314;0.111888731597527;0.00267250777677522;0.0602159548692461;0.0927224101286327;0.0547886528017159;0.10109676105058;0.064871263445104;0.106986797214113;0.12726299960504;0.0817384925609045;0.0839223978565592
Giovanni Simeone;0.0355009960823991;0.0125752482240095;0.0193480892930311;0.0444081229387545;0.111888376737939;0.00267252669499679;0.0602152310267232;0.0927229739153745;0.0547878178807244;0.101097837617521;0.0648704119695792;0.106987740068756;0.127262634431752;0.0817401205375793;0.08392187258086
Juan Jesus;0.0355005162735808;0.0125751681962153;0.0193483112750783;0.0444085778655183;0.111886953839558;0.00267252128566179;0.060214823224335;0.0927236298866948;0.0547874451196122;0.101098502343616;0.064870582847038;0.106987596072605;0.127262799702856;0.0817407625804561;0.0839218094871748
Khvicha Kvaratskhelia;0.0354945972918346;0.0125735847460737;0.0193504997394813;0.04441299991542;0.111876980796916;0.00267252255483907;0.0602085833804301;0.0927326047518029;0.0547804009070723;0.101105384593284;0.0648666951832478;0.106990911201442;0.127263200407189;0.0817512818958039;0.0839197526351637
Leo Ostigard;0.0355039302914388;0.0125761736055212;0.0193468784286862;0.0444058920848997;0.111892828679968;0.00267253168616668;0.0602186434209388;0.0927176777307963;0.0547918778764509;0.101094829519195;0.0648732014176936;0.106985638644604;0.127262373698892;0.0817346316934785;0.0839228912212707
Mathias Olivera;0.0354951330675327;0.0125737685491897;0.0193500820899008;0.0444123470407442;0.111878716985315;0.00267253979924837;0.0602092859133066;0.0927310943255376;0.0547812156073;0.101104945122569;0.0648668528621988;0.106991028615358;0.127262786527831;0.0817505018909605;0.0839197016030074
Matteo Politano;0.0355003097267108;0.0125751864751335;0.0193481817514354;0.0444085476671357;0.111887014837668;0.0026725367620058;0.0602147851852268;0.0927231224463822;0.0547874772116276;0.101099065398253;0.0648706347927316;0.106987860791351;0.127262518915623;0.0817411890702122;0.0839215689685026
Piotr Zielinski;0.0354964674643104;0.0125739835298106;0.0193498251307039;0.0444116071910229;0.111880444984055;0.00267251618475403;0.0602102469970586;0.0927301116748359;0.0547821939193922;0.101103087685661;0.064867399406593;0.106990409569035;0.127263117792006;0.081748310673878;0.0839202777968842
Stanislav Lobotka;0.0354998016899757;0.0125749568293897;0.0193486396524766;0.0444092091602523;0.111885419117468;0.00267251532306678;0.06021397759042;0.0927249016889796;0.0547864826846417;0.101099351185918;0.0648702153269073;0.10698790119281;0.127262974781651;0.0817420365954429;0.0839216171806013
Victor Osimhen;0.0354940962004787;0.0125733337464266;0.019350555730406;0.0444131998175644;0.111877150680356;0.00267252277520893;0.0602077031478529;0.0927334041783541;0.0547793365063252;0.101105819729574;0.0648654711366985;0.106992295251217;0.127263110399995;0.0817527673348813;0.0839192333646615
Zambo Anguissa;0.0354995402560266;0.0125748214881898;0.0193487347193457;0.044409351928292;0.111885458259086;0.00267251516977436;0.0602135498122932;0.0927255493421805;0.0547859187468255;0.101099460311553;0.0648695332130796;0.106988454005393;0.127262962316024;0.0817427040434611;0.0839214463884747
