;Abel Ruiz;Adrian Marin;Al Musrati;Alvaro Djalo;Bruma;Cristian Borja ;Jose Fonte;Matheus;Pizzi;Ricardo Horta;Rodrigo Zalazar;Sikou Niakate;Simon Banza;Victor Gomez;Vitor Carvalho
Abel Ruiz;0.0413562866759997;0.0101470636200846;0.152204165087941;0.0606190761977384;0.0772446355875126;0.0719859454976069;0.111790407562867;0.0392575590483405;0.00527851106220277;0.0717045058515827;0.0488925165216361;0.0855533751340122;0.0161508119635987;0.139461690181197;0.0683534500076806
Adrian Marin;0.041357042853507;0.0101470196836089;0.1522046539148;0.0606192007106117;0.0772450211414658;0.071985905483264;0.111790417818184;0.0392576416840097;0.00527837778677623;0.0717039840348237;0.0488919751809604;0.0855525582112489;0.0161500817756061;0.139462144686783;0.0683539750343503
Al Musrati;0.041356534309987;0.0101468074643289;0.152205032924675;0.0606187459538802;0.0772449382677882;0.07198650804533;0.111789860481623;0.0392576727755567;0.00527845531066402;0.071704608528577;0.0488921492566042;0.0855532916911204;0.0161506187566814;0.139461264698571;0.0683535115346137
Alvaro Djalo;0.0413566358704957;0.0101468697037111;0.152204045378911;0.0606184815197712;0.0772452519664186;0.0719868591401329;0.111790347952348;0.0392578497076275;0.00527850422607976;0.0717042940928153;0.0488920210599815;0.0855531799810962;0.0161508666917011;0.139461649718503;0.068353142990408
Bruma;0.0413563384037936;0.0101468105454175;0.152204169618757;0.0606188527339296;0.0772448075092257;0.0719861802170864;0.111789932104102;0.0392578218976206;0.00527852852900614;0.0717045432255181;0.048892438258661;0.0855530783612022;0.0161509093158898;0.139462092746936;0.0683534965328545
Cristian Borja ;0.0413563908150205;0.0101468631119109;0.152204164679308;0.0606190261192222;0.0772448749123412;0.0719861249482404;0.11179005036579;0.0392577623030203;0.00527850301871751;0.0717043846944824;0.0488923784665316;0.0855530684173039;0.0161507174044072;0.139462031235252;0.0683536595084513
Jose Fonte;0.0413566701083904;0.0101466402509243;0.152204293491514;0.0606185690493706;0.0772456989740251;0.0719867433472202;0.1117907228196;0.0392576388138406;0.00527842139189265;0.071704509139301;0.048891860426263;0.0855530313267461;0.0161505700556212;0.139461331426833;0.0683532993784584
Matheus;0.041356565218059;0.0101466048551898;0.15220433266118;0.0606185740863008;0.0772453233244535;0.0719869245456655;0.111790041130432;0.0392578939495369;0.00527846945173237;0.0717045480164087;0.0488918561261166;0.0855529253452779;0.0161505522946269;0.139461879419376;0.0683535095756438
Pizzi;0.0413562429303606;0.010144996604565;0.152204234583741;0.06061844668851;0.0772430414831103;0.0719874921962241;0.111790265931629;0.039258062648642;0.00527868612415533;0.0717072836189461;0.0488905390565695;0.0855525395329551;0.0161495038718815;0.139464824884016;0.0683538398446947
Ricardo Horta;0.0413565674233856;0.0101469407160003;0.152204353446242;0.0606188586978518;0.0772446327635861;0.0719863241994073;0.111790211090435;0.0392577249228638;0.0052785334438433;0.0717043691764137;0.04889225217247;0.0855533752029627;0.0161508045646266;0.139461707411693;0.0683533447682191
Rodrigo Zalazar;0.0413562233151779;0.0101465788054541;0.152204940553336;0.0606190310116791;0.0772452384852736;0.0719861012399143;0.111790238652889;0.0392573332912102;0.00527838514599459;0.0717050087595268;0.0488924811016202;0.0855532177764308;0.0161505732932867;0.139460856423164;0.0683537921450426
Sikou Niakate;0.041356475298052;0.0101467947398025;0.152204560329252;0.0606188474383446;0.0772446888576673;0.071986306233848;0.11179008915679;0.0392576856692972;0.00527849966911813;0.0717046552141581;0.0488922369881569;0.0855532312022967;0.0161506874949377;0.139461745167974;0.068353496540306
Simon Banza;0.041356395935095;0.0101466691962424;0.152203799309234;0.0606188063859605;0.0772453366249402;0.0719863653879046;0.111790085151038;0.0392579361459742;0.00527849673054899;0.071704409156254;0.0488922140124807;0.0855527105916768;0.0161507499378451;0.139462415690273;0.0683536097445316
Victor Gomez;0.041356543971519;0.0101468294511022;0.152204867657662;0.0606186301642466;0.0772454569831982;0.0719866031446083;0.111789710445389;0.0392578424372156;0.00527845385293563;0.0717043027691057;0.0488920966958912;0.0855531776934925;0.0161507231060197;0.139461329789562;0.0683534318380527
Vitor Carvalho;0.0413563773238796;0.0101466991530405;0.152204530599284;0.0606184789249828;0.0772453841712161;0.0719869555641482;0.111789838184755;0.0392578564644046;0.00527847869474324;0.0717045988171408;0.0488920298598966;0.0855532419069675;0.0161507715988063;0.139461415354326;0.0683533433824096
