;Adam Marusic;Alessio Romagnoli;Ciro Immobile;Daichi Kamada;Danilo Cataldi;Felipe Anderson;Gustav Isaksen;Ivan Provedel;Luca Pellegrini;Luis Alberto;Manuel Lazzari;Matias Vecino;Matteo Guendouzi;Mattia Zaccagni;Patric Gil;Pedro Rodriguez
Adam Marusic;0.101647146026842;0.0987901462562597;0.0262375169527843;0.054665983038134;0.0176224841366537;0.0319046997265679;0.0277398929341647;0.01404695632327;0.0710167623635429;0.158027552296207;0.0508273211477845;0.0935473290119081;0.034554732800783;0.0861113701921459;0.103538173623314;0.0297219331696375
Alessio Romagnoli;0.101646999441726;0.0987900848057925;0.0262374727332054;0.054665903544269;0.0176225669033523;0.0319047632321293;0.027740207692482;0.0140469450883829;0.0710165904785759;0.158027168552478;0.0508276227636843;0.093547173698193;0.0345551123139084;0.0861111295174172;0.103538337151425;0.0297219220829777
Ciro Immobile;0.101646450644529;0.0987897733247368;0.0262373099432393;0.0546656517135886;0.0176229287626341;0.0319049792350636;0.027741418527143;0.0140469102479592;0.0710159808367346;0.158026008868627;0.0508287842416414;0.0935465614400551;0.0345564137814563;0.086110072411785;0.103538935928475;0.0297218200923317
Daichi Kamada;0.101646076019557;0.0987895703397449;0.0262371986885777;0.0546654750580812;0.0176231707537182;0.0319051280243331;0.0277422413480727;0.0140468855003222;0.0710155616230269;0.158025178588053;0.0508295798563396;0.0935461453718823;0.0345573255269901;0.0861093619575871;0.103539344460803;0.0297217568829115
Danilo Cataldi;0.101642888313541;0.098787855075073;0.0262362483905961;0.0546639630739079;0.0176252083808407;0.0319064072506245;0.0277492250890306;0.0140466748371689;0.0710119847948899;0.158018148993491;0.0508362836329273;0.0935426236202942;0.034565033722731;0.0861033885665207;0.103542837456385;0.0297212288019783
Felipe Anderson;0.101644423087272;0.0987886765188192;0.0262367063376825;0.0546646934665814;0.017624231193815;0.0319057896051738;0.0277458657985234;0.0140467765981017;0.0710137088484971;0.15802154254334;0.0508330617299666;0.0935443167499775;0.0345613195783723;0.0861062538104827;0.103541154128175;0.0297214800052197
Gustav Isaksen;0.101636373791856;0.0987842952142265;0.0262343099212744;0.0546609022377715;0.0176294134700069;0.0319090046119528;0.0277635293526731;0.0140462488621168;0.0710046970525034;0.158003933120035;0.0508500248498944;0.0935354026304669;0.0345807184391324;0.0860910712113223;0.103549963212394;0.0297201120223747
Ivan Provedel;0.101645934580038;0.0987894938161482;0.0262371564964017;0.054665408247581;0.0176232612643641;0.0319051847268478;0.0277425510959849;0.0140468761956231;0.0710154031203567;0.1580248690566;0.0508298769492516;0.0935459890425795;0.0345576666265632;0.0861090962623205;0.103539499455306;0.0297217330640339
Luca Pellegrini;0.101648421587925;0.098790844040087;0.0262378963667503;0.0546665822690786;0.0176216599486985;0.0319041912594249;0.0277370907608313;0.0140470396590874;0.0710181893501541;0.158030335361382;0.0508246300011984;0.0935487430567038;0.0345516640225716;0.086113782039523;0.103536778376774;0.0297221518998103
Luis Alberto;0.101647832636485;0.0987905236056956;0.0262377214486395;0.0546663047046842;0.0176220406782857;0.0319044256344988;0.0277383852815073;0.0140470009387284;0.0710175300984467;0.15802903723601;0.0508258773062379;0.0935480896384836;0.0345530890656847;0.0861126678820944;0.103537421582396;0.0297220522621226
Manuel Lazzari;0.101639549946153;0.0987859932871303;0.0262352587305055;0.0546624120426498;0.017627394967518;0.0319077266787637;0.0277565864578195;0.0140464596114137;0.0710082630629278;0.158010946140571;0.0508433595108233;0.0935389071023999;0.0345730187384945;0.0860970089479081;0.103546480204213;0.0297206345707098
Matias Vecino;0.101646649351013;0.0987898939935066;0.0262373684958057;0.0546657389320867;0.0176227924791551;0.0319049028759181;0.0277409758106393;0.0140469221509969;0.0710161987816683;0.158026403518762;0.0508283611410757;0.0935467857116813;0.0345559567236029;0.0861104677395337;0.103538720080805;0.029721862213751
Matteo Guendouzi;0.101636568756458;0.0987843707169038;0.026234372807101;0.0546610069059674;0.0176293201214614;0.0319089146889303;0.027763137291556;0.0140462638298638;0.0710049253391372;0.158004390229026;0.0508496624834582;0.093535601940539;0.0345802189107513;0.0860913773037248;0.103549738587229;0.0297201300878931
Mattia Zaccagni;0.101648378700826;0.0987908357915518;0.0262378828644773;0.0546665534757505;0.0176216770332467;0.031904213055674;0.0277371779946881;0.0140470355745832;0.0710181347648051;0.158030195076269;0.0508247105371277;0.0935487021312611;0.0345517853725688;0.0861137330308608;0.103536828754945;0.0297221558413646
Patric Gil;0.101644813037939;0.0987888867879925;0.0262368225551151;0.0546648780515913;0.0176239814511909;0.0319056334388065;0.0277450112804869;0.0140468023431245;0.0710141460690818;0.158022402014059;0.0508322403087281;0.0935447480628865;0.0345603756246674;0.0861069867200901;0.103540727177152;0.0297215450770892
Pedro Rodriguez;0.101646470049277;0.0987897945763752;0.0262373152695198;0.0546656552830864;0.0176229093086725;0.0319049740446695;0.027741370687879;0.0140469105526097;0.0710159985965082;0.158026016014119;0.0508287399554871;0.0935465865405178;0.0345563854324002;0.0861101269243091;0.103538916045917;0.0297218307186523
