;Alistair Johnston;Callum McGregor;Daizen Maeda;Greg Taylor;Gustaf Lagerbielke;Hyeon-gyu Oh;Hyun-jun Yang;Joe Hart;Kyogo Furuhashi;Liam Scales;Luis Palma;Matt O'Riley;Paulo Bernardo;Reo Hatate;Tomoki Iwata
Alistair Johnston;0.100294608371003;0.0970950177947056;0.0330068695530503;0.0876353175352229;0.130178113774627;0.00834418119297688;0.022874709730903;0.0801634759067213;0.0201512125708017;0.175037443912704;0.0754322447785518;0.079732305743651;0.005718511455624;0.0636910666426574;0.0206449210368003
Callum McGregor;0.100295255245597;0.0970940302513064;0.0330068535153667;0.0876344071448651;0.130177225732317;0.00834416795888457;0.0228741974571969;0.0801632515135063;0.020151203846378;0.175039907347722;0.0754331136145198;0.0797325475588588;0.00571855809106519;0.0636904460772295;0.0206448346451865
Daizen Maeda;0.100295653180873;0.0970934860959815;0.0330068451024473;0.0876338856215663;0.130176691554956;0.00834413286710877;0.0228738916508839;0.0801631277806894;0.0201511942701921;0.175041423022058;0.0754336199908907;0.0797326699183036;0.00571855862024174;0.0636900695721277;0.0206447507516794
Greg Taylor;0.100296144742201;0.0970929505071316;0.0330068327193061;0.0876332892079807;0.130175980465684;0.00834408068037791;0.0228736118909511;0.0801629720312804;0.0201511686426764;0.175043223184659;0.0754341780218239;0.0797327797263877;0.00571855148365165;0.0636895763628289;0.0206446603330589
Gustaf Lagerbielke;0.100296341567226;0.0970927145439617;0.0330068157853797;0.087632973349164;0.130175527144164;0.00834417622666467;0.0228736573743276;0.0801628325004576;0.0201511524802428;0.175043764067882;0.0754343959022704;0.0797328710845978;0.00571867289403681;0.063689300597671;0.020644804481953
Hyeon-gyu Oh;0.100294367806039;0.0970958714539584;0.0330067750630957;0.0876352607687889;0.130176785775162;0.00834510872509769;0.0228766732242758;0.0801628858872176;0.0201511045371066;0.175034652922684;0.0754315766488675;0.0797324185990726;0.00571948785719221;0.0636905188544876;0.0206465118769551
Hyun-jun Yang;0.100295455576233;0.0970943505480783;0.0330067445333665;0.0876337683441775;0.130175209219382;0.00834509720129808;0.0228759405872616;0.0801624909183356;0.0201510748923497;0.175038685198958;0.0754329678563233;0.0797327910258917;0.00571957950421528;0.0636894334140383;0.0206464111800918
Joe Hart;0.10029552736303;0.0970936992371095;0.0330068545423369;0.0876341134082635;0.13017697338812;0.00834405897492301;0.0228738953317484;0.0801632248047319;0.0201511982623509;0.175041063274081;0.0754334463354062;0.0797325879348875;0.00571846785341719;0.0636902385227545;0.020644650766839
Kyogo Furuhashi;0.100295263379781;0.0970939778949551;0.033006872010763;0.0876344941275146;0.130177520119193;0.0083439829788557;0.0228738817864856;0.0801633803481854;0.0201512202299943;0.175040275287052;0.0754331642107277;0.0797324942508991;0.00571836022857415;0.0636905807283562;0.0206445324186636
Liam Scales;0.100294636012675;0.0970947505099243;0.0330068894261292;0.0876353040409841;0.130178440018785;0.00834401421201066;0.0228742585296456;0.0801635977715735;0.0201512458716854;0.175037980983621;0.0754324113245635;0.0797323163050477;0.00571833256073909;0.0636912129117453;0.0206446095208714
Luis Palma;0.100295121168455;0.0970941825850907;0.0330068714257189;0.0876346641970238;0.130177648541723;0.00834403290469763;0.022874053215514;0.0801633973263609;0.0201512208410842;0.175039658718463;0.075432975219987;0.0797324626149679;0.00571840014298043;0.063690688045221;0.0206446230527117
Matt O'Riley;0.100295361703182;0.0970938705786948;0.0330068565570226;0.0876342944244248;0.130177169349961;0.00834410711899447;0.0228740268974212;0.0801632552121277;0.0201512062737493;0.175040407941194;0.0754332617318132;0.0797325655799298;0.00571850294066744;0.0636903859979397;0.0206447276928774
Paulo Bernardo;0.100295504721963;0.0970939484431571;0.0330068418804483;0.0876341593493302;0.130176747841721;0.00834415943705529;0.0228742323642607;0.0801631467254377;0.020151171274693;0.175040657854625;0.0754333013929874;0.0797325595691758;0.00571857585906207;0.063690139733616;0.0206448535524671
Reo Hatate;0.100295196070719;0.0970941109587237;0.0330068719866041;0.0876345886575944;0.130177571922875;0.00834400074603887;0.0228739840221981;0.080163389041541;0.0201512170410691;0.175039970888147;0.0754330586357521;0.0797324671213518;0.00571837339104223;0.0636906260304733;0.0206445734858714
Tomoki Iwata;0.100295657137216;0.0970941773741007;0.0330067558762105;0.0876336570403041;0.130175192040838;0.00834488641805163;0.0228755767025687;0.0801625584682125;0.0201510730694516;0.175039705390612;0.0754331909601534;0.0797327551070682;0.00571937393033991;0.0636893589719855;0.0206460815128886
