;Alexander Isak;Anthony Gordon;Bruno Guimaraes;Callum Wilson;Dan Burn;Elliot Anderson;Fabian Schar;Jacob Murphy;Kieran Trippier;Miguel Almiron;Nick Pope;Sandro Tonali;Sean Longstaff;Sven Botman
Alexander Isak;0.081932374164307;0.0534464418387528;0.100302732409141;0.0152875460430883;0.0593647340479887;0.0168601947054272;0.105335647161915;0.0783281635775313;0.167306588572336;0.0326854316289885;0.0264114654567841;0.0486130967402679;0.120787574112456;0.0933380095410171
Anthony Gordon;0.0819315286506177;0.0534488687535414;0.100300389306877;0.0152874367413621;0.0593619621375154;0.0168599889287373;0.105332787027232;0.0783270554183746;0.167308378937737;0.0326857556213559;0.0264112874968401;0.048614539521617;0.120788040119741;0.0933419813384521
Bruno Guimaraes;0.0819322531467461;0.0534466109463197;0.100302440083442;0.015287541998818;0.0593643439550609;0.0168601908087267;0.10533542204901;0.0783280440072612;0.167306876793494;0.0326854880190452;0.0264114602447669;0.0486131587712103;0.120787689217099;0.0933384799590002
Callum Wilson;0.0819321797909855;0.0534467034836334;0.100302280371977;0.0152875420714117;0.0593641278322835;0.016860182958374;0.105335296830962;0.0783279949462892;0.167307015207284;0.0326855286656902;0.0264114630650015;0.0486131910723824;0.120787753343785;0.0933387403599411
Dan Burn;0.0819326595841075;0.0534458832779579;0.100303476786333;0.0152875543603139;0.0593656750309222;0.0168602323233722;0.105336356605187;0.0783284674419263;0.167305984845452;0.0326853058292226;0.0264114832817803;0.0486128271940303;0.120787298264054;0.0933367951753417
Elliot Anderson;0.0819314359502854;0.0534490098565121;0.100300146065989;0.0152874345144787;0.0593616439317161;0.0168599887707042;0.105332600937909;0.0783269474720449;0.167308614911657;0.0326857942074851;0.0264112816962915;0.0486145920853831;0.120788144024189;0.0933423655753549
Fabian Schar;0.081932184278276;0.0534467149669503;0.100302276539472;0.0152875402333363;0.0593641291836604;0.0168601847239295;0.105335285982147;0.0783279821251039;0.167307023976975;0.0326855219663627;0.0264114585849114;0.0486132014444048;0.120787750905726;0.0933387450887452
Jacob Murphy;0.0819320871677008;0.053447002633034;0.100302053364918;0.0152875101899929;0.0593638678628882;0.0168601600396089;0.105334978218979;0.0783278596433594;0.167307252160111;0.0326855645568466;0.0264114225534475;0.0486133885717332;0.120787708297999;0.093339144739381
Kieran Trippier;0.0819315999319562;0.0534484524288733;0.100300564938375;0.0152874787774361;0.0593621117500676;0.0168600434304526;0.105333210797197;0.0783271678309296;0.167308271304191;0.0326857277559808;0.0264113403521476;0.0486142246205293;0.120788182351834;0.0933416237300301
Miguel Almiron;0.0819316532456232;0.0534482396640145;0.10030076975493;0.0152874783899921;0.0593623410713725;0.0168600609360919;0.105333472385716;0.0783272670589768;0.167308166497532;0.0326857179851194;0.026411350464624;0.0486140977509541;0.120788097359351;0.0933412874357035
Nick Pope;0.0819313328933212;0.0534492369517885;0.100299827490131;0.0152874400450435;0.0593612390985753;0.0168599765096662;0.105332290344893;0.0783268138285829;0.167308842214439;0.0326858292933553;0.0264112793972017;0.0486146964767148;0.120788311509409;0.0933428839468796
Sandro Tonali;0.0819306988924971;0.0534514915536344;0.100297983612092;0.0152873286893377;0.0593591769618071;0.0168597543819686;0.105329705377132;0.0783259027483331;0.167310080456127;0.0326860531229014;0.0264110971465608;0.0486161371708749;0.120788518908349;0.0933460709783847
Sean Longstaff;0.0819316716098168;0.0534481947749817;0.100300830906504;0.0152874807672278;0.0593624182882357;0.0168600599703985;0.105333531285411;0.0783273035005446;0.167308101142725;0.0326857147935621;0.0264113558830654;0.0486140750806423;0.120788074630718;0.0933411873661677
Sven Botman;0.0819313014493091;0.0534494466952718;0.100299758921514;0.0152874178126056;0.0593611983747746;0.0168599456010143;0.105332087513236;0.0783267685834207;0.167308869194662;0.0326858442806511;0.0264112525043371;0.0486148611729226;0.120788218572076;0.0933430293242049
