;Alessandro Florenzi;Christian Pulisic;Davide Calabria;Fikayo Tomori;Malick Thiaw;Marco Sportiello;Mike Maignan;Olivier Giroud;Rade Krunic;Rafael Leao;Ruben Loftus-Cheek;Samuel Chukwueze;Theo Hernandez;Tijjani Reijnders;Tommaso Pobega;Yunus Musah
Alessandro Florenzi;0.0660676923902572;0.0215181531800593;0.0335375506696557;0.113805224995983;0.0968156008442557;0.00778087487960484;0.0725285987002572;0.0263591309396633;0.155216183631368;0.0679415086742609;0.04648550000108;0.0675541202856791;0.102449048191659;0.0427662253486652;0.0436709016810522;0.0355036855864995
Christian Pulisic;0.0660702003755301;0.0215164938897739;0.0335394052623471;0.113809611376775;0.0968143342547546;0.00778084496356621;0.072526926806851;0.0263603591981143;0.155213341806624;0.0679416088383722;0.0464876607645807;0.0675505757815279;0.102446281803959;0.0427653051927977;0.0436710684707312;0.0355059812136941
Davide Calabria;0.0660664163401508;0.0215167948685515;0.0335378711214006;0.113804411716775;0.0968146701876786;0.00778081313495882;0.0725286732404009;0.0263591483602614;0.155216353314841;0.0679434291978519;0.0464861774230564;0.067554937772944;0.102449068455923;0.0427662609844605;0.0436720175134966;0.0355029563672493
Fikayo Tomori;0.0660688162921812;0.0215189446645127;0.0335370999933403;0.113806805206988;0.0968163063722333;0.00778105376078194;0.0725296120054486;0.026358802852;0.155216260523045;0.067939936245589;0.0464842025454697;0.0675521784689624;0.102449222691428;0.0427665287277124;0.0436697083962664;0.0355045212540415
Malick Thiaw;0.0660696782905917;0.0215165455280479;0.0335391189940837;0.113809755078627;0.0968147891004002;0.00778088127323813;0.0725272550517402;0.0263599130763837;0.155213759510122;0.0679416160724353;0.0464868726215191;0.0675505801112759;0.102446854172906;0.0427656681352838;0.0436711076689949;0.0355056053143498
Marco Sportiello;0.06606978066296;0.0215184546286696;0.0335377266853283;0.113809033828773;0.0968162335875876;0.007781042945396;0.0725287283350231;0.0263590975517686;0.155215057868302;0.0679399352190036;0.0464846635573194;0.0675505628513438;0.102448290442027;0.0427662720755527;0.0436696875237573;0.0355054322371876
Mike Maignan;0.0660697272325129;0.021516990355243;0.0335389074646122;0.11380964157717;0.0968153343356713;0.00778090631772978;0.0725274854962068;0.0263597192701941;0.155213946156573;0.0679411154203931;0.0464864127197276;0.0675505842929337;0.102447258159092;0.0427657346188504;0.043670721134362;0.0355055154487286
Olivier Giroud;0.06606780351804;0.0215165024633449;0.033538118670209;0.113807338860854;0.0968149280850232;0.00778082685276311;0.072527523714524;0.0263589670122561;0.155215516035071;0.0679430928375499;0.0464857489973919;0.0675520074596686;0.102448875082049;0.042766532390315;0.0436720086301665;0.0355042093907739
Rade Krunic;0.0660699731640835;0.0215176650386438;0.0335383242163797;0.113809535182004;0.0968155669664408;0.00778096922578626;0.0725279201455497;0.0263594687400368;0.155214434585134;0.0679405932830701;0.0464856255375091;0.0675502710110202;0.1024476367054;0.0427660268346443;0.0436702905797886;0.0355056987845091
Rafael Leao;0.0660690433498804;0.0215191683659801;0.0335364734714873;0.113807674335421;0.0968163692268686;0.00778110238047776;0.0725294745718759;0.0263583005652171;0.155216690111476;0.0679400380373048;0.0464831102117872;0.0675509473598318;0.102449706182034;0.0427671837788872;0.0436697991184129;0.0355049189330578
Ruben Loftus-Cheek;0.066069418746316;0.021517673924814;0.0335372783893131;0.113809716216435;0.0968154449917253;0.00778103100226;0.07252823452448;0.0263586496595839;0.155215438429265;0.0679416745711625;0.0464840830917507;0.0675493765505693;0.102448658424584;0.0427669872715943;0.0436706561733041;0.0355056780328433
Samuel Chukwueze;0.0660687422567527;0.0215164755868726;0.033538327983427;0.113808472745622;0.0968148122667317;0.00778087066052478;0.0725275038414421;0.0263591610492409;0.155215007465118;0.0679426059755295;0.0464858743545688;0.067550744935264;0.102448391941804;0.0427664042289478;0.0436716378719754;0.0355049668361782
Theo Hernandez;0.0660711227866756;0.0215178461369279;0.0335380119141026;0.113811961860036;0.0968157423304075;0.00778107486008422;0.0725278181545089;0.0263591646430881;0.155214138757776;0.0679401181996125;0.0464845988476275;0.0675477031037313;0.102447500219004;0.0427664753750413;0.0436698684438657;0.0355068543675111
Tijjani Reijnders;0.0660710017603872;0.0215175635456687;0.0335385831314867;0.113811126403019;0.0968154373189601;0.00778099489642744;0.0725275361534494;0.0263597069794699;0.155213651546959;0.0679403802707306;0.0464858057420904;0.0675487810927524;0.102446947057551;0.0427658626260531;0.0436699920609172;0.0355066294140778
Tommaso Pobega;0.0660710784467959;0.0215180170812328;0.0335375181372988;0.113812094846934;0.0968159869000469;0.00778110898030504;0.0725280289047434;0.0263587900966948;0.155214428364916;0.0679405556102936;0.0464838295449314;0.0675470666407998;0.102448085052395;0.0427667754394899;0.0436696698297114;0.0355069661234108
Yunus Musah;0.0660699491696226;0.0215177433409654;0.0335383890242606;0.113808729158414;0.096815447580207;0.00778092819021909;0.0725278076395689;0.0263596445212223;0.155214448643387;0.0679406716673049;0.0464860481037241;0.0675508420458804;0.102447651121302;0.0427658239188656;0.0436702998462229;0.0355055760288335
