;Donyell Malen;Emre Can;Felix Nmecha;Gregor Kobel;Jamie Bynoe-Gittens;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marco Reus;Marius Wolf;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Niklas Sule;Ramy Bensebaini
Donyell Malen;0.0348530157607414;0.0729045697184459;0.103432504837515;0.0376804892978788;0.0358135893655944;0.0813787066984484;0.0817401529340384;0.0596465881283812;0.0623986702279135;0.0562826987193659;0.0948356675559677;0.0481033150558595;0.130778245664928;0.0629852560536718;0.0371665299812493
Emre Can;0.0348526609996034;0.0729041707264236;0.103432677054316;0.0376808264761682;0.0358138581775637;0.0813786798345168;0.0817406378882103;0.0596466218706772;0.0623987693806962;0.0562826020253293;0.0948356048115889;0.0481038136849518;0.130777473541552;0.0629849414083741;0.0371666621200279
Felix Nmecha;0.0348520189620491;0.0729033430701403;0.103433281590109;0.0376797134422679;0.0358159919973528;0.0813761223695486;0.0817403966476621;0.0596464968434848;0.062400527328258;0.0562817212565178;0.0948357462854398;0.0481049830148382;0.130777549877279;0.0629852835176057;0.0371668237974463
Gregor Kobel;0.034852448853867;0.0729030355296032;0.103434970442366;0.0376790447214499;0.0358151328246104;0.0813757889062865;0.0817388977855539;0.0596461989577241;0.0623997782327423;0.0562811840460078;0.0948359323305778;0.0481060980244127;0.13077952182529;0.0629858259160081;0.0371661416034996
Jamie Bynoe-Gittens;0.0348490811590914;0.0729004413398017;0.103433732295303;0.0376829881866399;0.0358181153002939;0.0813766112982595;0.0817450865587378;0.0596469283050301;0.0624012874810115;0.0562813966540657;0.0948351251583057;0.0481082403340991;0.130770353561293;0.0629824230818582;0.0371681892862093
Julian Brandt;0.0348530888263146;0.0729043228847917;0.103433270025778;0.0376799452425127;0.0358136875800365;0.0813780261431257;0.0817394569491516;0.0596464410584255;0.0623987581269811;0.056282309126556;0.0948357756638677;0.048103932977457;0.130779124383746;0.0629855781062834;0.0371662829049722
Julian Ryerson;0.0348523404285935;0.072903005226323;0.103434794993918;0.0376794367257609;0.0358150125273898;0.0813762011558453;0.0817393052972538;0.0596462623469729;0.0623996240725507;0.0562813272977589;0.0948358638514277;0.0481060448632455;0.130778961561513;0.0629855754121796;0.0371662442392666
Karim Adeyemi;0.0348509601419503;0.0729026116278552;0.103432674527866;0.0376817149103844;0.0358162383344858;0.08137748841976;0.0817428719716212;0.059646819547722;0.0624003436223525;0.0562821260393106;0.0948353770855165;0.0481054592614793;0.130773977238968;0.0629838105968364;0.0371675266738913
Marco Reus;0.0348505086937327;0.0729012200620987;0.10343504698909;0.0376804870007367;0.0358173712707884;0.0813750598434841;0.0817416650412377;0.0596464487412732;0.0624011073872654;0.0562807742390763;0.0948356139942732;0.048108046481257;0.130775232443735;0.0629843121088242;0.0371671057031268
Marius Wolf;0.0348526087247164;0.0729036553280857;0.103433811183758;0.0376800585104773;0.03581427000153;0.081377492193061;0.0817397897387965;0.0596464192919613;0.0623990796491409;0.0562819666916497;0.0948357535644438;0.0481048920132722;0.130778486354322;0.0629853394086932;0.0371663773460914
Mats Hummels;0.0348522453097265;0.0729031911701331;0.103434141018143;0.0376796384407381;0.0358152672754186;0.0813763509769156;0.0817397808154223;0.0596463671771008;0.0623998705841967;0.056281546953502;0.0948358039537446;0.0481055430582343;0.130778357923095;0.0629854229099994;0.0371664724336293
Niclas Fullkrug;0.0348509819213071;0.0729012703868461;0.103436024627449;0.0376770859271572;0.0358195445917766;0.081370793036325;0.0817388180776079;0.0596460059030693;0.0624033536423778;0.0562794798742418;0.0948361661147028;0.0481084846762265;0.130779097585192;0.0629862965086075;0.0371665971271126
Nico Schlotterbeck;0.0348516712804917;0.0729034800400983;0.103432154719138;0.0376813477014441;0.0358154593009812;0.081377989460563;0.0817421493658791;0.0596468017886021;0.0623999256242513;0.0562824805438441;0.0948354517427309;0.0481043000987662;0.130775207266826;0.0629842733467706;0.0371673077196124
Niklas Sule;0.0348512349620601;0.0729028911361308;0.10343261449334;0.0376811989580165;0.0358162609317316;0.0813771393323684;0.0817423192324104;0.059646761980881;0.062400485659776;0.0562820883119465;0.0948354647178062;0.0481051407312116;0.130774807051375;0.0629841888102049;0.0371674036907403
Ramy Bensebaini;0.034852886948136;0.0729029610739563;0.103436120322261;0.0376782913993695;0.0358145695797318;0.0813753411935929;0.0817375562538928;0.0596459603035326;0.0623993512292004;0.0562807814933173;0.0948361092096835;0.048106715835231;0.130781340518211;0.0629864101998765;0.0371656044400068
