;Benjamin Henrichs;Benjamin Sesko;Castello Lukeba;Christoph Baumgartner;Christopher Lenz;David Raum;Emil Forsberg;Janis Blaswich;Kevin Kampl;Lois Openda;Mohamed Simakan;Timo Werner;Xaver Schlager;Xavi Simons;Yussuf Poulsen
Benjamin Henrichs;0.10561997654069;0.0278533369050601;0.109385115493147;0.0150667216259297;0.00227384279235895;0.104009161698144;0.0544160407873032;0.0688365410465576;0.111843975190048;0.0741968926693423;0.0831391136138182;0.00539069073919115;0.0981342261219763;0.113512274292881;0.0263220904835523
Benjamin Sesko;0.10561893300258;0.0278573870231143;0.109378325798136;0.0150659593500722;0.00227342252851016;0.104010390966142;0.0544167088920443;0.0688310367750214;0.11184488049311;0.0742025834809772;0.0831356915708143;0.00539019170614739;0.0981305426429842;0.113521241244742;0.0263227045256034
Castello Lukeba;0.105616455279946;0.0278518840727328;0.109387867462519;0.0150676706868229;0.00227403846749027;0.104010352368211;0.0544152408881956;0.068839876893407;0.111842386146574;0.0741908005489006;0.0831438204887895;0.0053909633409493;0.0981336626178615;0.113512496239278;0.0263224844983236
Christoph Baumgartner;0.105615803403587;0.0278513526417279;0.10938897762703;0.015067909037761;0.00227411627634084;0.104010608388462;0.0544149940818011;0.0688408742618698;0.111841954479605;0.074188918626538;0.0831450872417439;0.00539106058014361;0.098133741487325;0.113512082886299;0.026322518979765
Christopher Lenz;0.105613744139563;0.0278498841371485;0.109391619840763;0.0150684914086529;0.00227432592573795;0.104011039801247;0.0544143780856048;0.0688437018201362;0.111841252469837;0.074184086071124;0.0831488286922297;0.00539136927112871;0.0981339075859408;0.113510701242036;0.0263226695088509
David Raum;0.105615653536846;0.0278519744878134;0.109387699079253;0.0150677348206647;0.00227405251362089;0.104010839881952;0.0544150543794103;0.0688400804839651;0.111842298518741;0.0741898502969438;0.0831445619039413;0.00539102071290843;0.0981331382951615;0.113513434898714;0.0263226061900649
Emil Forsberg;0.105618003931592;0.0278515762225212;0.109388522571813;0.0150675381070849;0.00227405067925708;0.104009625518746;0.0544154547371455;0.0688397244770141;0.11184257806272;0.0741918687518438;0.083142691445449;0.00539092323371996;0.0981346973294963;0.113510535275299;0.0263222096562968
Janis Blaswich;0.105617812447468;0.0278521642662786;0.109387422718806;0.0150673682798588;0.00227400854184775;0.10400994394418;0.0544154235779461;0.0688390075615404;0.111842843277078;0.0741923014630099;0.0831424741298178;0.005390913860011;0.0981340601153967;0.11351196354258;0.0263222922741801
Kevin Kampl;0.105614221326106;0.0278517750557467;0.109388215731331;0.0150679875525028;0.0022741038227594;0.104011297000757;0.0544148199648583;0.0688408363472107;0.111841926571226;0.0741879271260198;0.0831462037306673;0.00539110202856949;0.0981326296123212;0.113514147394818;0.0263228067351061
Lois Openda;0.105617653591506;0.0278547163201302;0.109382416770625;0.0150667493523393;0.00227369791148719;0.104010414025387;0.0544159889120469;0.0688354425309431;0.111843917156208;0.0741973405067955;0.0831394542618304;0.00539058781437166;0.0981319844024679;0.113517021618564;0.0263226148252976
Mohamed Simakan;0.105613430061872;0.0278537301675579;0.109384596816535;0.0150676662729311;0.00227387894775333;0.104012038269299;0.0544151169085317;0.0688383410275252;0.111842340937401;0.0741908379461049;0.0831445497567335;0.00539086003806456;0.0981306903430664;0.11351876604475;0.0263231564618739
Timo Werner;0.105614731751092;0.0278511150113882;0.109389584413007;0.0150681222917562;0.00227416882152679;0.104010938067958;0.0544147919667959;0.0688415589413643;0.111841619486523;0.0741872291046825;0.0831464660828908;0.00539113417766588;0.0981334281244411;0.113512453700707;0.0263226580582012
Xaver Schlager;0.105616413239912;0.0278519491776832;0.109387877064391;0.0150676478767766;0.00227404606410111;0.104010426178567;0.0544152136368557;0.0688397920529864;0.111842411098801;0.0741906032828359;0.0831439109024635;0.00539097453395987;0.098133577256322;0.113512667843746;0.0263224897905991
Xavi Simons;0.105614737441333;0.0278540855875865;0.109383878918088;0.0150673786640918;0.00227381983958415;0.104011613771094;0.0544153761973781;0.0688373806574734;0.111842798432229;0.0741928362835229;0.0831429140402769;0.0053907709116509;0.0981310358241695;0.113518383345651;0.0263229900858699
Yussuf Poulsen;0.105616344927556;0.0278517417302545;0.109388153117044;0.0150676857373278;0.00227406806592589;0.104010403612292;0.0544151675864129;0.0688401246296284;0.111842426305856;0.0741902641239038;0.0831441622489742;0.0053910128446865;0.0981337088225282;0.113512260567525;0.026322475680085
