;Aleksandar Dragovic;Cherif Ndiaye;In-beom Hwang;Jean-Philippe Krasso;Kings Kangwa;Marko Stamenic;Milan Rodic;Mirko Ivanic;Nasser Djiga;Omri Glazer;Osman Bukari;Peter Olayinka;Srdjan Mijailovic;Stefan Mitrovic;Vladimir Lucic
Aleksandar Dragovic;0.0854313492077412;0.0368194774722155;0.108489703300624;0.0385899302206546;0.0317254460302448;0.0961468352298267;0.0422668622890757;0.0505665968900519;0.0917442713310069;0.0649473331844659;0.0773172007207271;0.0412430589026262;0.102728661982167;0.0986225348669885;0.0333607383715842
Cherif Ndiaye;0.0854304320920902;0.0368243980380519;0.108486982087675;0.0385887201458444;0.0317270900790473;0.0961465342764995;0.0422746896915446;0.0505759433921862;0.0917339073473001;0.0649425959218646;0.0773147235568115;0.0412391068523215;0.102719000871418;0.0986323385638128;0.0333635370835328
In-beom Hwang;0.085431767738442;0.0368196869118521;0.108490678166505;0.0385899151920196;0.0317252121023702;0.0961472976537378;0.0422670574082789;0.0505664970188378;0.0917443458566666;0.0649470747179112;0.0773167990217038;0.0412432468689244;0.102728866170356;0.0986211237649849;0.0333604314074107
Jean-Philippe Krasso;0.0854320147735575;0.0368180708713446;0.108492554871336;0.0385904891876623;0.0317240111010016;0.0961475949593828;0.0422640576630136;0.0505622634580923;0.0917486272200348;0.0649493955371987;0.0773177469409407;0.0412454425661084;0.102733058664344;0.0986154596120535;0.0333592125739298
Kings Kangwa;0.0854327221554922;0.0368153952943005;0.108494074290063;0.0385904260723149;0.0317240668304444;0.0961483307020846;0.0422606164546177;0.0505588296722276;0.0917548727841941;0.064949768720316;0.077318429493836;0.041246587045297;0.102736248991814;0.098612391902191;0.0333572395908069
Marko Stamenic;0.0854318640538474;0.0368180731197649;0.108490465763814;0.0385901911571618;0.0317252044466579;0.0961470139529341;0.0422647986053954;0.0505643201181824;0.0917469831906727;0.0649482313208253;0.0773176888254946;0.0412438488157179;0.102731157107754;0.0986202443493401;0.0333599151724372
Milan Rodic;0.0854314002910082;0.0368177271879277;0.108491744970795;0.038590159373656;0.0317244920226193;0.0961474124558751;0.0422639594815224;0.0505626069797403;0.0917496887155483;0.0649489058436319;0.0773180577586652;0.0412451854146618;0.102732117244083;0.0986173788183313;0.0333591634419348
Mirko Ivanic;0.0854318212075079;0.0368213731143352;0.108490648352904;0.0385896692995159;0.0317253699955409;0.096147497255382;0.0422694510682224;0.0505689857451318;0.0917411152194109;0.0649457771479665;0.0773157858139187;0.0412423605348925;0.102726471033246;0.0986225516808149;0.0333611225312105
Nasser Djiga;0.0854325883079329;0.0368182545201722;0.108491451029037;0.0385902225184646;0.0317250645939001;0.096147547138841;0.0422649879422955;0.05056433305415;0.0917467481195013;0.0649478375548336;0.0773171395508069;0.0412438483408775;0.102731505377979;0.0986188678705333;0.0333596040806751
Omri Glazer;0.0854317793106586;0.0368190826612278;0.108492064431959;0.0385896500517443;0.0317249538317445;0.0961479801041131;0.0422662345320766;0.0505652596814144;0.0917474303116645;0.064946844701567;0.0773167968744199;0.0412440547719616;0.102729442543408;0.0986190391058578;0.0333593870861826
Osman Bukari;0.0854321111453916;0.036818984808872;0.108490278343403;0.0385898285959057;0.0317257442868175;0.0961473177391795;0.0422664460381692;0.0505664602961356;0.0917450878791552;0.064946638791048;0.0773168493751665;0.0412428097858864;0.102729093323962;0.098622153886522;0.0333601957043859
Peter Olayinka;0.085432632014832;0.0368173226665367;0.108493094060856;0.0385905712631441;0.0317240750020825;0.0961478912928594;0.0422630955080984;0.0505613810225065;0.0917498606370645;0.0649493921233887;0.0773177288797339;0.0412455778992854;0.102734256756832;0.0986144368884736;0.0333586839843062
Srdjan Mijailovic;0.0854318619636808;0.0368174610073896;0.108491986514612;0.0385900199123344;0.0317247986135801;0.0961476793461693;0.0422638545077125;0.050562812690673;0.0917500565075494;0.0649482710640607;0.0773177727657488;0.0412448512206379;0.102732060712276;0.098617639829757;0.0333588733438193
Stefan Mitrovic;0.0854315401107221;0.0368210324168607;0.108486996202084;0.0385897738365203;0.0317267533728869;0.0961460099181984;0.0422697076812904;0.0505709359842676;0.0917380882847787;0.064945577754629;0.0773163380047858;0.0412403918685449;0.102725257110022;0.0986289992919817;0.0333625981624277
Vladimir Lucic;0.0854331661026336;0.0368170316434993;0.108493091100241;0.0385902908906055;0.031724675202009;0.09614823808544;0.0422631767035244;0.0505620568899587;0.0917501948196982;0.0649482555017235;0.0773173274704589;0.0412448945545316;0.10273370613942;0.0986155399767022;0.0333583549195546
