;Artem Bondarenko;Danylo Sikan;Dmytro Riznyk;Eguinaldo;Georgiy Sudakov;Giorgi Gocholeishvili;Irakli Azarovi;Kevin Kelsy ;Novatus Miroshi;Oleksandr Zubkov;Oleksiy Kashchuk;Stav Lemkin;Taras Stepanenko;Yaroslav Rakitskyi;Yegor Nazaryna;Yukhym Konoplya
Artem Bondarenko;0.04561475330286;0.0452149503073114;0.052925988582077;0.011155017953438;0.0914593137452958;0.0193699301077923;0.0575504887155936;0.0184160174280421;0.100914214045806;0.0524402939803345;0.0193457460961526;0.135081970846569;0.0298039489524314;0.154260423097629;0.0916088166126311;0.074838126226037
Danylo Sikan;0.0456140103183939;0.0452144349535834;0.0529260827645703;0.011154765697483;0.0914589122957104;0.0193694291766285;0.0575492297568813;0.0184158954610074;0.100912594203106;0.0524413661786167;0.0193452397434968;0.13508244391945;0.029804230071612;0.154261120955384;0.0916100198918884;0.074840224612188
Dmytro Riznyk;0.0456139214314852;0.0452143672066654;0.0529260464081739;0.0111547261769;0.0914588671001682;0.0193693619434544;0.0575491231073834;0.0184158858954958;0.100912444784666;0.0524414691199859;0.0193451884787663;0.135082677739185;0.0298042659450431;0.154261052247005;0.0916101930083999;0.0748404094072225
Eguinaldo;0.0456160028056941;0.0452158975474358;0.0529264848818668;0.0111555711720849;0.091459943454097;0.0193708716656129;0.0575520093462051;0.0184161516206188;0.100916324123047;0.052438836351165;0.0193464712546228;0.135078753784085;0.0298034428425018;0.154261341437916;0.0916063872967573;0.0748355104162904
Georgiy Sudakov;0.045613567852621;0.0452140716904545;0.0529256815440829;0.0111545252782567;0.0914587048562956;0.0193690615230981;0.0575488964657232;0.0184158724050074;0.100912058666704;0.0524417635211459;0.019345026466165;0.135084417466553;0.0298044208297192;0.154260074788766;0.0916110204677749;0.0748408361776325
Giorgi Gocholeishvili;0.0456143399074202;0.045214712731398;0.0529264438177845;0.0111549569518858;0.0914590616852072;0.0193697121755499;0.0575494217173163;0.0184159057521009;0.10091293463966;0.0524411029860671;0.0193453867478222;0.135080746040542;0.0298040846412247;0.154262098118859;0.0916092364731411;0.074839855614022
Irakli Azarovi;0.0456149064175384;0.0452150950544638;0.0529262851479455;0.0111551320432871;0.0914593740405018;0.0193700809175313;0.0575504599834249;0.0184160082950215;0.100914251564404;0.0524402399689076;0.019345789469655;0.135080706276779;0.0298038749300936;0.154261287970627;0.0916083737699755;0.0748381341498441
Kevin Kelsy ;0.0456133708720202;0.0452140599592774;0.0529267173349124;0.0111546580905716;0.0914585287846094;0.0193690823855055;0.0575476434951118;0.0184157303919288;0.100910680241545;0.0524425802083033;0.0193446972732985;0.135080801989923;0.0298044434833809;0.154263492364471;0.0916107096056704;0.0748428035194707
Novatus Miroshi;0.0456141432259202;0.0452146133853523;0.0529267687549604;0.0111549494108361;0.091458934758894;0.0193696251721708;0.0575488155331657;0.0184158409403541;0.100912224290852;0.0524415448874731;0.019345194842063;0.135079761068435;0.0298041436844232;0.154263242088126;0.0916093682464313;0.0748408297105431
Oleksandr Zubkov;0.0456130192967276;0.0452138014662545;0.0529266426604701;0.0111545153121869;0.0914583470949666;0.0193688273643598;0.0575471567780171;0.0184156855428053;0.10091002542895;0.0524430244888161;0.0193444807358349;0.13508146670362;0.0298045825059271;0.154263441892673;0.0916113524021911;0.0748436303262001
Oleksiy Kashchuk;0.0456154272180594;0.0452155578226364;0.0529270457856576;0.0111554717632238;0.0914595976779413;0.0193705571382384;0.0575505895857364;0.0184160041234126;0.100914611391637;0.0524399245268714;0.0193459849081815;0.135077318156152;0.0298036356396251;0.154263440122103;0.0916070178487029;0.0748378162918211
Stav Lemkin;0.0456133646313815;0.0452141041091901;0.0529271177290727;0.0111547345870799;0.0914584964903038;0.0193691382578431;0.0575472692793311;0.0184156858433715;0.100910291537777;0.0524428000568;0.0193446160689892;0.135079331261707;0.0298044252514744;0.154264773939405;0.0916104726952859;0.0748433782609885
Taras Stepanenko;0.0456132229377316;0.0452139111042783;0.0529263634522327;0.0111545342596289;0.0914584741396475;0.0193689258931302;0.0575477320299558;0.0184157464345066;0.100910707352184;0.0524425973176561;0.019344668400292;0.135082276178038;0.0298045184617678;0.154262439525575;0.0916111812678839;0.0748427012454916
Yaroslav Rakitskyi;0.0456136983834511;0.0452141176078866;0.0529253021197686;0.0111544980887437;0.0914588006431399;0.0193690945727418;0.0575494481271979;0.0184159331703461;0.100912683623312;0.0524413837331774;0.0193451854290028;0.135085676234178;0.0298043899776519;0.154258792736688;0.0916110340418185;0.0748399615108952
Yegor Nazaryna;0.0456135132388536;0.0452141221100372;0.0529264044197719;0.0111546481020438;0.0914586258064624;0.0193691334062085;0.057548152721164;0.0184157857393906;0.100911267490424;0.052442219575445;0.0193448511690593;0.135081803309661;0.0298044047582089;0.154262415207499;0.0916106632633934;0.0748419896823769
Yukhym Konoplya;0.0456131055315745;0.0452137366615349;0.0529256237585072;0.0111543453626569;0.0914584630797751;0.019368732170197;0.0575482191062584;0.0184158091213751;0.100911159922394;0.0524423693169005;0.0193447338581837;0.135085142407068;0.0298046016930007;0.15426013700652;0.0916118414642669;0.0748419795397865
