;Alex Balde;Andreas Christensen;Fermin Lopez;Ferran Torres;Frenkie de Jong;Gavi;Ilkay Gundogan;Joao Cancelo;Joao Felix;Jules Kounde;Lamine Yamal;Marc-Andre ter Stegen;Oriol Romeu;Raphinha;Robert Lewandowski;Sergi Roberto
Alex Balde;0.0704082540413885;0.100012106642201;0.0315309939010188;0.0108854382516212;0.0775423455709033;0.092909425512611;0.130582192308088;0.108592601811391;0.0521517832966243;0.12190566011854;0.0270323798659831;0.0220333955901234;0.0431837038841162;0.0403232031903156;0.0420688802473604;0.0288376357677137
Andreas Christensen;0.0704073321505309;0.100012109423538;0.0315318391088697;0.0108856580487735;0.0775419116914569;0.0929078291262471;0.130582142514231;0.10859281307485;0.0521507464525684;0.121906598720227;0.0270330569824661;0.022033634929013;0.0431844465314327;0.0403231509897702;0.0420683487181579;0.0288383815378667
Fermin Lopez;0.0704029514431773;0.100011966509826;0.0315353571268745;0.0108866819867412;0.0775392661156826;0.0929016678103891;0.1305827624401;0.108593222111217;0.0521462177795808;0.121910193009342;0.0270361464616052;0.0220348937940947;0.0431878453552411;0.0403233065214587;0.0420658287913298;0.0288416927433402
Ferran Torres;0.070400150165369;0.100011908388948;0.0315377034701062;0.0108873474513169;0.0775376170730654;0.0928975108435567;0.130582989907119;0.108593519811796;0.0521432564092288;0.121912639703282;0.0270381828565534;0.0220357057402582;0.0431900313796582;0.040323314392038;0.042064221114685;0.0288439012930182
Frenkie de Jong;0.0704083480453344;0.10001213162973;0.0315309862395747;0.0108854177393443;0.0775424843868048;0.0929093652516882;0.130582060602274;0.108592684427566;0.052151826924103;0.121905699330885;0.0270323252382945;0.0220333487552421;0.0431836487953598;0.040323146996281;0.0420689302451772;0.0288375953923415
Gavi;0.0704086399875413;0.100012203213557;0.0315309084949179;0.0108853570868631;0.0775428041856323;0.0929093608002895;0.130581721668367;0.108592811569481;0.0521520225352387;0.121905694199239;0.0270321759138083;0.0220332491867806;0.0431834596512944;0.040322998259547;0.0420690994884143;0.0288374937590295
Ilkay Gundogan;0.0704062682613998;0.100012098743024;0.0315327628492654;0.0108859097874789;0.0775413378509115;0.0929061499214311;0.13058215798447;0.108592995633564;0.0521496015618145;0.121907573645963;0.0270338272052735;0.0220339320921329;0.0431852888462212;0.0403231271061628;0.0420677344450614;0.0288392340658252
Joao Cancelo;0.0704062119611339;0.100012068872201;0.0315327532619835;0.0108859192055675;0.0775412641703677;0.0929062121556168;0.130582287043308;0.108592958116483;0.0521495719272975;0.121907550785215;0.0270338375022054;0.022033944324612;0.0431853188672694;0.0403231845538679;0.0420676981013659;0.0288392191515053
Joao Felix;0.0704083758829844;0.100012163306294;0.0315310303989271;0.0108854167008867;0.0775425437097359;0.0929092343097085;0.13058193571476;0.108592709000405;0.0521518093982298;0.121905775124408;0.0270323453486295;0.0220333434315831;0.0431836408723118;0.0403230843178159;0.0420689541127251;0.0288376383705944
Jules Kounde;0.070406067369972;0.100012042466997;0.0315327723649987;0.0108859454302654;0.077541081750966;0.0929062636736393;0.130582472467239;0.108592870116097;0.0521494957326781;0.121907505880127;0.0270339054854365;0.0220339990185139;0.0431854105688851;0.0403232746111894;0.0420676160818662;0.0288392769811304
Lamine Yamal;0.0704008319281627;0.100011928640262;0.0315372183090827;0.0108871926105454;0.0775381566355252;0.0928982456307987;0.130582790000537;0.108593580880207;0.0521439067129476;0.121912194807389;0.0270377048534712;0.0220354900798533;0.0431895284449225;0.0403232350179036;0.0420646202761004;0.0288433751722926
Marc-Andre ter Stegen;0.0704063237468276;0.100012124401563;0.0315328112647915;0.0108859010087839;0.0775414757756043;0.0929059758461917;0.130581984612932;0.108593112850059;0.0521495903574492;0.121907679486569;0.0270338082437427;0.0220338969626819;0.0431852683795469;0.0403230470619733;0.04206776148821;0.0288392385130738
Oriol Romeu;0.0704051956654293;0.100012058970218;0.0315336309747608;0.0108861622786837;0.0775407020398806;0.0929046181846464;0.130582310232375;0.108593098929649;0.0521484825534988;0.121908470241453;0.0270345867311614;0.0220342398463518;0.0431861225829659;0.0403231597293909;0.0420671208283956;0.0288400402111393
Raphinha;0.0704063726659323;0.100012103606174;0.0315326799926779;0.0108858806111975;0.0775414407908588;0.0929062616214674;0.13058214246784;0.108593032464885;0.0521497020400262;0.121907499341344;0.0270337314883545;0.0220338831369615;0.0431852151720729;0.0403231318511613;0.0420677905878618;0.028839132161184
Robert Lewandowski;0.0704058993131116;0.100012030410876;0.0315329145271005;0.0108859923735275;0.0775409488612997;0.0929060414625063;0.13058248729932;0.108592845944804;0.052149322110813;0.121907651890211;0.027034052981089;0.0220340672638927;0.0431855344838845;0.0403232622189776;0.042067524403408;0.0288394244551785
Sergi Roberto;0.0704010648630168;0.100011899244745;0.0315368938112133;0.0108871285421949;0.0775381392797848;0.0928989641242463;0.130583015111589;0.108593396290594;0.0521442427779891;0.121911794000772;0.0270374949202709;0.0220354359987836;0.0431893094593455;0.0403233540965899;0.0420647466734767;0.0288431208053885
