;Alhassan Yusuf;Anthony Valencia;Arbnor Muja;Arthur Vermeeren;George Ilenikhena;Gyrano Kerk;Jean Butez;Jelle Bataille;Jurgen Ekkelenkamp;Mandela Keita;Michel-Ange Balikwisha;Owen Wijndal;Ritchie De Laet;Soumaila Coulibaly;Toby Alderweireld;Vincent Janssen
Alhassan Yusuf;0.0453833046523668;0.00648396588850086;0.0375404195469946;0.0970494238961868;0.0222502201911063;0.0146999951510429;0.097222162626086;0.115167814196932;0.052750971650169;0.0802987665994955;0.0258205674128097;0.0682087461166353;0.0562239753922655;0.111735320518984;0.136531768276478;0.0326325778839476
Anthony Valencia;0.0453830444580486;0.00648398569244049;0.0375404153822656;0.0970494057332002;0.0222500229352325;0.0146998108026418;0.0972223380785211;0.115167636111246;0.0527511319504992;0.080298988110539;0.0258206397595929;0.0682089861858245;0.0562236167614382;0.111735827293087;0.136531435902538;0.0326327148428857
Arbnor Muja;0.0453797384382179;0.00648443267952669;0.0375401630850533;0.0970483788025821;0.0222465723955582;0.014696850223468;0.0972260929640929;0.115164237908358;0.0527542282288492;0.0803021629771206;0.0258218896974778;0.0682138135704523;0.0562154137833663;0.111743561281565;0.136527368681001;0.0326350952833106
Arthur Vermeeren;0.0453808451577741;0.00648428769188256;0.0375402415796587;0.0970487040268555;0.0222477121314393;0.0146978252068874;0.0972248627486368;0.115165347390873;0.0527532122935337;0.0803011043446882;0.0258214774280027;0.0682122345303225;0.0562181069931574;0.111741002569748;0.136528726443218;0.0326343094633218
George Ilenikhena;0.045385615744811;0.00648364300877045;0.0375406044744463;0.0970501859388451;0.0222526845151528;0.0147020868354991;0.0972194519426387;0.115170283952309;0.0527487392937157;0.080296524992452;0.0258196717235914;0.0682052736481324;0.0562299277965751;0.111729858452688;0.136534566324248;0.032630881356125
Gyrano Kerk;0.0453854649603779;0.00648368619577586;0.0375405868824687;0.0970501004805959;0.0222524720037324;0.0147019081777131;0.0972198145471863;0.115169966100561;0.0527489907274294;0.0802966451200812;0.0258197642772682;0.0682056754019202;0.0562291633159315;0.111730207211766;0.136534535636876;0.0326310189603164
Jean Butez;0.0453814013164846;0.0064842192196972;0.0375402730736202;0.0970488557155114;0.0222482746966351;0.0146983023843192;0.0972242808850582;0.115165885443029;0.05275271744093;0.0803005710053647;0.0258212745889964;0.0682114814049072;0.0562193946517723;0.111739735308995;0.136529407669437;0.0326339251952433
Jelle Bataille;0.0453799993457576;0.00648439361937364;0.0375401869897863;0.0970484678221836;0.0222468590090053;0.0146971031546789;0.097225764729241;0.11516449784407;0.0527539731784572;0.0803019125938478;0.025821788182663;0.0682134000084445;0.0562161270740809;0.111742926654957;0.136527704313071;0.0326348954803824
Jurgen Ekkelenkamp;0.0453801128879304;0.00648438398958505;0.0375401885416679;0.0970484837720382;0.0222469584791833;0.0146971841247743;0.0972256737163874;0.115164590062174;0.0527538897851983;0.0803018067010342;0.0258217521242725;0.0682132823086781;0.0562163295125886;0.111742695371416;0.136527840750423;0.0326348278726488
Mandela Keita;0.0453809128719389;0.00648427802363262;0.037540246282569;0.0970487302084469;0.0222477907663405;0.0146978965780911;0.0972247896115016;0.115165395622532;0.0527531517366156;0.0803010352948154;0.0258214527933865;0.0682121341131874;0.0562182711846529;0.111740824520067;0.136528833789562;0.0326342566026602
Michel-Ange Balikwisha;0.0453805727982685;0.00648431646271464;0.0375402178075158;0.0970486357341543;0.0222474528205292;0.0146976075621375;0.0972251203073404;0.115165095603621;0.0527534383452712;0.0803013730054002;0.025821569491092;0.0682125771150301;0.0562175380628246;0.111741627977932;0.136528360106911;0.0326344967992576
Owen Wijndal;0.0453812297628183;0.00648424638713748;0.0375402631995168;0.0970487931693712;0.0222480827258622;0.014698137081642;0.0972244983135265;0.11516568323396;0.0527528965078429;0.0803007343181108;0.0258213468204526;0.0682117568942638;0.0562189169420945;0.111740142613977;0.136529219956336;0.0326340520730883
Ritchie De Laet;0.0453834840711589;0.0064839524516702;0.0375404347651817;0.097049456282676;0.0222503836603054;0.0147001159286197;0.097222010636479;0.115167960306377;0.0527508365025855;0.0802985798252619;0.0258205113747443;0.0682085485610858;0.056224335612971;0.111734922946948;0.136532011787466;0.0326324552864694
Soumaila Coulibaly;0.0453811178330856;0.00648424407353924;0.0375402630625811;0.0970487978847188;0.0222480135523107;0.0146980961457818;0.0972245060040018;0.115165627956735;0.052752940861739;0.0803008539184993;0.025821368957313;0.0682117884009867;0.0562188691335041;0.111740353373769;0.136529054042582;0.0326341047988541
Toby Alderweireld;0.0453806983243819;0.00648430412263216;0.0375402332363597;0.097048665920919;0.0222475676983;0.0146977056598634;0.0972250045074814;0.115165200862431;0.0527533403967375;0.0803012497263803;0.0258215306360017;0.0682124225380626;0.0562177831879494;0.11174133801528;0.136528545769065;0.0326344093981551
Vincent Janssen;0.0453801769501004;0.00648437209886395;0.037540195584233;0.0970485172501083;0.0222470388783707;0.0146972533652165;0.0972255848332428;0.115164673524708;0.0527538155638295;0.0803017405938943;0.025821722953642;0.0682131632293049;0.0562165300152814;0.111742523032226;0.136527917707981;0.0326347744189978
