;Birger Meling;Denis Vavro;Diogo Goncalves;Elias Achouri;Jordan Larsson;Kamil Grabara;Kevin Diks;Lukas Lerager;Mohamed Elyounoussi;Orri Oskarsson;Peter Ankersen;Rasmus Falk;Roony Bardghji;Valdemar Lund;Viktor Claesson
Birger Meling;0.0949524356479053;0.111905022520698;0.0743375360831738;0.0550289948084358;0.00289431715127597;0.0695196352205073;0.0928822417167471;0.0511950171731834;0.0422504377332266;0.006232181695514;0.119330969187542;0.137547542854068;0.02788274127162;0.0296037858496578;0.0844371410864445
Denis Vavro;0.0949530351030228;0.111904991367657;0.0743370373009419;0.055028219486254;0.00289427859697257;0.0695204485871637;0.0928823065138416;0.0511945409492705;0.042250219387087;0.00623212948983257;0.11933205551765;0.137547704134127;0.0278823063918315;0.0296036156301388;0.0844371115442081
Diogo Goncalves;0.0949527450566091;0.11190516984164;0.0743374598370983;0.0550288204641047;0.00289430667456869;0.0695198747557133;0.0928819682467343;0.0511950466724428;0.0422503741681964;0.00623220595202991;0.119330863957728;0.137547663005627;0.0278826878048729;0.0296037106546025;0.0844371029080318
Elias Achouri;0.0949535642645268;0.111904791618316;0.0743373626179195;0.0550284139345397;0.00289428543439644;0.0695202166243556;0.0928811728168834;0.0511948684537395;0.0422504493403835;0.00623224750871369;0.119331214544767;0.137548115933001;0.0278824809261418;0.0296035238669644;0.0844372921153508
Jordan Larsson;0.0949569820454998;0.111905986735959;0.0743363811867581;0.0550265316067604;0.00289416048778826;0.0695232238146353;0.0928778295733242;0.0511950992699736;0.0422497927237639;0.00623256277807771;0.119330338389154;0.137549643154325;0.0278818206280771;0.0296026391571694;0.0844370084487342
Kamil Grabara;0.094951394144843;0.111906245578551;0.074337427501082;0.0550293877700769;0.00289432912978983;0.069519740018429;0.0928833562611738;0.0511954335154837;0.04225004448099;0.00623215042854068;0.119330060310787;0.137546862104338;0.0278829884574894;0.0296039846353854;0.0844365956630389
Kevin Diks;0.0949542938588746;0.111905266720693;0.0743371627938543;0.0550280351988324;0.00289425927049839;0.069520877126747;0.0928804573298855;0.0511950195604454;0.042250258723112;0.00623232036769668;0.119330769953464;0.137548404568409;0.0278823785437739;0.0296033375836611;0.0844371584000521
Lukas Lerager;0.0949524945611891;0.11190535798114;0.0743373784773663;0.0550288395444676;0.0028943065439006;0.0695199457526131;0.0928823281710245;0.0511950378184811;0.042250279292751;0.00623218205087268;0.119330912534426;0.137547500458874;0.0278826862876032;0.0296037538988376;0.0844369966264532
Mohamed Elyounoussi;0.0949541193355817;0.11190462614263;0.0743372013244181;0.0550280305455099;0.00289426636216683;0.0695205717381905;0.0928807773167588;0.0511946833025422;0.0422504309736635;0.00623225713164944;0.119331607250729;0.137548378492127;0.0278822858228394;0.0296033913857834;0.0844373728754094
Orri Oskarsson;0.0949513046024064;0.111905628820242;0.0743373910134135;0.055029230154816;0.00289433116857799;0.0695195128182498;0.0928837483732535;0.0511950041948894;0.0422501779665952;0.00623207205112123;0.119331117101765;0.137546829025088;0.0278828395052708;0.0296040196967717;0.0844367935075391
Peter Ankersen;0.0949537825608547;0.111905609292139;0.074337089397209;0.0550281735077612;0.00289426495640623;0.0695208804590082;0.0928810813792507;0.0511950693337498;0.0422501202099072;0.00623228194631759;0.119330701807979;0.137548088472028;0.027882439397014;0.0296034375949659;0.0844369796854081
Rasmus Falk;0.0949520921903232;0.111905858958533;0.0743374898459432;0.0550291644444992;0.00289432008086306;0.069519798174184;0.0928825287482219;0.051195368808349;0.0422501947198076;0.00623220289562025;0.119330152435062;0.137547272772183;0.0278829021184603;0.029603845893018;0.0844368079149317
Roony Bardghji;0.094953526692648;0.111905151380744;0.0743372375150972;0.0550283413204455;0.00289427895046121;0.0695204597418826;0.0928812977171395;0.0511949326144689;0.0422502990742613;0.00623224708184619;0.119331062993271;0.137548038222988;0.0278824692841377;0.029603515225617;0.0844371421849919
Valdemar Lund;0.0949544568868051;0.111905092585771;0.074337006901677;0.0550277673937317;0.00289424815657071;0.0695210647446463;0.0928805698840997;0.0511947688544915;0.0422502297619162;0.00623228482619289;0.119331357845102;0.137548447444349;0.0278822068093506;0.0296032942723804;0.0844372036329145
Viktor Claesson;0.0949531638484343;0.111905124402965;0.0743373420879181;0.0550285649598191;0.0028942918704108;0.0695201827145023;0.0928816075857609;0.0511949724006961;0.0422503430211663;0.00623222730935212;0.119331002938467;0.137547868809825;0.0278825658510288;0.0296036058030668;0.0844371363965861
