;Adria Pedrosa;Djibril Sow;Dodi Lukebakio;Fernando;Ivan Rakitic;Jesus Navas;Juanlu Sanchez ;Lucas Ocampos;Marcos Acuna;Nemanja Gudelj;Oliver Torres;Orjan Nyland;Sergio Ramos;Suso;Youssef En-Nesyri
Adria Pedrosa;0.113045003373888;0.0103880825067242;0.112286432947947;0.0593689951884162;0.0889904286693317;0.0941443618492419;0.0138564618764371;0.0899101181794292;0.0222548087889543;0.0546253186983788;0.0586009460474462;0.0517538261848914;0.101193820287595;0.0710544184614851;0.0585269769398343
Djibril Sow;0.113048012623229;0.0103880299158461;0.112280959251773;0.0593706464655859;0.0889924944787345;0.0941471847389223;0.0138567816637135;0.0899061704842471;0.0222537300560831;0.0546258891155955;0.058602718205639;0.0517528404401558;0.101193822226554;0.0710539749920922;0.058526745341829
Dodi Lukebakio;0.11304452815398;0.0103880707980196;0.112287161307585;0.0593687760513336;0.0889903033209265;0.0941439220748315;0.0138565261342476;0.0899105153173153;0.0222550116538434;0.0546251624556948;0.058601036512744;0.0517537686262956;0.101193862837608;0.0710544150698555;0.0585269396857193
Fernando;0.113045123772439;0.0103880709159429;0.112286249428749;0.0593689961164977;0.08899045905066;0.0941444715341283;0.0138564743744654;0.0899099880009808;0.0222548057251782;0.0546253559357694;0.0586010175136015;0.0517537056919793;0.101193895058613;0.0710544364274955;0.0585269504535012
Ivan Rakitic;0.113045182892687;0.0103880671295617;0.112286096454556;0.0593690732294113;0.0889906498534955;0.0941444864636584;0.0138565766775132;0.0899097258321415;0.0222548291665469;0.0546253092751641;0.0586013761914676;0.0517535289355962;0.101193868515404;0.0710543536462174;0.058526875736579
Jesus Navas;0.113045888037596;0.0103880756153281;0.11228489177491;0.0593694572544681;0.0889909558375876;0.0941451633158776;0.0138565161434244;0.0899090330014857;0.0222544961651415;0.0546255163361231;0.0586013689975806;0.0517535870704501;0.101193803665201;0.0710543179537104;0.0585269288311165
Juanlu Sanchez ;0.11304214529629;0.010388067472492;0.112291330476764;0.0593674534435889;0.0889890539214986;0.0941416200956215;0.0138565857996993;0.0899130644964232;0.0222560876199352;0.05462455749067;0.0586006922232582;0.0517538363995062;0.10119401318798;0.0710546444003596;0.0585268476759133
Lucas Ocampos;0.113043514185148;0.0103881185267317;0.112289285018757;0.0593680912258343;0.0889892012681869;0.0941429204323352;0.0138562077351836;0.0899122622851585;0.0222553599518858;0.0546251148225678;0.0585998228670867;0.0517543960595808;0.101193838256577;0.0710547305974482;0.0585271367675199
Marcos Acuna;0.113042749648777;0.0103880810307888;0.112290292959946;0.0593678291077292;0.0889893693887807;0.0941421944988728;0.0138565519694499;0.0899124485563101;0.0222557834133003;0.0546247094670199;0.0586007079024634;0.0517539171630231;0.101193903147972;0.0710545645109155;0.058526897234652
Nemanja Gudelj;0.113044248240568;0.010388109574267;0.112287960889142;0.0593684833683575;0.0889895988114193;0.0941436622404904;0.0138561997747904;0.0899114573370473;0.0222550310165842;0.0546252970139747;0.0585999472916488;0.0517543371721952;0.101193840555607;0.0710546717034268;0.0585271550104821
Oliver Torres;0.113045881457468;0.0103880360428554;0.112284612402363;0.0593696077113082;0.0889916065147336;0.0941451123602117;0.0138569327051266;0.0899082842396274;0.0222546575420026;0.0546252524320954;0.0586026389173864;0.0517528929152876;0.101193825207593;0.0710540206067377;0.0585266389452048
Orjan Nyland;0.113045157876747;0.0103880873191982;0.112286298561101;0.0593689857132164;0.088990333316298;0.0941444671374939;0.0138563909335987;0.0899101039213285;0.0222547774915791;0.0546254202999659;0.0586007995267559;0.0517538371620783;0.101193852483726;0.0710544846378653;0.058527003619048
Sergio Ramos;0.11304418921362;0.0103881144919597;0.112288068562311;0.0593685106289459;0.0889897872353248;0.09414348457029;0.0138563651511069;0.0899112212267163;0.0222551677558535;0.0546251877819157;0.0586005115246805;0.0517540535215151;0.101193768109804;0.0710545511061261;0.0585270191198309
Suso;0.11304509975822;0.010388098134725;0.112286443972101;0.0593689748152909;0.0889903215335904;0.0941443672010622;0.0138564101796387;0.0899101373529516;0.0222548213737404;0.0546253913901597;0.058600858380417;0.0517538323449669;0.101193797258289;0.0710544611113161;0.0585269851935314
Youssef En-Nesyri;0.113043698983099;0.0103881212482575;0.112289007409083;0.0593681703050743;0.0889892885059523;0.0941430535776194;0.0138562221408049;0.0899120311992759;0.0222553242343187;0.0546251617377404;0.0585999508267892;0.0517543140271464;0.101193827094141;0.071054718121058;0.0585271105896403
