;Abel Ruiz;Adrian Marin;Al Musrati;Alvaro Djalo;Andre Castro;Bruma;Cristian Borja ;Joao Moutinho;Joe Mendes;Matheus;Ricardo Horta;Rodrigo Zalazar;Serdar Saatci;Sikou Niakate;Simon Banza;Vitor Carvalho
Abel Ruiz;0.00159378038232448;0.00492298090596924;0.132474717156152;0.0508301152521413;0.0150797836509981;0.100548542040268;0.0959875930191833;0.0059404112407767;0.0971010802968764;0.0401969917672829;0.0777722021661168;0.0852964302334039;0.112863410749058;0.106187858261279;0.0620453137225093;0.0111587891556619
Adrian Marin;0.00159394161746819;0.00492341820931312;0.132477695468002;0.0508299705228867;0.0150799073418851;0.100545648096921;0.095989490467015;0.00594021084612245;0.0970991866097151;0.0401984000235979;0.0777715495114863;0.0852948352502783;0.112867976305592;0.10618538480653;0.062043976927938;0.011158407995248
Al Musrati;0.0015939193574711;0.00492334210388814;0.132477282508694;0.0508300175343967;0.015079871412947;0.100546165291056;0.0959893247992239;0.00594022949316464;0.0970993652584605;0.0401981206884544;0.0777717189622159;0.0852951410200591;0.112867252443534;0.106185573184369;0.0620442279993782;0.0111584479426885
Alvaro Djalo;0.00159405963622214;0.00492358261791486;0.132480180854489;0.0508302163900802;0.015079787882373;0.100544582063046;0.0959926686769689;0.00593991922290288;0.0970964488912668;0.0401984763773945;0.0777721174495953;0.0852946565873222;0.112870563912385;0.106181071351383;0.0620437022184836;0.0111579658681731
Andre Castro;0.00159417583009423;0.00492383822088646;0.132482465251948;0.0508302521244025;0.0150797955325339;0.10054288981171;0.095994781190932;0.00593971558856906;0.0970945296720102;0.040199118185169;0.077772065241429;0.0852938959408874;0.112873575204104;0.106178262149803;0.0620430120876787;0.0111576279678445
Bruma;0.00159399196840719;0.00492344383950465;0.132478877287983;0.0508301849950287;0.0150797935335806;0.100545483782762;0.0959914415227092;0.00594003920348897;0.0970975782404526;0.0401981481192196;0.0777721174431891;0.085295055627356;0.112868884357035;0.106182728275954;0.0620440646801716;0.0111581671231583
Cristian Borja ;0.00159401311905253;0.00492346701764538;0.132479221017854;0.0508302132592217;0.0150797723189163;0.100545374243486;0.0959917941916841;0.00594000054397174;0.097097217047439;0.0401981627617647;0.0777721702478615;0.0852950152199779;0.112869254544803;0.106182198342025;0.0620440295468981;0.0111580965773993
Joao Moutinho;0.00159404269423792;0.00492356204843442;0.13247982547254;0.0508301761906634;0.0150798087016961;0.100544711243871;0.0959921976455648;0.00593996264687589;0.0970968561889879;0.0401984814734424;0.0777720217560058;0.0852946662039272;0.112870210857538;0.106181716237471;0.0620437288538845;0.01115803178486
Joe Mendes;0.00159421322541311;0.00492389801975469;0.132483276913645;0.0508303229622829;0.0150797651177957;0.100542486293771;0.0959957994666295;0.00593962366230159;0.0970936657321032;0.040199176034835;0.0777722248779881;0.0852938070088604;0.112874454105733;0.106176900606248;0.0620428951612638;0.0111574908113756
Matheus;0.00159400705660486;0.00492353607520538;0.132479032892219;0.0508300495811965;0.0150798763995636;0.10054487143496;0.0959909781739517;0.00594007197079324;0.0970978806640779;0.0401986018309002;0.0777716950724951;0.0852945720503697;0.112869546293067;0.106183385044865;0.0620437056334737;0.0111581898262583
Ricardo Horta;0.00159396058442075;0.00492340141588483;0.132478128593614;0.0508300943156144;0.0150798335861221;0.100545786898439;0.0959903660640164;0.00594013251768404;0.0970984551214929;0.040198165314753;0.0777718897619106;0.0852950587630266;0.112868155364944;0.106184152748161;0.0620441211715865;0.01115829777833
Rodrigo Zalazar;0.0015940424694185;0.00492354134109815;0.132479840297569;0.0508302163964084;0.0150797827874221;0.100544859617042;0.0959923716018237;0.0059399477161564;0.0970967179351794;0.0401983634823177;0.0777721406279921;0.0852947870863101;0.112870096355926;0.106181460219118;0.0620438187826762;0.0111580132835427
Serdar Saatci;0.00159382560869842;0.00492321043323431;0.132475322701839;0.0508298279466807;0.0150799639565461;0.100547014462397;0.0959868440984848;0.00594045806431377;0.0971015110284003;0.0401980492558781;0.0777712851289165;0.0852952948599854;0.112865198712819;0.106188944882194;0.0620444524527396;0.0111587964068729
Sikou Niakate;0.00159413901049336;0.00492375466841119;0.132481803130226;0.0508302614844973;0.0150797852120326;0.100543424959574;0.095994283522033;0.00593976805432079;0.0970950243336386;0.0401988795063426;0.0777721439368643;0.0852941771146706;0.112872640331336;0.106178941088699;0.0620432493537966;0.0111577242930653
Simon Banza;0.00159405048986467;0.00492353585423409;0.132480030311116;0.0508302677045694;0.0150797529908704;0.100544904201916;0.0959927486344913;0.00593991437799748;0.0970964063068092;0.0401982705972733;0.0777722816989252;0.0852948756852272;0.112870185412468;0.106180934986031;0.0620438737924223;0.0111579669557848
Vitor Carvalho;0.00159417498318158;0.00492372724450996;0.132482506008262;0.0508304573343677;0.0150796609079672;0.100543689023173;0.0959956323355371;0.00593964208663044;0.0970938478406033;0.0401984987272485;0.0777726753977107;0.0852945293477501;0.112872936187467;0.106176994715483;0.062043490206006;0.0111575376541016
