;Alex Meret;Eljif Elmas;Giacomo Raspadori;Giovanni Di Lorenzo;Giovanni Simeone;Jens Cajuste;Khvicha Kvaratskhelia;Leo Ostigard;Mario Rui;Mathias Olivera;Matteo Politano;Natan;Piotr Zielinski;Stanislav Lobotka;Victor Osimhen;Zambo Anguissa
Alex Meret;0.0273639425434856;0.0271313464526314;0.0136022790130265;0.103818031522844;0.0020830278098284;0.00755812004786813;0.090404012272475;0.088741898294237;0.00545797877423407;0.116952824465121;0.0521976122504514;0.122407666404486;0.100086673156547;0.126972810504321;0.0290782564306284;0.0861435200578147
Eljif Elmas;0.0273640381580206;0.0271313049863416;0.0136024758901738;0.103818004968666;0.00208301768541356;0.00755834285159568;0.0904036233275307;0.088742053421581;0.00545801222177293;0.116951717838755;0.0521984253947365;0.122407757600576;0.100086400588783;0.126973162104171;0.0290779945235142;0.0861436684383687
Giacomo Raspadori;0.0273638776465888;0.027131534145156;0.0136027690855707;0.103820220440693;0.00208301099462688;0.00755849913358606;0.0904027208534062;0.0887417126875198;0.00545809006380313;0.116951185396103;0.0521980248974133;0.122408010173848;0.100084871981141;0.126972348418082;0.0290783608034047;0.0861447632790577
Giovanni Di Lorenzo;0.0273640185335613;0.0271307010273382;0.0136026759816879;0.103818016126636;0.00208303550599312;0.00755835987141839;0.0904037930330335;0.0887417937085793;0.00545782400383828;0.116953036107805;0.0521976359044283;0.122407690413256;0.100086285272655;0.126972672221037;0.0290784232163114;0.0861440390724223
Giovanni Simeone;0.0273639080297675;0.0271328102534902;0.0136049746798644;0.103827880382347;0.00208300652607067;0.00755989192753007;0.0903968654399467;0.0887409643223808;0.00545848748071121;0.116947080142017;0.0521994817531243;0.122407609727872;0.100078396915649;0.126971070230719;0.0290787608120731;0.0861488113764374
Jens Cajuste;0.0273638464750132;0.0271320515799347;0.0136031633504992;0.103821767451565;0.00208298167496727;0.00755886164364866;0.0904016517135702;0.0887417137703007;0.00545832269499512;0.116948724826655;0.0521989943646814;0.122408487583098;0.10008352160904;0.126972368557222;0.0290780800506553;0.0861454626541554
Khvicha Kvaratskhelia;0.0273637221936176;0.0271297052752115;0.0136020191095308;0.103815266888215;0.00208301131882693;0.00755787409584472;0.0904066783294966;0.0887417259991746;0.00545757920369951;0.116954799015824;0.0521963494303696;0.122408314304547;0.100088710109194;0.126972614203428;0.0290786286724649;0.086143001850555
Leo Ostigard;0.0273638396816905;0.0271313252230199;0.0136021525927912;0.103817926920917;0.00208301027514957;0.00755806546717257;0.0904044347622917;0.0887419047836252;0.00545801342578229;0.116952412270195;0.0521975764766364;0.122408039237124;0.10008685322464;0.126972770326278;0.0290782156058828;0.0861434597268032
Mario Rui;0.0273642034339765;0.0271324834959343;0.0136026639894836;0.103819259667853;0.00208301237775158;0.00755860032865433;0.0904020090395754;0.0887423172428015;0.00545829682272549;0.116949554870435;0.0521998468076327;0.122407436454397;0.100085341898568;0.126973725748069;0.0290774482614677;0.0861437995606756
Mathias Olivera;0.0273638339775009;0.0271299485156329;0.0136019663553957;0.103815531682873;0.00208304071656314;0.00755775940011558;0.0904061750582606;0.0887417322569102;0.00545756214985869;0.11695580171118;0.0521961410575684;0.122407666546427;0.100088604463692;0.126972603478573;0.0290787504894051;0.0861428821400445
Matteo Politano;0.0273637850841884;0.0271306035994456;0.0136021451923109;0.103816992358177;0.00208300657715602;0.00755802724990537;0.0904053039699758;0.0887418323508728;0.00545784329620359;0.116953114503672;0.0521971531988166;0.122408304202683;0.100087456775013;0.126972661283859;0.0290783769092057;0.0861433934485161
Natan;0.0273638188707554;0.0271299734548474;0.0136025499698486;0.103816605081463;0.00208300786368091;0.00755829920454347;0.090405372485614;0.0887416800429053;0.00545768922798998;0.116953301950083;0.0521971407575107;0.122408321421936;0.100087367087538;0.126972628615014;0.0290784850205251;0.0861437589457449
Piotr Zielinski;0.0273636998173818;0.0271300112680806;0.0136019382462761;0.103815856465216;0.00208301574219304;0.0075577929742156;0.0904063867267167;0.0887417067142733;0.00545764356554935;0.11695486352424;0.0521962218822162;0.122408203997306;0.100088449861998;0.12697247002445;0.0290786859911199;0.0861430531987668
Stanislav Lobotka;0.0273638626660628;0.0271303986571455;0.013602302167568;0.103816829007969;0.00208301871794831;0.00755811133233631;0.0904051389073735;0.0887418013984508;0.00545776245872412;0.116953529150505;0.0521971482684041;0.122408064677699;0.100087425449656;0.126972700609909;0.0290784341117019;0.0861434724185467
Victor Osimhen;0.0273638731799569;0.0271294091371574;0.0136025448321776;0.103815831503817;0.00208302788317541;0.00755821144731235;0.0904058107948612;0.0887416197401822;0.00545749764361857;0.116954708650827;0.0521966211072961;0.122408106590302;0.100087866172168;0.126972533651821;0.0290787159594641;0.0861436217058628
Zambo Anguissa;0.0273638679565131;0.0271302560576898;0.0136023236152962;0.103816713581195;0.00208302152730159;0.00755810830094205;0.0904052203047492;0.0887417739874205;0.00545772295563061;0.116953778095079;0.0521970421102167;0.122408052540805;0.100087449059533;0.126972653123002;0.0290785036487212;0.0861435131359054
