;Alexander Bah;Anatoliy Trubin;Angel Di Maria;Arthur Cabral;Chiquinho;David Jurasek;David Neres;Fredrik Aursnes;Joao Neves;Juan Bernat;Morato;Nicolas Otamendi;Orkun Kokcu;Petar Musa;Rafa Silva;Tomas Araujo 
Alexander Bah;0.033724869587143;0.026537661985582;0.0640863238914293;0.0167749195321242;0.0406658368465823;0.0207360020088044;0.0807454426182042;0.0720863979159991;0.121724286286257;0.108974526455184;0.107172279097004;0.0961086769550736;0.0766396868353171;0.0047051366225246;0.064666209886657;0.0646517434761152
Anatoliy Trubin;0.0337255613905816;0.0265367971630625;0.0640861489870161;0.01677526129764;0.0406659684379637;0.020735357774689;0.0807448675117807;0.0720864620853206;0.121724627304209;0.10897358859319;0.107174626770208;0.0961071456549013;0.0766405284181587;0.00470506953402381;0.0646662975626841;0.0646516915145715
Angel Di Maria;0.0337247849509107;0.0265377718348264;0.0640863349981695;0.0167748666763235;0.0406658289324986;0.0207360567103808;0.0807454553673413;0.0720864075207556;0.121724222899999;0.108974703764625;0.107171994346806;0.0961089071328653;0.0766396020424997;0.00470513940558681;0.0646662082311101;0.0646517151853017
Arthur Cabral;0.0337241334919863;0.0265386399656376;0.0640864866083922;0.016774544965754;0.0406657065395338;0.0207367316687616;0.0807460612047163;0.0720863149572659;0.12172385557324;0.108975617062134;0.107169685412157;0.0961103415115322;0.076638723757543;0.00470521070259448;0.0646661036896805;0.0646518428890709
Chiquinho;0.033724920986882;0.0265375985932981;0.0640863161937626;0.0167750340722864;0.0406658745061885;0.0207360443846258;0.0807455713227933;0.0720863070301424;0.12172435202505;0.108974281629753;0.107172396252305;0.0961084142745465;0.0766396692153078;0.00470514532493494;0.0646662071179293;0.0646518670701953
David Jurasek;0.0337252173566092;0.02653697841184;0.0640862143708046;0.0167757726986943;0.0406662342574017;0.0207358943705042;0.080745651964801;0.0720859671812511;0.121724902523612;0.108972933346196;0.107173423395508;0.0961070782055767;0.0766399927530483;0.00470512388688929;0.0646664912228482;0.0646521240544152
David Neres;0.0337248059732765;0.0265376792132986;0.0640863046447563;0.0167750729817208;0.0406659419262167;0.0207360872816584;0.0807455239056034;0.0720862900252355;0.121724348949925;0.108974397841123;0.107172043872597;0.0961086532107813;0.0766395972127898;0.00470513865163942;0.0646663009148537;0.0646518133945247
Fredrik Aursnes;0.0337246036716875;0.0265380355015443;0.0640863405101722;0.0167746680402596;0.04066577454776;0.0207361289823065;0.0807453636473717;0.0720865058816799;0.121724030501446;0.108975236303122;0.107171433159678;0.0961095150381578;0.076639462493077;0.00470513828092915;0.0646661870692008;0.0646515763716076
Joao Neves;0.0337249806668208;0.0265375265869444;0.0640862939765844;0.0167750243576579;0.0406658823128044;0.0207359485887507;0.0807454250731171;0.072086357184936;0.121724358086149;0.108974300555201;0.107172595252532;0.0961083648914187;0.0766397677403099;0.00470513190895395;0.0646662351431304;0.0646518076746895
Juan Bernat;0.0337258651078567;0.0265364059902375;0.0640860962342768;0.016775477500929;0.0406660238371428;0.0207351577355057;0.0807448107436871;0.0720864100292921;0.121724837746335;0.108972969431032;0.107175644513992;0.0961063136787055;0.0766408364888622;0.00470505659656038;0.0646663073856617;0.0646517869799229
Morato;0.0337239435321063;0.0265389942226442;0.0640864964502788;0.0167739699870825;0.0406654862366523;0.0207365830471295;0.0807455492512481;0.0720867187821983;0.12172343885465;0.108976806115023;0.107169261259829;0.0961114708850164;0.0766387731028858;0.00470518152115588;0.0646659847580042;0.0646513419940959
Nicolas Otamendi;0.0337250524699572;0.0265374225277063;0.0640862574935379;0.0167750343011702;0.0406659131102395;0.020735801096829;0.0807452053416337;0.0720864184128655;0.121724368574699;0.108974326014163;0.10717288104923;0.0961083060803301;0.076639928891449;0.00470510948554573;0.0646662798719972;0.0646516952786474
Orkun Kokcu;0.0337249967256753;0.0265375303192555;0.0640862869770227;0.0167749436630593;0.0406658472897666;0.0207358795006374;0.0807453102962418;0.0720864300111948;0.12172430346817;0.108974441622493;0.107172696511037;0.0961084482604323;0.0766398371490753;0.00470512334272301;0.0646662071050028;0.064651717758213
Petar Musa;0.033725397646686;0.0265366474537365;0.0640861314458026;0.0167760851399326;0.0406664068443062;0.0207357219148513;0.0807454983351142;0.072085880463563;0.121725136314763;0.108972401983945;0.10717407225222;0.0961064823660505;0.0766402455764775;0.00470509713926907;0.0646666475892407;0.0646521475340426
Rafa Silva;0.0337244627150614;0.0265382111129416;0.0640863953733259;0.0167746226002494;0.0406657477147862;0.0207363024448729;0.080745579007451;0.0720864512856078;0.121723979579667;0.108975350426129;0.107170915839011;0.0961097667124186;0.0766392498978092;0.00470516023633134;0.0646661567941253;0.0646516482602131
Tomas Araujo ;0.0337251072480012;0.026537349111553;0.0640862672978463;0.0167750891143306;0.0406659028461233;0.0207358086017379;0.0807453092272487;0.072086377010889;0.121724438079512;0.108974105636271;0.107173074959046;0.0961080759370765;0.0766399559966131;0.00470511766535997;0.0646662498009155;0.0646517714674759
