;Alireza Jahanbakhsh;Ayase Ueda;Bart Nieuwkoop;Calvin Stengs;David Hancko;Gernot Trauner;Igor Paixao;Lutsharel Geertruida;Mats Wieffer;Ondrej Lingr;Quilindschy Hartman;Quinten Timber;Ramiz Zerrouki;Timon Wellenreuther;Yankuba Minteh
Alireza Jahanbakhsh;0.015345730466939;0.0258031389940815;0.0235162188117554;0.108197959283025;0.144557581013841;0.103477555861166;0.0710511416438364;0.145680245104499;0.0339411678999095;0.0138606019403292;0.130740134744891;0.0539043972527226;0.0816426095730194;0.0321229723763256;0.0161585450336589
Ayase Ueda;0.0153456639666889;0.0258030578837348;0.0235163166322834;0.108198215538632;0.144557462966507;0.103478046139731;0.0710510737152154;0.145679604509993;0.033941242318351;0.013860589128074;0.130740096387209;0.0539045474525509;0.0816426623430415;0.0321228944857214;0.0161585265322658
Bart Nieuwkoop;0.0153456687873459;0.0258028831403418;0.023516219526385;0.108198222572697;0.144559814480456;0.103477266750147;0.0710511451728696;0.145678944383308;0.0339411065107422;0.01386079880851;0.130738638231666;0.0539049173256411;0.0816429492211144;0.0321227675263548;0.0161586575624212
Calvin Stengs;0.0153456939551705;0.0258029431640792;0.0235162002026701;0.108198126286634;0.144559463783993;0.103477208503633;0.07105115850145;0.145679296988971;0.0339411018744539;0.0138607687826727;0.130738894797219;0.0539047992803174;0.08164288258777;0.0321228178269848;0.016158643463982
David Hancko;0.0153457265377667;0.0258030683270416;0.0235161737720106;0.108197951797353;0.14455850781071;0.103477265477971;0.0710511697985563;0.145679985163189;0.0339411132097511;0.0138606812302239;0.130739580348958;0.0539045407669261;0.0816427202157474;0.032122923697705;0.0161585918460894
Gernot Trauner;0.0153456736075875;0.0258029602992383;0.0235162196094367;0.108198139289329;0.144559019567041;0.103477453616531;0.0710511374532615;0.145679326867406;0.0339411352494747;0.0138607229268904;0.130739187302504;0.0539047498692296;0.0816428337349419;0.0321228320779777;0.0161586085291508
Igor Paixao;0.0153457191375118;0.0258029896978197;0.0235161741244592;0.108198038006983;0.14455929714237;0.103477095178375;0.0710511771532409;0.145679588769157;0.0339410860100877;0.0138607561029212;0.130739035591791;0.0539047108967105;0.081642835135729;0.0321228577390181;0.0161586393138268
Lutsharel Geertruida;0.0153457109502028;0.0258031757663915;0.0235162737066864;0.10819802028275;0.144556783924561;0.103477938651096;0.0710511018722001;0.145680298921631;0.0339412301378623;0.0138605295910522;0.13074060496556;0.053904313318444;0.0816425273933842;0.0321229942304203;0.0161584962877581
Mats Wieffer;0.0153457189168786;0.0258030195114375;0.0235161734411829;0.108198000999738;0.144558972058636;0.103477181450133;0.0710511733745501;0.145679740318674;0.0339410983491633;0.0138607237281215;0.130739263826847;0.0539046434555394;0.0816427891721719;0.0321228835806689;0.016158617816258
Ondrej Lingr;0.0153457267831478;0.0258029673211356;0.0235161336140753;0.108197985899062;0.144559775508603;0.103476871968731;0.0710512024518595;0.145679568876502;0.0339410470573152;0.0138607962503635;0.130738773031521;0.0539047569927768;0.0816428827129777;0.0321228468885523;0.0161586646433766
Quilindschy Hartman;0.0153456642002096;0.025803108170911;0.0235163285140103;0.108198182161264;0.144556872701227;0.103478219388001;0.0710510628785417;0.145679826355346;0.0339412702005477;0.0138605339412651;0.130740483928313;0.0539044394850473;0.0816425835094559;0.0321229334886196;0.016158491077241
Quinten Timber;0.0153457306765601;0.0258031146852645;0.0235162151578588;0.108197979685652;0.144557866184565;0.103477474543606;0.0710511472993012;0.145680131307417;0.0339411550331547;0.0138606288659089;0.130739942750183;0.0539044511847748;0.0816426482548142;0.0321229517935105;0.01615856257743
Ramiz Zerrouki;0.0153457285787443;0.0258030782529493;0.0235161837533484;0.108197961126554;0.14455837872102;0.10347730523417;0.0710511656694781;0.145680012317274;0.0339411218167612;0.0138606715684311;0.130739648197568;0.0539045235498053;0.0816427056023999;0.0321229286737273;0.0161585869377696
Timon Wellenreuther;0.0153456770566235;0.0258030783799089;0.0235162586607356;0.108198086122147;0.144557605847617;0.103477865321008;0.0710511052543263;0.145679830479927;0.0339412051833419;0.01386059463843;0.130740094960803;0.0539044990202843;0.0816426487147982;0.0321229223872088;0.016158527972839
Yankuba Minteh;0.0153457725719306;0.0258033927878845;0.0235163153357957;0.10819788318186;0.144554802925878;0.103478226729793;0.0710510859397413;0.145681313835297;0.0339413000347577;0.0138603667617661;0.130741841686887;0.0539038914610869;0.0816422426208554;0.0321231540913939;0.0161584100350733
