;Alistair Johnston;Callum McGregor;Cameron Carter-Vickers;Daizen Maeda;Greg Taylor;Hyeon-gyu Oh;Hyun-jun Yang;Joe Hart;Kyogo Furuhashi;Liam Scales;Luis Palma;Matt O'Riley;Nathaniel Phillips;Paulo Bernardo;Reo Hatate
Alistair Johnston;0.101723061566911;0.125435417561175;0.0489304112566538;0.0504270148162405;0.126911617188196;0.00606665572588119;0.0448605685785185;0.0461232144373456;0.026270332662599;0.151977544381781;0.0382618252371918;0.0720965052781291;0.0797122928976017;0.0151115052718507;0.0660920331399249
Callum McGregor;0.101724779321169;0.125435284769402;0.0489293738431685;0.0504264401068303;0.126910109573438;0.00606671791017033;0.0448612262672484;0.0461228781241174;0.0262706919168582;0.15197975458672;0.0382622297787215;0.0720964237349722;0.0797106868496303;0.0151115653592252;0.0660918378583287
Cameron Carter-Vickers;0.10172855406438;0.125434801569835;0.0489276952732084;0.0504252751717921;0.126906715563393;0.00606671143932543;0.0448622298574028;0.046122641350982;0.0262712672382636;0.151984901060779;0.0382626135527695;0.0720960510632877;0.0797079909732913;0.0151114936317738;0.0660910581895161
Daizen Maeda;0.101724391954067;0.12543528951923;0.0489296950653543;0.0504265947873;0.126910434189744;0.00606668110658494;0.0448610092358354;0.0461230269398389;0.0262705847183365;0.151979276066835;0.0382620591887892;0.0720964287736559;0.0797111783542028;0.0151115190750145;0.0660918310252109
Greg Taylor;0.101725619046477;0.125435217040609;0.0489288692182239;0.0504261608068469;0.126909380925416;0.0060667478614629;0.0448615437469322;0.046122714101623;0.0262708663225898;0.151980829965934;0.0382624245945264;0.0720963844810533;0.0797099051477158;0.0151115942228315;0.0660917425177596
Hyeon-gyu Oh;0.101725069815272;0.125435429969871;0.0489286582010002;0.0504262419462804;0.126909946248975;0.00606685985990064;0.044861735768202;0.0461223677459795;0.0262709396229596;0.151979884295523;0.0382627588760048;0.0720965653444958;0.0797096549298262;0.0151117633130679;0.0660921240626427
Hyun-jun Yang;0.101723598154234;0.125435431501934;0.0489298991741453;0.0504268106970789;0.126911174590914;0.00606671918079349;0.0448609107183293;0.0461229499468448;0.0262705112269212;0.151978137288189;0.0382621069922357;0.0720965491480674;0.0797115348590724;0.0151115866286572;0.0660920798925837
Joe Hart;0.101726631534183;0.125435027776689;0.04892859843546;0.0504258654297037;0.126908446324661;0.00606670550504533;0.0448616873559373;0.0461228010733323;0.0262709511669484;0.151982324295037;0.0382623837135107;0.0720962105373035;0.0797094218919184;0.0151115174004128;0.0660914275598581
Kyogo Furuhashi;0.101724696535481;0.125435252870237;0.0489295596055432;0.0504265064418465;0.12691015530662;0.00606667931071877;0.0448610874645286;0.0461230082674627;0.0262706345176881;0.151979681423447;0.038262086495132;0.0720964058739314;0.0797109663445672;0.0151115113264736;0.0660917682163224
Liam Scales;0.101721597900176;0.125435641871865;0.0489309430452374;0.0504274358867153;0.1269129503808;0.0060666885995432;0.0448602724335375;0.0461232076953233;0.0262701474945501;0.151975513277717;0.0382617830308272;0.0720966732339405;0.0797131640571661;0.0151115765053921;0.0660924045872095
Luis Palma;0.10172388239229;0.125435456017788;0.0489295776803126;0.0504266819234844;0.126910952044557;0.00606676698677532;0.0448611322921862;0.0461227690462622;0.0262706205359136;0.151978445003697;0.03826230466337;0.0720965710333033;0.0797110535079379;0.0151116503142263;0.0660921365578961
Matt O'Riley;0.101724751994015;0.125435260194711;0.0489294682311697;0.0504264688226149;0.126910125041157;0.0060666973847626;0.0448611560477013;0.0461229470543168;0.026270659584692;0.151979745023965;0.0382621545021965;0.0720964096480102;0.0797108252056292;0.015111536469527;0.0660917947955322
Nathaniel Phillips;0.101726433250751;0.125435038407419;0.0489287544054495;0.0504259450820634;0.126908603410847;0.00606668789808493;0.0448615827277659;0.0461228729239187;0.0262709025044819;0.151982070979186;0.0382623023960513;0.0720962184696011;0.0797096637125441;0.015111495207745;0.0660914286240912
Paulo Bernardo;0.10172499251498;0.125435302410641;0.0489291182683516;0.0504263473138681;0.126909946567868;0.00606675651097185;0.044861402408997;0.046122727789721;0.0262707777693055;0.15197997372227;0.0382623878371139;0.0720964539696088;0.0797103103401879;0.0151116167428182;0.0660918858332976
Reo Hatate;0.101724970746863;0.125435265975411;0.0489292758003674;0.050426384590926;0.126909939148277;0.0060667196249664;0.0448612832851903;0.0461228551205698;0.0262707286797915;0.151979996148644;0.0382622565889367;0.0720964162964323;0.0797105366737664;0.0151115645203167;0.0660918067995418
