;Alessandro Florenzi;Christian Pulisic;Davide Calabria;Fikayo Tomori;Malick Thiaw;Mike Maignan;Noah Okafor;Olivier Giroud;Rafael Leao;Samuel Chukwueze;Theo Hernandez;Tijjani Reijnders;Tommaso Pobega;Yacine Adli;Yunus Musah
Alessandro Florenzi;0.0275570904060535;0.0433077506259383;0.0591612035936335;0.104656368374864;0.107105544827771;0.0227629277108635;0.0102224035353318;0.0489919740054199;0.152079116999645;0.044595337002477;0.139230167120126;0.0911695103838583;0.0477161191444664;0.0462212008700875;0.055223285399465
Christian Pulisic;0.0275603831575327;0.0433074166761773;0.059162992688157;0.104656287523619;0.107105083868335;0.0227628321428485;0.0102226217198054;0.0489913400835481;0.152081352379397;0.0445902836790429;0.139226503308705;0.0911691494583228;0.0477156860185731;0.0462241393368354;0.0552239279591012
Davide Calabria;0.0275593115725037;0.0433075947520055;0.0591625767070727;0.104656286239767;0.107105364036514;0.0227628795242664;0.0102225520845181;0.0489915809507328;0.15208039303108;0.044591934538877;0.139227519365321;0.0911693171177819;0.0477157406300817;0.0462231284112371;0.0552238210382409
Fikayo Tomori;0.0275583881284895;0.0433077382300869;0.0591622134136002;0.104656288910411;0.107105650520417;0.022762926103643;0.0102224996644034;0.0489918053910553;0.152079589509615;0.0445932246321366;0.139228428263915;0.091169445047259;0.0477158146977772;0.0462222654687524;0.0552237220184379
Malick Thiaw;0.0275601101456978;0.043307402490511;0.0591626854961415;0.104656282223137;0.107105034832212;0.022762822993851;0.0102225991206128;0.0489913814825131;0.152081290766176;0.0445908127153615;0.139226942821786;0.0911691345831613;0.0477157741848283;0.0462239373054784;0.0552237888385326
Mike Maignan;0.0275601273716176;0.0433074093219125;0.0591627409705171;0.104656290188471;0.107105070757584;0.0227628292622924;0.0102226044136208;0.0489913856308828;0.152081277735545;0.0445907060354837;0.139226891636161;0.0911691406133897;0.0477157668396518;0.0462239433396181;0.0552238158832525
Noah Okafor;0.0275601747548901;0.043307432416935;0.0591629493595302;0.104656341123907;0.107105136897941;0.0227628486520529;0.0102226169779098;0.0489913720902958;0.152081253014141;0.0445903963791302;0.139226702463835;0.0911691824225582;0.0477157304292112;0.0462239474184565;0.0552239155992062
Olivier Giroud;0.0275592189526412;0.0433076239194398;0.0591626178665328;0.104656298646492;0.107105451857637;0.0227628951755533;0.0102225527063551;0.0489916140390215;0.152080269328586;0.0445919425520943;0.13922755748942;0.0911693451229536;0.0477157363515345;0.0462230254303793;0.055223850561359
Rafael Leao;0.027557915985216;0.0433078336652379;0.0591620959886883;0.104656284631508;0.107105867529835;0.022762959546549;0.0102224771404914;0.0489919396243905;0.152079102252027;0.0445938148090598;0.139228837179759;0.0911695240790675;0.0477158314040072;0.0462218059876464;0.0552237101765168
Samuel Chukwueze;0.0275631569161749;0.0433066852323768;0.0591632712810343;0.104656353416067;0.107103761481598;0.0227626199388445;0.0102227830689434;0.0489905778935283;0.152084727948252;0.0445863596226073;0.139224594062348;0.0911684952603179;0.0477158756979995;0.0462269895122385;0.05522374866767
Theo Hernandez;0.0275611032412819;0.0433072523000373;0.0591632118046459;0.104656345387053;0.107104770994001;0.0227627905676068;0.0102226669793988;0.0489911280619899;0.15208217785222;0.0445891419126444;0.139225886154702;0.0911690255771414;0.0477156984934181;0.0462248453506301;0.0552239553232308
Tijjani Reijnders;0.0275602341285117;0.0433074263895246;0.0591629420165972;0.104656320175544;0.107105100644612;0.02276284017563;0.0102226154095084;0.0489913584007031;0.152081285376557;0.0445904210941415;0.139226654253512;0.0911691717635368;0.0477157153820803;0.0462240047473784;0.0552239100421628
Tommaso Pobega;0.0275615330471722;0.0433071689919273;0.0591633592785935;0.104656359646664;0.107104623612354;0.0227627684301406;0.0102226941441171;0.0489910180969197;0.152082610133818;0.0445884797785868;0.139225497338875;0.0911689548376682;0.0477156893171737;0.0462252583349604;0.0552239850110293
Yacine Adli;0.027559100667379;0.0433076059950824;0.0591624802891414;0.104656315129709;0.107105406967005;0.0227628908032071;0.0102225439301557;0.0489916199903072;0.152080291065769;0.0445921302092933;0.139227762459203;0.091169336916826;0.04771578888946;0.0462229435723975;0.0552237831150647
Yunus Musah;0.0275605868162465;0.0433073470696468;0.0591629819667018;0.104656308345169;0.107104944567203;0.0227628121636522;0.0102226329820879;0.0489912692868064;0.152081661701351;0.0445899960376851;0.139226391138678;0.0911690940317622;0.0477157188875893;0.0462243598174652;0.0552238951879562
