;Achraf Hakimi;Bradley Barcola;Gianluigi Donnarumma;Goncalo Ramos;Kylian Mbappe;Lucas Hernandez;Manuel Ugarte;Marquinhos;Milan Skriniar;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.144339265143432;0.0302754218246207;0.0256999875197955;0.0578626861387518;0.0843587424756264;0.10279986293379;0.0764598569876552;0.102051249274476;0.0977969863560082;0.0851603197180113;0.0328643172354524;0.0503024557839949;0.110028848608385
Bradley Barcola;0.144337260187201;0.0302755640108711;0.0256998548266177;0.0578631321921209;0.0843600973453362;0.102800357894547;0.076459856323705;0.102051152331771;0.0977961014653088;0.0851606959669969;0.032864564121836;0.0503024252437181;0.110028938089971
Gianluigi Donnarumma;0.144337881345515;0.030275165389084;0.0257001243094964;0.0578629778792771;0.0843591474638514;0.102799815718252;0.0764600964501022;0.10205228228014;0.0977965374656968;0.0851610472355725;0.0328639286415944;0.0503024828327242;0.110028512988694
Goncalo Ramos;0.144336000759024;0.0302751663513436;0.0257000828727863;0.0578633916595913;0.0843602081391106;0.102800104327615;0.0764601859069101;0.102052608436824;0.0977957934306162;0.0851615952069212;0.0328639483122753;0.0503024674650504;0.110028447131932
Kylian Mbappe;0.144336795443573;0.0302754397368151;0.0256999247625632;0.0578632275024537;0.0843601603962115;0.10280025314468;0.076459961191566;0.102051629989648;0.0977960155728177;0.0851610149419556;0.0328643689417471;0.0503024302965396;0.110028778079429
Lucas Hernandez;0.144333454496651;0.0302750107215451;0.0257001303201061;0.0578639431454027;0.0843614363930083;0.102800361245847;0.0764604140061267;0.102053522987716;0.0977948219964435;0.0851625142912973;0.0328637302332069;0.0503024742392741;0.110028185923375
Manuel Ugarte;0.144335755893009;0.0302751136918987;0.0257001125729047;0.0578634426931763;0.0843602787307096;0.10280010777042;0.0764602336176318;0.102052807899932;0.0977956983598599;0.0851617208179892;0.0328638697747106;0.0503024767635039;0.110028381414254
Marquinhos;0.144332773266425;0.0302745870127853;0.0257003870660659;0.0578640764517294;0.0843611854748591;0.102800031671747;0.0764607345904951;0.102054951561671;0.0977947122111848;0.0851632650179756;0.0328630725958723;0.0503025333459973;0.110027689733192
Milan Skriniar;0.14434057118369;0.0302756433768913;0.0256998744454541;0.0578624067345647;0.0843583172117882;0.102799875400527;0.0764596412443236;0.102050348682011;0.0977974398811553;0.085159663163213;0.0328646524131082;0.0503024290202016;0.110029137243072
Ousmane Dembele;0.144335598334361;0.0302750108829864;0.0257001741046602;0.0578634739147617;0.0843602074714592;0.102800013405809;0.0764603111461188;0.10205315634442;0.0977956861302579;0.0851619097833176;0.0328637088437634;0.0503024890962363;0.110028260541847
Randal Kolo Muani;0.144336664665467;0.0302754277351267;0.0256999294594637;0.0578632573351681;0.0843602354390747;0.102800305295995;0.0764599778965569;0.102051675298496;0.0977959205393668;0.0851610453071311;0.0328643550568203;0.0503024402937728;0.110028765677561
Vitinha Ferreira;0.144336138855913;0.0302750933015018;0.0257001325603692;0.0578633586068735;0.0843600272238171;0.102800013307471;0.0764602296563847;0.102052806311774;0.0977958690934616;0.0851616457832243;0.0328638324149356;0.050302480851458;0.110028372032816
Warren Zaire-Emery;0.144336650721024;0.0302752771096388;0.0257000263764443;0.057863253158056;0.0843600054551575;0.102800130974125;0.0764600790448264;0.10205215256372;0.0977959980808313;0.0851612571799946;0.0328641176318177;0.0503024580902529;0.110028593614111
