;Anthony Racioppi;Aurele Amenda;Cedric Itten;Cheikh Niasse;Darian Males;Filip Ugrinic;Joel Monteiro;Loris Benito;Meschack Elia;Mohamed Ali Camara;Saidy Janko;Ulisses Garcia
Anthony Racioppi;0.0686448724113858;0.00916295094631763;0.0524668278577778;0.1101229378402;0.0561993582731202;0.07968353629884;0.0713626747855496;0.1296599583937;0.0937630738699883;0.0925115092062897;0.0642265664554635;0.172195733661368
Aurele Amenda;0.0686472215843433;0.0091626659815947;0.0524635695759934;0.11011903723321;0.0562009760159955;0.0796871468916415;0.0713591169839935;0.129656422183155;0.093769932339994;0.0925100191630188;0.0642305194657145;0.172193372581346
Cedric Itten;0.0686446473502796;0.00916253749460689;0.0524658948143816;0.110122169258858;0.0562005599950544;0.0796855298500355;0.071362239177423;0.129657385461336;0.0937657671721426;0.0925102049744762;0.0642290075945558;0.172194056856851
Cheikh Niasse;0.0686449434585379;0.00916271165912792;0.0524660583462031;0.110122045249244;0.056200063196393;0.0796849658933735;0.0713621097473674;0.129658458551773;0.0937651931937968;0.0925108407944748;0.0642281153003245;0.172194494609384
Darian Males;0.0686450011243205;0.00916279818733795;0.0524662179050681;0.11012202639467;0.0561997719026005;0.079684654727315;0.071362133582485;0.129659109504374;0.0937648120462114;0.0925112295935641;0.0642275837879341;0.17219466124412
Filip Ugrinic;0.068645413003139;0.00916257612622077;0.0524651891564807;0.110121131157156;0.056200653609398;0.0796860706619646;0.0713612770713057;0.129657179630288;0.0937671064054455;0.0925102290060717;0.064229433462631;0.1721937407099
Joel Monteiro;0.0686435840089732;0.00916255850101767;0.0524669646549064;0.110122754223929;0.0561998952330945;0.0796849707530601;0.0713633941708256;0.129658935875055;0.0937642995963863;0.0925111980421273;0.0642276860437508;0.172193758896875
Loris Benito;0.0686463413319134;0.00916269810428149;0.0524645871241404;0.11012037045328;0.0562006177339779;0.0796861525940153;0.0713603384130578;0.129657206392365;0.0937678697078394;0.0925102847468553;0.064229530441762;0.172194002956512
Meschack Elia;0.068645368102813;0.0091626376551634;0.0524654418377957;0.110121583930825;0.0562005167522488;0.0796855748298072;0.0713615153412771;0.129657447000935;0.0937663296849287;0.0925102696216923;0.0642290507295032;0.172194264513011
Mohamed Ali Camara;0.0686450824240862;0.00916280122832469;0.0524661337508135;0.110121815213475;0.0561997539090742;0.0796847713867739;0.0713620037916781;0.129659153637949;0.0937650433956577;0.0925113043013865;0.0642276055829268;0.172194531377854
Saidy Janko;0.0686457087286073;0.00916249325187106;0.0524648215526323;0.110122030296534;0.0562014453068135;0.0796859342226878;0.0713611943807821;0.129655310889158;0.0937669485370844;0.0925087594302562;0.0642306001221055;0.172194753281467
Ulisses Garcia;0.0686447196849808;0.00916273626468237;0.0524663973305961;0.110122719375542;0.0562000096337362;0.0796844661285508;0.0713625348481964;0.129658550086214;0.0937642787995303;0.0925107421672943;0.0642278327804864;0.172195012900191
