;Aleksandar Dragovic;Aleksandar Katai;Cherif Ndiaye;In-beom Hwang;Jean-Philippe Krasso;Marko Stamenic;Milan Rodic;Mirko Ivanic;Nasser Djiga;Omri Glazer;Osman Bukari;Peter Olayinka;Srdjan Mijailovic;Stefan Mitrovic;Vladimir Lucic
Aleksandar Dragovic;0.0947359888033449;0.0414056272278437;0.0628524894441241;0.124529512370555;0.015980862840774;0.0295183065877466;0.0611084705236965;0.105323252752056;0.0955082527884912;0.0401508595515331;0.0934054281793441;0.0154812502976776;0.0934277990676998;0.0646675389909032;0.0619043605742108
Aleksandar Katai;0.0947251222833839;0.0414140169664775;0.0628600224795084;0.124541711491608;0.015983184129125;0.0295130119583405;0.0610996283060929;0.105319326447532;0.0954929729666209;0.0401438033357467;0.0934142504551319;0.0154853539611666;0.0934352260008687;0.0646557208741612;0.0619166483442356
Cherif Ndiaye;0.0947301708729119;0.04140972345933;0.0628560118607454;0.124535199319046;0.0159819585323951;0.0295162972071742;0.0611051976198044;0.105321344346207;0.0955009787857934;0.0401479360869946;0.0934097303464379;0.0154832214962016;0.093431380409139;0.0646606648325206;0.0619101848252984
In-beom Hwang;0.0947290598371555;0.0414107976854726;0.0628570655327379;0.124536911670326;0.0159822769536237;0.0295152987410385;0.0611034856713765;0.10532083463649;0.0954989170797987;0.0401467417740742;0.0934108651904341;0.0154837645031257;0.0934323580632443;0.0646597615794487;0.0619118610816541
Jean-Philippe Krasso;0.0947243339318149;0.0414145106650451;0.0628604062046628;0.12454233954647;0.0159833070475134;0.0295128860096249;0.0610994426582728;0.105319100637895;0.0954921429693469;0.040143556528401;0.0934147661854453;0.0154855845269053;0.0934356371959099;0.0646546895778209;0.0619172963148721
Marko Stamenic;0.0947377636122236;0.0414030113558234;0.0628496659207726;0.124524867029565;0.0159800216268667;0.0295217518818271;0.0611144894002305;0.105324495913176;0.0955135951771763;0.0401546868393454;0.0934026675266426;0.0154798680163874;0.0934253534590549;0.0646677643165361;0.0618999979243727
Milan Rodic;0.094737291512383;0.0414034191594759;0.0628500500118969;0.12452549064417;0.0159801388305111;0.0295214301333993;0.0611139429097181;0.105324303884972;0.0955128308539403;0.0401542853491084;0.093403097214965;0.0154800711644664;0.0934257199820804;0.0646673119976894;0.061900616351224
Mirko Ivanic;0.0947327198113276;0.0414077236300909;0.0628542067709447;0.124532268775401;0.0159814017353171;0.0295176022720601;0.0611073865485519;0.105322277268996;0.0955046369370622;0.0401496576184697;0.0934076299017002;0.0154822397269218;0.093429607948674;0.064663396952151;0.0619072441023322
Nasser Djiga;0.0947334065870505;0.0414073511888672;0.0628539347170619;0.124531838755991;0.0159813148576918;0.0295176065044638;0.0611073577191882;0.1053224510401;0.0955052362705992;0.0401497609170999;0.0934072382213013;0.0154820718354612;0.0934292973717456;0.0646643619205346;0.0619067720928442
Omri Glazer;0.0947354920281012;0.0414049884805409;0.0628515326399608;0.124527895484031;0.0159805901214359;0.0295201746024911;0.0611118097608144;0.105323563621105;0.095509886975131;0.0401527251572509;0.0934047516087663;0.0154808531482011;0.0934271310927053;0.064665607993216;0.0619029972862492
Osman Bukari;0.0947267592479875;0.0414127602784575;0.0628588977508848;0.124539892334362;0.0159828380520054;0.0295137929633773;0.0611009290520041;0.105319916128141;0.0954952543589134;0.0401448484609404;0.0934129281191814;0.0154847405578623;0.0934341150999293;0.0646575127047535;0.0619148148912001
Peter Olayinka;0.09472370059067;0.0414151310774791;0.0628610189874293;0.124543339245565;0.0159834931833893;0.0295122961763152;0.0610984282368865;0.105318807698753;0.0954909434234204;0.0401428544862904;0.0934154211300061;0.0154859001140863;0.0934362048975822;0.0646541860616456;0.0619182746904814
Srdjan Mijailovic;0.0947277480090867;0.0414119484129683;0.0628581448686256;0.124538675345695;0.015982607777464;0.0295143818172048;0.061101923333458;0.105320297519454;0.0954967612476156;0.0401456009132707;0.093412073269667;0.015484339259556;0.093433386847089;0.0646585153903253;0.0619135959885213
Stefan Mitrovic;0.0947408038842154;0.0414018915584072;0.0628491358706258;0.124524071858221;0.0159798281293425;0.0295206810454012;0.061112441485918;0.105324997776218;0.0955150597351107;0.0401540171184788;0.0934015018439511;0.0154794216384273;0.0934244964012151;0.064672759625414;0.0618988920290542
Vladimir Lucic;0.0947250102109055;0.0414139226569573;0.0628598599267223;0.124541449087907;0.0159831407350974;0.0295133424069877;0.0611002157085564;0.105319378345758;0.0954932333468939;0.0401441279688869;0.0934141469946102;0.0154852929809197;0.0934351165806324;0.064655340809943;0.0619164222392224
