;Amadou Haidara;Castello Lukeba;Christoph Baumgartner;David Raum;Emil Forsberg;Janis Blaswich;Lois Openda;Lukas Klostermann;Mohamed Simakan;Nicolas Seiwald;Timo Werner;Xaver Schlager;Xavi Simons;Yussuf Poulsen
Amadou Haidara;0.0265639350550721;0.145330760835308;0.019819604344934;0.0914725168497747;0.0488808341729927;0.0883690544616813;0.0436908167338786;0.150011870860105;0.0548542647039224;0.0688218171993277;0.0276699522519581;0.0919248200702151;0.100081048471216;0.0425087039896144
Castello Lukeba;0.0265636850221996;0.145328071731105;0.0198200114621946;0.0914732220682057;0.0488799315812002;0.088370586160052;0.043689346917698;0.150011994625871;0.0548530142938379;0.0688213638677972;0.0276700094188531;0.0919250671777234;0.100083517571704;0.0425101781015586
Christoph Baumgartner;0.0265640132072203;0.14533158054881;0.0198194810742261;0.0914723067088251;0.0488811142667208;0.0883685848029498;0.0436912696483468;0.150011839877971;0.0548546479764777;0.0688219533747535;0.0276699359007193;0.0919247448459959;0.100080282380017;0.0425082453869674
David Raum;0.0265636467885465;0.145327688797094;0.0198200671706168;0.0914733276771452;0.0488798107496667;0.0883707973198923;0.043689151275487;0.150012028804645;0.0548528422458218;0.0688212970136809;0.0276700170539075;0.0919251007680421;0.100083849451154;0.0425103748843006
Emil Forsberg;0.0265636952197155;0.145328403505933;0.0198199527286519;0.0914731136930713;0.0488800572770445;0.0883703836769055;0.0436895702304795;0.150012023571322;0.0548531717219889;0.068821425587084;0.0276699871361198;0.0919250210688794;0.100083203708796;0.0425099908740087
Janis Blaswich;0.0265639893132901;0.145331463267553;0.0198194918100314;0.0914723212818435;0.04888106189751;0.0883686560262448;0.0436912010022452;0.150011834710328;0.054854591479825;0.0688219404954578;0.0276699328353414;0.0919247528492099;0.100080427024853;0.0425083360062661
Lois Openda;0.0265633292734371;0.145324263686143;0.0198205913941769;0.0914742206369419;0.0488786982859452;0.0883727285324562;0.0436873305171332;0.150012250964058;0.0548512492308463;0.0688207167040411;0.0276700792972201;0.091925400613552;0.100086932460957;0.0425122084030924
Lukas Klostermann;0.026563810674787;0.145329517111762;0.019819785602022;0.0914728429968933;0.0488804086555055;0.0883697636052519;0.0436901345405818;0.150011922087361;0.054853691837346;0.0688216091699271;0.0276699788689694;0.0919249357509426;0.100082203205151;0.0425093958935003
Mohamed Simakan;0.0265635201931098;0.145326127750669;0.0198203148619198;0.091473752472098;0.0488793020402715;0.0883716830307636;0.0436883001223294;0.150012110841724;0.0548521140310959;0.0688210263126946;0.0276700557985428;0.0919252468848125;0.100085243797238;0.042511201862732
Nicolas Seiwald;0.0265637491481865;0.145328794860465;0.0198199023124828;0.0914730271165827;0.0488801878440113;0.0883701658780009;0.0436897646555775;0.150011988412567;0.0548533508778596;0.0688214857906154;0.0276699881855804;0.0919249935935224;0.100082833687497;0.0425097676370518
Timo Werner;0.0265637376004698;0.145328444594602;0.0198199588509494;0.0914731537062007;0.0488800337182768;0.0883703889215915;0.0436894994952802;0.150011921495548;0.0548531907999599;0.06882141968112;0.0276700210352105;0.0919250537182846;0.100083191471867;0.0425099849106391
Xaver Schlager;0.0265639957280514;0.145331678999638;0.0198194507443634;0.0914722499048662;0.0488811147572471;0.0883685414250451;0.0436913055772735;0.150011802167143;0.0548546904699558;0.0688219844730785;0.0276699249543176;0.0919247329639598;0.100080276137735;0.0425082516973262
Xavi Simons;0.0265640420166533;0.145332238672845;0.0198193640108079;0.0914720965776477;0.0488813090732566;0.0883682173017855;0.0436916267597659;0.150011793566099;0.0548549514792315;0.068822080190708;0.0276699078687066;0.0919246760947913;0.100079755834199;0.0425079405535024
Yussuf Poulsen;0.0265642730789974;0.145335035754242;0.0198189236269533;0.0914713301875416;0.0488822125992916;0.0883666382139866;0.0436931360449186;0.150011628397352;0.054856248935253;0.0688225674755899;0.027669839195266;0.0919244162581274;0.100077278035032;0.0425064721974478
