;Andre Ramalho;Guus Til;Hirving Lozano;Ismael Saibari;Jerdy Schouten;Joey Veerman;Johan Bakayoko;Jordan Teze;Luuk de Jong;Malik Tillman;Olivier Boscagli;Sergino Dest;Walter Benitez;Yorbe Vertessen
Andre Ramalho;0.147122971317289;0.00439294633987924;0.0652683436437022;0.0131795134050318;0.104900777130955;0.128578108975783;0.0455062234436163;0.11640510005722;0.045450689005148;0.0489418708194568;0.0991375980966746;0.107710343685335;0.0666429281308115;0.00676258594909725
Guus Til;0.147114029541449;0.00439439732289116;0.0652728024297954;0.0131813069374641;0.10489990563026;0.128581778553723;0.0455069463187665;0.116403909984655;0.0454544410042258;0.0489448805302561;0.0991319392905719;0.10771121591546;0.0666383676465392;0.00676407889394123
Hirving Lozano;0.147112694601364;0.00439369956407383;0.0652708146859598;0.0131800649859627;0.104900659764562;0.128580266045539;0.0455063400825618;0.116408563693343;0.0454513961549282;0.0489428142114253;0.0991347317781411;0.107711029755012;0.0666435846566097;0.00676334002051764
Ismael Saibari;0.147116830767834;0.0043939413460784;0.0652715743647452;0.0131810458242533;0.104900591474148;0.128581229179684;0.0455067595982934;0.116403267233208;0.0454537039670855;0.0489442428793731;0.0991328564508422;0.107711190341395;0.0666391611900599;0.00676360538299925
Jerdy Schouten;0.147119717111043;0.00439306561185613;0.0652687350402547;0.0131795652128385;0.104901029434154;0.128578753057156;0.0455061748583192;0.116406570924231;0.0454505540344391;0.0489418637005553;0.0991369220788881;0.107710561922772;0.0666437882011707;0.00676269881232297
Joey Veerman;0.147118677079099;0.00439331640991597;0.0652695021379091;0.0131799593965871;0.104900930982315;0.128579496018905;0.045506326160919;0.116405820100946;0.0454514148451693;0.0489424820845299;0.0991357619808799;0.10771073205694;0.0666426235712908;0.00676295717459449
Johan Bakayoko;0.147118369787632;0.00439306296894059;0.0652687355703397;0.0131794731809927;0.104901144712925;0.128578837001736;0.0455061093537561;0.116407550872741;0.0454502471087936;0.0489416939229638;0.0991369251551981;0.107710621787697;0.0666445378292918;0.00676269074699269
Jordan Teze;0.147115482723388;0.00439299566041405;0.0652685810099384;0.0131792182784153;0.104901512589753;0.128578983287095;0.0455059287034222;0.116409819901108;0.0454494172319227;0.0489411996093575;0.0991370604316523;0.107710742343403;0.0666464488434118;0.00676260938671873
Luuk de Jong;0.147114021413319;0.00439376897915471;0.0652709698902525;0.0131803719156046;0.104900711392233;0.128580656301639;0.0455064623801478;0.116406869559619;0.0454521535937446;0.0489432171766127;0.0991340817458002;0.107711071212239;0.0666422287103393;0.00676341572929483
Malik Tillman;0.147119096843142;0.00439324064481137;0.0652692765474413;0.0131798120883081;0.104900885720724;0.128579159860744;0.0455062825609479;0.116406096901177;0.0454511041268047;0.0489422865251829;0.0991362373168668;0.107710653334319;0.0666429870180927;0.00676288051143775
Olivier Boscagli;0.147115447203781;0.00439334504633001;0.0652696490427677;0.0131797243057923;0.104901003579148;0.128579532823252;0.0455061950785463;0.116408245984971;0.0454506682001285;0.0489421444218904;0.0991359140300433;0.107710834108554;0.0666443191072941;0.00676297706750047
Sergino Dest;0.147118828045588;0.00439342434919961;0.0652698442211546;0.0131800928443816;0.104900692694834;0.128579560909809;0.0455064131102446;0.116405331560964;0.0454517756453562;0.0489427754652684;0.0991355248062449;0.107710724520036;0.0666419391689812;0.00676307265793719
Walter Benitez;0.147115807413079;0.00439319595069367;0.0652691969738793;0.0131796196279028;0.104901346313286;0.128579511469953;0.0455061073941135;0.116408358095858;0.0454503692421304;0.0489418468364161;0.0991361205883405;0.107710835234697;0.0666448646332087;0.00676282022644187
Yorbe Vertessen;0.147113139798705;0.00439365284094813;0.0652706271368459;0.0131799492297479;0.104900598151657;0.128579953156656;0.0455063215896743;0.116408748696994;0.0454511113270018;0.0489426568934395;0.0991351801677598;0.107710943849024;0.0666438210554207;0.00676329610612543
