;Boubakary Soumare;Djibril Sow;Dodi Lukebakio;Erik Lamela;Ivan Rakitic;Jesus Navas;Juanlu Sanchez ;Lucas Ocampos;Marcos Acuna;Mariano Diaz;Nemanja Gudelj;Orjan Nyland;Sergio Ramos;Youssef En-Nesyri
Boubakary Soumare;0.116657433772159;0.0403739125374423;0.0304649026710076;0.0474562173701667;0.125775474121631;0.0698884207173758;0.0373703784876708;0.0567690885160939;0.0703980304467159;0.0113039590400549;0.146439599879328;0.0700852720052278;0.16287389444934;0.0141434159857866
Djibril Sow;0.116656965372658;0.0403731073691697;0.0304644454366669;0.0474564041774148;0.125774981580453;0.0698907509817282;0.0373711419056324;0.0567683639123527;0.070397639810751;0.0113037451986883;0.146435782629066;0.0700841448633125;0.162878971822188;0.0141435549399191
Dodi Lukebakio;0.116657191722476;0.0403737812365875;0.0304650056051127;0.0474562747415909;0.125775405040649;0.0698884941767125;0.0373705545863383;0.0567692441816118;0.0703981635970981;0.0113039231878325;0.146439694664717;0.0700848887338762;0.162873959278617;0.0141434192467792
Erik Lamela;0.116657137343466;0.0403736291741963;0.0304648142914896;0.0474562959373459;0.125775338167355;0.0698891464108124;0.0373707392127332;0.0567690273677724;0.0703980269374236;0.0113038781279134;0.146438559349796;0.0700847509050926;0.1628751967082;0.0141434600664035
Ivan Rakitic;0.11665698359167;0.0403732207453585;0.0304645545125122;0.0474564170013078;0.125775147142088;0.0698903208044892;0.0373710613719743;0.0567685537571654;0.0703977229264139;0.0113037768095407;0.146436500594983;0.0700842312734963;0.162877972226227;0.0141435372427736
Jesus Navas;0.116656948111108;0.0403733102451721;0.0304644723771172;0.0474563500463475;0.125775264831166;0.0698905197051883;0.0373711855320028;0.0567686718668306;0.0703977939995254;0.011303773815692;0.146436298333109;0.0700843831754003;0.162877484858954;0.0141435431023871
Juanlu Sanchez ;0.116657263129362;0.0403735246842952;0.0304646547815842;0.0474563709584382;0.12577536532518;0.0698897092321108;0.0373708837774251;0.0567688305761906;0.0703978769751007;0.01130384003848;0.146437400985912;0.070084837734185;0.162875928049805;0.0141435137519324
Lucas Ocampos;0.116657033547246;0.040373704491026;0.0304647923017865;0.0474562036624227;0.125775394452456;0.0698889841377584;0.0373706300141608;0.056768999758044;0.0703979807116517;0.0113039058078958;0.146438966729962;0.0700846832050762;0.162875292794889;0.0141434283856243
Marcos Acuna;0.116657486808775;0.0403741045268869;0.030464871525883;0.0474561039962795;0.125775605648543;0.0698881512098131;0.0373702428578964;0.056769146945632;0.070398041249836;0.011304005526373;0.146440089384986;0.0700855273152476;0.162873236028335;0.0141433869755132
Mariano Diaz;0.116656860284252;0.0403727987636252;0.0304642335716355;0.047456554932794;0.125774931945441;0.0698917730093276;0.0373715672326571;0.0567681795242569;0.0703975211126669;0.0113036511624159;0.146433960728978;0.0700838379827859;0.16288048676894;0.0141436429802249
Nemanja Gudelj;0.116656729388903;0.0403730947460519;0.0304643922552409;0.0474562944473948;0.125774875404352;0.0698909473924866;0.0373712677234623;0.0567684372647764;0.0703977446837816;0.011303732221161;0.146435765208492;0.0700839645377266;0.162879215555657;0.0141435391705129
Orjan Nyland;0.116657884601595;0.0403746750185273;0.0304652523651718;0.0474559928472508;0.125775970600176;0.0698862640768725;0.0373695093593886;0.0567695194249319;0.0703981853564054;0.0113041766062598;0.146443094326399;0.070086284559376;0.162869918742694;0.0141432721149514
Sergio Ramos;0.116656647378663;0.0403725508592785;0.0304640835354604;0.0474564188343803;0.125774265910975;0.0698925403306227;0.0373717695357701;0.0567679381226796;0.0703975874952013;0.0113035832264746;0.146432970216958;0.0700835207353392;0.162882479553466;0.0141436442647314
Youssef En-Nesyri;0.116656939667732;0.0403731732911779;0.0304645664870209;0.0474562972220697;0.125774614740714;0.0698904295920762;0.0373711337233578;0.0567686257381957;0.0703979838719171;0.0113037572038259;0.146436512237583;0.0700842677007767;0.162878180693026;0.0141435178305283
