;Abel Ruiz;Al Musrati;Alvaro Djalo;Bruma;Cristian Borja ;Diogo Fonseca;Joao Moutinho;Joe Mendes;Matheus;Ricardo Horta;Rodrigo Zalazar;Serdar Saatci;Sikou Niakate;Simon Banza;Vitor Carvalho
Abel Ruiz;0.0111899421994844;0.153219072983785;0.055431795603291;0.0391025712304376;0.0856198111110094;0.0371254158359013;0.0444692226249937;0.0871154166820895;0.0294326921635514;0.0942513049856202;0.0928258825948362;0.0815321423855131;0.0807406445710838;0.0172016739813439;0.0907424110470598
Al Musrati;0.0111880777015677;0.153225407115537;0.0554277609750181;0.0390968277277535;0.0856154215610327;0.0371229536484723;0.0444653255237287;0.0871194038673169;0.0294353479601059;0.0942478797029787;0.0928200099023919;0.0815409092110831;0.0807463794369827;0.0171998581269291;0.0907484375391013
Alvaro Djalo;0.0111884607673741;0.153224969302593;0.0554288369741062;0.0390983423628381;0.0856164426866768;0.0371231781413196;0.0444663616887745;0.0871178551018066;0.0294349292837474;0.0942479137388336;0.0928220064245562;0.0815388901582281;0.080744306117117;0.0172003344461688;0.0907471728058597
Bruma;0.0111892791049954;0.153221355055094;0.0554307493246139;0.0391007769949004;0.0856183113051953;0.0371242403802504;0.0444680037357131;0.0871166208879573;0.0294336733568517;0.0942492329184164;0.0928246622156459;0.08153529825448;0.0807421304146093;0.0172010830178615;0.0907445830334157
Cristian Borja ;0.0111884808699934;0.153222575390697;0.0554295687114532;0.0390984374180163;0.0856163833870764;0.0371229460137218;0.0444663749510897;0.0871190943883585;0.0294346951662055;0.0942466941006472;0.0928230056868647;0.0815394082303203;0.0807446768602081;0.0172003003158559;0.0907473585094919
Diogo Fonseca;0.0111885716681787;0.153220693800701;0.0554295821264033;0.0390982846635563;0.0856164170817931;0.0371233823146634;0.0444662448330046;0.0871201125367131;0.0294343515793823;0.0942474999803067;0.0928224451746649;0.0815393961997274;0.0807456405096255;0.017200241771355;0.0907471357599251
Joao Moutinho;0.0111890599912737;0.153222983689616;0.0554300559129464;0.0391001353259476;0.0856178419452344;0.0371240180327149;0.0444675846458404;0.0871165754604076;0.0294340733767259;0.094249176579477;0.0928237279546839;0.0815360714326906;0.0807425660218422;0.0172009062322657;0.0907452233983338
Joe Mendes;0.0111878435078497;0.153225880900551;0.055428838935169;0.0390971628077359;0.0856150883374133;0.0371214930880392;0.0444655083421737;0.0871193131595852;0.0294358064177394;0.0942438643082845;0.0928227905835237;0.0815421029493777;0.0807449827000911;0.0171998793094664;0.0907494446530007
Matheus;0.0111883154699847;0.153225249070632;0.0554283283520464;0.0390977158447837;0.0856160521160936;0.0371231511060772;0.044465942757063;0.0871183995726984;0.0294350945238398;0.0942481063835926;0.0928210529517922;0.0815396350990241;0.0807451850942189;0.0172001426123926;0.0907476290457614
Ricardo Horta;0.0111886982527175;0.153221598643564;0.0554295472567424;0.0390987084419071;0.0856167948751725;0.0371236288145811;0.0444665661708181;0.0871190586356585;0.0294343020053058;0.0942482633393074;0.0928225010945914;0.0815384550318617;0.08074487805528;0.0172004073867576;0.0907465919957348
Rodrigo Zalazar;0.0111884867378414;0.153224948652;0.055429390129815;0.0390987837516231;0.0856165867912282;0.0371228306882243;0.0444666519516682;0.0871174881371062;0.0294349522303875;0.0942468097770123;0.0928232364885374;0.0815387598480479;0.0807434700471967;0.0172004488419798;0.0907471559273315
Serdar Saatci;0.0111881297241747;0.15322539586958;0.055428716070769;0.0390976166154127;0.0856156948106095;0.0371223713934594;0.0444658449448771;0.0871187310674545;0.0294353843376908;0.0942460213877949;0.0928221382902088;0.0815406237203034;0.080744885142778;0.0172000657537734;0.0907483808711135
Sikou Niakate;0.0111885548036083;0.15322247716135;0.0554296114988084;0.0390986209205259;0.08561655480054;0.0371231169714477;0.0444665017407785;0.0871188812322511;0.0294345963841378;0.0942470729224928;0.0928230178864913;0.0815390144605572;0.0807445220199859;0.0172003654213254;0.0907470917757
Simon Banza;0.011188198495759;0.153223512180229;0.0554286688208476;0.0390973562377336;0.0856156648359553;0.0371227932635884;0.0444656450308672;0.0871198748873532;0.0294350593756792;0.094246837438359;0.0928214491715166;0.0815407458193095;0.0807459884551015;0.0171999743521608;0.0907482316355399
Vitor Carvalho;0.0111880122306483;0.153224932802475;0.0554284918328628;0.0390971084512701;0.0856153415190249;0.0371222912602267;0.0444654831948827;0.0871195800660015;0.0294354477206436;0.0942458584711767;0.0928216007705957;0.0815414062332497;0.080745737025376;0.0171998926614113;0.0907488157601547
