;Alexander Schlager;Amankwah Forson;Amar Dedic;Andreas Ulmer;Dorgeles Nene;Karim Konate;Lucas Gourna-Douath;Luka Sucic;Mads Bidstrup;Maurits Kjaergaard;Nicolas Capaldo;Oscar Gloukh;Oumar Solet;Petar Ratkov;Roko Simic;Strahinja Pavlovic
Alexander Schlager;0.060994599339564;0.0142332564312753;0.0945609297047686;0.100161595844471;0.0119444075047307;0.00849534080587779;0.104185727661787;0.117191955798904;0.0218207052076565;0.0592593087025631;0.0160268616507929;0.0717158392400992;0.143248080108069;0.00696630195389187;0.046263987083807;0.122931102961741
Amankwah Forson;0.0609946021368721;0.0142329925248265;0.0945625717566121;0.100163116558098;0.0119442430068616;0.00849533821301229;0.104185004545421;0.117192473342957;0.0218206192759797;0.0592596384039579;0.0160264223083283;0.0717159177008555;0.143247292675236;0.00696626660415752;0.046264057413402;0.122929443533422
Amar Dedic;0.0609964139336368;0.0142331884523731;0.0945615924409783;0.100162847435607;0.0119442957546416;0.00849533132716106;0.10418628501827;0.11719266638867;0.0218209513936165;0.0592600391699567;0.0160265685649297;0.0717157154796552;0.143246944859051;0.00696629046341821;0.0462642579044289;0.122926611413605
Andreas Ulmer;0.0609956155042713;0.0142332555325965;0.0945611225377603;0.100162163764834;0.0119443647053828;0.0084953182421112;0.104186442230887;0.117192751105991;0.021820888758039;0.0592599146538859;0.0160267200337779;0.0717160217536404;0.143247078087656;0.0069663390601014;0.0462644216524927;0.122927582376572
Dorgeles Nene;0.0609970556885968;0.0142328507631156;0.0945635523264071;0.100164710601659;0.0119440842028964;0.00849539299127443;0.104184570092703;0.117191876152227;0.021820814821552;0.0592598398356622;0.0160261243599362;0.0717148201750112;0.143247270778981;0.00696610393745388;0.0462633567671856;0.122927576505338
Karim Konate;0.06099287284159;0.0142335825907223;0.0945587472444514;0.100158991991775;0.0119446765477915;0.00849532436206793;0.1041864589076;0.117191613150281;0.0218206144934407;0.059258728050011;0.0160275270679044;0.0717163420831924;0.143249071760518;0.00696641397416849;0.046264157109081;0.122934877825404
Lucas Gourna-Douath;0.0609943477092818;0.0142331514773334;0.0945615863844363;0.100162140123506;0.0119443488266984;0.00849532905368805;0.104185533167951;0.117192390009973;0.0218206557726972;0.0592595090278053;0.0160266835833636;0.0717160641311625;0.143247584818144;0.00696631378058225;0.0462641748350494;0.122930187298327
Luka Sucic;0.0609941428277199;0.0142330613070963;0.0945621834368826;0.100162669975119;0.0119442940057903;0.00849531008877157;0.104185496986602;0.117192966625435;0.0218206299133605;0.0592597869941473;0.0160265034584631;0.0717163726405086;0.14324695409723;0.00696634142720381;0.0462644731540309;0.122928813061639
Mads Bidstrup;0.0609946665461365;0.0142332574968308;0.0945611243744798;0.100161941705927;0.0119443877843299;0.0084952804691373;0.104186711789841;0.117193473259335;0.0218208244198062;0.0592601017453435;0.0160267052671031;0.0717166836222024;0.143246539472856;0.00696642810533494;0.0462649606210537;0.122926913320282
Maurits Kjaergaard;0.0609956474635728;0.0142332526146352;0.0945611460389048;0.100162193050809;0.0119443625360121;0.00849531701831496;0.104186479391003;0.117192815519366;0.0218208955412511;0.059259955393389;0.0160267126701114;0.0717160455525955;0.14324700134581;0.00696634198543139;0.0462644510974388;0.122927382781354
Nicolas Capaldo;0.0609947751246613;0.0142332069456554;0.0945613101973026;0.100162026931148;0.0119443694624893;0.00849532124550188;0.104186012900001;0.117192650952928;0.0218207524531867;0.0592597150863295;0.0160267291667175;0.071716138002983;0.143247286622607;0.00696633775655753;0.0462643459087826;0.122929021243147
Oscar Gloukh;0.0609958829269802;0.0142332061823948;0.0945614802037313;0.100162587176152;0.0119443250826217;0.00849530978210923;0.104186565326691;0.117193162018645;0.0218209273892073;0.0592601914202836;0.0160266037220465;0.0717161391550296;0.143246555471369;0.00696634932447238;0.0462645998629889;0.122926114955278
Oumar Solet;0.0609954228946275;0.0142332517711083;0.0945610756201809;0.100162001207274;0.0119443778022249;0.00849533030239652;0.104186233016825;0.117192502848471;0.0218208429783623;0.0592597540830452;0.0160267741180523;0.071715918604149;0.143247352323168;0.00696631961021857;0.0462642437013873;0.122928599118508
Petar Ratkov;0.0609945903119718;0.0142329104164431;0.0945630920173708;0.100163595603677;0.0119441924612567;0.00849533392006599;0.1041848536481;0.117192754517617;0.0218205984933654;0.0592598008309873;0.0160262813786616;0.0717160106432691;0.143246924616277;0.00696626473656569;0.0462641462279166;0.122928650176454
Roko Simic;0.0609953963580187;0.0142331448242065;0.0945618175677037;0.100162765845762;0.0119442988253399;0.00849530848150532;0.104186173640889;0.117193097011982;0.0218208356587339;0.0592600752916191;0.01602652649548;0.0717161900739836;0.143246665311444;0.00696634282202568;0.046264562750942;0.122926799040363
Strahinja Pavlovic;0.0609971915593212;0.0142330324107735;0.0945625214158286;0.100163862597813;0.011944184737493;0.00849536921843143;0.104185524231559;0.1171921929558;0.0218209396221172;0.05925998489856;0.0160263497625559;0.0717151115989517;0.143247108048433;0.00696618051092733;0.0462637300036643;0.12292671642777
