;Aihen Munoz;Alex Remiro;Ander Barrene;Aritz Elustondo;Arsen Zakharyan;Brais Mendez;Carlos Fernandez;Hamari Traore;Igor Zubeldia;Martin Zubimendi;Mikel Merino;Mikel Oyarzabal;Robin Le Normand;Takefusa Kubo
Aihen Munoz;0.109034459755714;0.0458800686020452;0.0758805283108191;0.0211251303191305;0.0131360599662303;0.0834396329997933;0.00606301006616214;0.0806433436314746;0.128292351221867;0.132696343550883;0.0887557960950529;0.0444723854816658;0.108236235172813;0.0623446548263511
Alex Remiro;0.109038253230771;0.0458798354138288;0.0758778006498737;0.021124845234125;0.0131357398536268;0.0834404472492799;0.00606296576453315;0.0806425634258791;0.128295114353722;0.132695690098434;0.0887556184471722;0.044473368390605;0.108233146823012;0.0623446110651376
Ander Barrene;0.109040734410298;0.0458797450102167;0.0758762284338977;0.0211246339773347;0.0131355491796414;0.0834408263724387;0.00606294686120038;0.0806419585140952;0.128296744850628;0.132695228537899;0.0887555910963721;0.0444739550194953;0.108231367121366;0.062344490615118
Aritz Elustondo;0.109041838207894;0.0458795865087919;0.0758754139790825;0.0211245565669063;0.0131354633243657;0.0834411465389668;0.00606294057651709;0.0806417406870357;0.128297545616748;0.132695080541975;0.0887555578979204;0.0444743059828435;0.10823029697761;0.0623445265933449
Arsen Zakharyan;0.109041873344321;0.0458796918598112;0.075875471066212;0.0211245391731483;0.0131354580149525;0.083441025804361;0.00606293625114793;0.0806416893078628;0.128297533869729;0.132695023237819;0.0887555615337429;0.0444742312024228;0.108230512210415;0.0623444531240542
Brais Mendez;0.109037397439906;0.0458798457276852;0.0758785610941993;0.0211248993332168;0.0131358350638128;0.0834402290231905;0.00606299085293753;0.0806426878341672;0.128294329466201;0.132695853339032;0.0887557508238905;0.0444731734339556;0.108233852029347;0.0623445945384597
Carlos Fernandez;0.109036134976578;0.0458799638709447;0.0758794871179707;0.0211249898045205;0.0131359391806274;0.0834399161706507;0.00606300319690077;0.0806429358588246;0.12829340815539;0.13269605151458;0.0887558051931678;0.0444728155415931;0.108234963599559;0.0623445858186934
Hamari Traore;0.109041316892929;0.0458796254726684;0.0758758277473604;0.0211245916853075;0.0131355113238951;0.0834410103284438;0.00606294898783895;0.0806418317337221;0.128297130278661;0.132695166295239;0.0887556004358089;0.0444741642930976;0.108230756932312;0.0623445175927175
Igor Zubeldia;0.109034456950604;0.0458799945488324;0.0758804547243544;0.0211251451267709;0.0131360602491172;0.0834397316411697;0.00606301182585221;0.0806433919034845;0.128292378599927;0.132696380186767;0.0887557856488425;0.0444724476287265;0.108236052261833;0.0623447087037201
Martin Zubimendi;0.109037630291214;0.0458798391746963;0.0758783073312556;0.0211248894910016;0.0131358038771399;0.0834403141819735;0.00606298086867883;0.0806426740354683;0.128294585983585;0.132695811637029;0.0887556917044328;0.0444732315667645;0.108233625011346;0.0623446148454165
Mikel Merino;0.109038221061678;0.0458798293375846;0.0758779830033593;0.0211248322939956;0.0131357628979815;0.0834403700274599;0.00606297884884004;0.0806425035071433;0.128294937652022;0.132695695250288;0.0887557057502244;0.0444733583412528;0.108233254937576;0.0623445670905952
Mikel Oyarzabal;0.109039382794378;0.0458797508149991;0.0758771375110151;0.0211247456070566;0.0131356641979592;0.0834406295058789;0.00606296503496116;0.080642266484334;0.128295795158219;0.132695498973015;0.0887556475436228;0.0444736636852614;0.108232292033119;0.0623445606561823
Robin Le Normand;0.109042683671818;0.0458796238194548;0.075874742299972;0.0211244946069645;0.0131353741818738;0.0834412859097748;0.00606291764585537;0.0806415884110239;0.128298251584937;0.132694895358107;0.0887554546863578;0.0444744630443759;0.108229729279786;0.0623444954997003
Takefusa Kubo;0.109035654430503;0.04587993083406;0.0758797724481324;0.0211250361307171;0.013135979650372;0.0834398934865055;0.00606301018414191;0.0806430670332548;0.128293089426401;0.132696164996458;0.0887558185633494;0.0444727406690547;0.108235205178233;0.0623446369688187
