;Alexander Bah;Anatoliy Trubin;Antonio Silva;Arthur Cabral;Chiquinho;David Jurasek;David Neres;Fredrik Aursnes;Joao Mario;Joao Neves;Juan Bernat;Nicolas Otamendi;Orkun Kokcu;Petar Musa;Rafa Silva;Tiago Gouveia
Alexander Bah;0.132052360807659;0.0383120430308151;0.0971538550845606;0.0418976809480756;0.00687826383792122;0.0645096383729721;0.0878186296092444;0.121388524871242;0.0512404149752644;0.102726062970257;0.015346026576594;0.0801210756958672;0.058290737776176;0.0101383025956266;0.0718148164794648;0.0203115663682604
Anatoliy Trubin;0.13205126108061;0.0383123240083963;0.0971530020661542;0.0418970294357689;0.00687802559423963;0.0645114882178753;0.0878172064775285;0.121390146637816;0.0512428125967149;0.102725128258402;0.0153455081223881;0.0801223499369196;0.0582900573862979;0.0101383621034916;0.0718141876351238;0.0203111104422741
Antonio Silva;0.132052955935982;0.03831197617733;0.0971532187351021;0.0418977207410952;0.00687798774467276;0.0645101968753364;0.087818020597443;0.121389323260081;0.0512407074383827;0.102725456021143;0.0153462849413307;0.0801211269217861;0.0582906159130604;0.010138345099581;0.0718144570595694;0.0203116065381041
Arthur Cabral;0.132053294735345;0.0383125235350436;0.0971536533286578;0.0418990086857914;0.00687915060607678;0.0645076161430162;0.0878190914919905;0.121385804306694;0.051239436946493;0.102726744287633;0.0153466468863203;0.0801210467215781;0.0582917215211604;0.0101384763110388;0.0718142084837819;0.020311576009379
Chiquinho;0.132056337604399;0.038311046240592;0.0971542286882747;0.0419040948839835;0.00688046937796833;0.0645058695620653;0.0878227069578034;0.121383948850026;0.0512314243338992;0.102723705238624;0.0153516800540252;0.0801187262748919;0.058292824433179;0.0101379381814416;0.0718134066042737;0.0203115927145533
David Jurasek;0.132050754608237;0.0383122276435574;0.0971523496845225;0.0418964684328493;0.00687759079833898;0.0645132548898941;0.0878163849520862;0.121392314734798;0.051243987938232;0.102723972930127;0.0153453471825185;0.0801228474990507;0.0582894435237165;0.0101382856496411;0.071813853083051;0.0203109164493804
David Neres;0.132052846710406;0.0383118328946055;0.0971536750303541;0.0418978208588843;0.00687800695180612;0.0645099761838583;0.0878184125258216;0.121389018832574;0.0512402478547096;0.102725616215845;0.0153463899767813;0.0801208914388141;0.0582905905748573;0.0101382937894016;0.0718147277228519;0.0203116524384293
Fredrik Aursnes;0.13205175940818;0.0383121350626762;0.0971526987265984;0.0418969255600517;0.00687769910018738;0.0645119475109055;0.0878170060846632;0.12139105809954;0.051242697249841;0.102724682736833;0.0153457011812513;0.0801220778338756;0.0582899266595236;0.0101383228330455;0.0718141006517277;0.0203112613010995
Joao Mario;0.132049995730329;0.0383119505570626;0.0971531078092402;0.0418961770270621;0.00687747759052373;0.0645135771372941;0.087816691683463;0.121392378177671;0.0512438805222924;0.102724169541727;0.0153451461624217;0.0801228456045558;0.0582890812904199;0.0101382209650776;0.0718144975160817;0.0203108026847781
Joao Neves;0.132052155539539;0.0383121896531409;0.0971540415034741;0.0418978481517309;0.00687851615521218;0.064509171567079;0.0878187823685086;0.12138772888037;0.0512404102435562;0.102726413120352;0.0153459618207671;0.080121216005337;0.0582908922292521;0.0101383433530586;0.0718148371245705;0.0203114922840519
Juan Bernat;0.132053116405304;0.0383129442933764;0.0971535987657217;0.0419010088935315;0.00688044775807576;0.0645064297756517;0.0878199485355105;0.121383453488685;0.0512383491504231;0.102726263474209;0.0153478718468317;0.0801215008972613;0.0582923833553595;0.0101384458516799;0.0718130963180172;0.0203111411903612
Nicolas Otamendi;0.132051539445531;0.0383118098861442;0.0971532005026496;0.0418973262202988;0.00687779535408667;0.064512045388845;0.0878176031502945;0.121391010701833;0.0512417813224862;0.102724342884315;0.0153461521592513;0.0801218675298669;0.0582898062196704;0.0101382033040333;0.0718143537853669;0.0203111621453271
Orkun Kokcu;0.132052665693135;0.0383119022526183;0.0971535753801221;0.0418982945959308;0.00687834404788368;0.0645099427941319;0.0878186150429898;0.121388747078108;0.0512399763369045;0.102725274757417;0.0153466944960862;0.0801211067647066;0.0582907010623342;0.0101382640625034;0.0718144410980332;0.0203114545370945
Petar Musa;0.132051234906682;0.0383122080618185;0.0971524464993871;0.0418965085761372;0.00687753002881356;0.0645127533557388;0.0878164715815211;0.121391869286722;0.0512436843468197;0.102724362941341;0.0153453863384313;0.0801225299536971;0.0582896022433966;0.0101383284620423;0.0718139742268026;0.0203111091906488
Rafa Silva;0.132053955491472;0.0383116463654118;0.0971531189111434;0.0418984452155298;0.00687798577006876;0.0645099564140314;0.0878184882050145;0.121389396569888;0.051239269808655;0.102724905198758;0.0153471616218059;0.0801204816210342;0.0582908133364911;0.0101382642663279;0.0718143326212265;0.0203117785831406
Tiago Gouveia;0.132051876258347;0.0383120640620874;0.0971539895954744;0.0418976487679527;0.00687830915443826;0.0645098770448252;0.0878185445721328;0.121388495352834;0.0512407716238418;0.102725999757969;0.0153459492388323;0.0801213502720449;0.0582905688575826;0.0101383001425421;0.0718148349321283;0.0203114203669675
