;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Jan Oblak;Javi Galan;Koke;Marcos Llorente;Mario Hermoso;Nahuel Molina;Rodrigo de Paul;Rodrigo Riquelme;Saul Niguez;Stefan Savic
Alvaro Morata;0.0317425095567561;0.0180409552892452;0.126135688426052;0.0846628284322393;0.0326758347454023;0.035821125295955;0.159968427903791;0.0538053791304242;0.074529425066113;0.104721376538283;0.148115728986761;0.0324374556746109;0.0203853978455909;0.0769578671087759
Angel Correa;0.0317432659288868;0.0180429752722398;0.126135392336998;0.0846615006505079;0.032674220661629;0.0358196793328569;0.159963149405263;0.0538062680170421;0.0745274944424748;0.104727768820321;0.148120633596917;0.0324368860885157;0.020386551055659;0.0769542143906894
Antoine Griezmann;0.0317427773474633;0.0180414679512048;0.126138029798507;0.0846607909326333;0.0326750831966782;0.0358206372913159;0.15996874079689;0.0538064429131152;0.0745284514237555;0.104721615594502;0.148116005340331;0.0324370185911214;0.0203853067709032;0.0769576320515796
Axel Witsel;0.0317422867183901;0.018040671280629;0.126133124187878;0.0846638520503586;0.0326766663138318;0.0358213441964431;0.159968691790743;0.0538044212428404;0.0745304798458233;0.104721444251304;0.148115859720841;0.0324377020316481;0.0203854405336598;0.0769580158356098
Jan Oblak;0.0317423680097958;0.0180410417164388;0.126132508402604;0.0846628752136378;0.0326766890510331;0.0358209696905945;0.15996877152708;0.0538044697086151;0.0745305765552615;0.104722321976676;0.148116747712551;0.032437508302765;0.0203855014975394;0.076957650635408
Javi Galan;0.0317422309812159;0.018040530814882;0.126132766193642;0.0846645432125127;0.0326767489217327;0.0358214989956026;0.159968364354666;0.0538041995705808;0.0745306172016075;0.104721376995099;0.148115751994011;0.0324378373886443;0.0203854877424996;0.0769580456333039
Koke;0.0317424220513897;0.0180410772965095;0.126133312407893;0.0846626770288386;0.0326764660069144;0.0358209533904313;0.15996872685812;0.0538047405740822;0.0745302534134225;0.104722202224476;0.148116589386367;0.0324374543655782;0.0203854796761095;0.0769576453198685
Marcos Llorente;0.0317430019645429;0.0180416242734125;0.126141543296055;0.0846597919920908;0.0326740971027149;0.0358205356133045;0.159968691245887;0.0538076239624768;0.0745271540283841;0.104720936846316;0.148115317248463;0.0324367778394723;0.0203851699437225;0.0769577346431586
Mario Hermoso;0.0317423128131122;0.0180407897268602;0.126133041026746;0.084663391343134;0.0326766735233644;0.0358212100223083;0.159968884126198;0.0538044796834392;0.0745305088937378;0.104721624136856;0.148116083852455;0.0324376155932788;0.0203854275441379;0.0769579577143717
Nahuel Molina;0.0317427713759748;0.0180419279482873;0.126133823688956;0.0846620814507242;0.0326756090919273;0.0358203599074915;0.159966425679156;0.0538052993498152;0.0745292006913005;0.104724737749366;0.148118493410356;0.0324371920082325;0.020385949213518;0.0769561284348958
Rodrigo de Paul;0.0317426770313348;0.0180416685811584;0.126133757414742;0.0846624874673104;0.0326757867093591;0.0358205686845939;0.159966818216759;0.0538051386719449;0.0745294333835019;0.104724052779929;0.14811794195075;0.0324373053319509;0.0203858499377885;0.0769565138388767
Rodrigo Riquelme;0.0317428116151083;0.0180414349779828;0.126138667952504;0.0846611359764123;0.0326748502995136;0.0358207207961824;0.159968268724979;0.053806592777139;0.07452813709633;0.104721566137702;0.14811583848198;0.0324370611459992;0.0203853505104352;0.0769575635077336
Saul Niguez;0.0317423691864283;0.0180408870548359;0.126133357047911;0.0846633380167983;0.0326764937598213;0.035821153633051;0.159968545814598;0.0538046213607873;0.0745302787893555;0.10472187016095;0.148116238706093;0.0324375841260708;0.0203854815544822;0.0769577807888179
Stefan Savic;0.0317423607851059;0.0180404610576311;0.126136351547723;0.084663232825875;0.032676027023153;0.0358215068010761;0.159969478623163;0.0538053333101455;0.0745296490521754;0.104719732986851;0.148114399130563;0.0324375997411133;0.0203851244582423;0.0769587426571826
