;Alistair Johnston;Callum McGregor;Cameron Carter-Vickers;Daizen Maeda;Greg Taylor;James Forrest;Joe Hart;Kyogo Furuhashi;Liam Scales;Luis Palma;Matt O'Riley;Nathaniel Phillips;Paulo Bernardo
Alistair Johnston;0.158922558659135;0.0848532686873603;0.122344338476286;0.0669327368864364;0.115937698302939;0.0221905743527769;0.0318991353103539;0.0310786352192982;0.131157024280308;0.0461919393245195;0.0933820764203673;0.0465394202627652;0.0485705938174547
Callum McGregor;0.158924206722238;0.0848531479153277;0.122343910153875;0.0669283422987293;0.115938418980257;0.0221908265651461;0.0318986167639076;0.0310792916174895;0.131158801480513;0.0461939932104917;0.0933796950412414;0.0465384464012816;0.0485723028495024
Cameron Carter-Vickers;0.158926735057747;0.0848530032173562;0.122344177382721;0.066928288947183;0.115936110463159;0.022190861749651;0.0318985496975159;0.0310796326790744;0.131158425420247;0.0461938719004388;0.0933794776001053;0.0465387642871575;0.0485721015976441
Daizen Maeda;0.158926142566765;0.0848529907244659;0.122344901140971;0.066930119273877;0.115936839182854;0.0221907321966143;0.0318988149794377;0.0310792980773629;0.131156871087003;0.0461925716548712;0.0933803578015119;0.0465391403567702;0.0485712209574962
Greg Taylor;0.158923586352041;0.0848532385795985;0.122342950891102;0.0669264074147745;0.115938677535257;0.0221909503986596;0.0318983608560757;0.0310794879352494;0.131160730137914;0.0461954888935859;0.0933788696552718;0.0465378895408211;0.0485733618096491
James Forrest;0.158922398299324;0.0848533016873221;0.122343817207017;0.0669312913803086;0.115937950149851;0.0221906629370216;0.0318989524456822;0.0310787997533589;0.131158174456372;0.0461929056407576;0.0933814052804872;0.0465390313822547;0.048571309380244
Joe Hart;0.158924148535854;0.0848531890452315;0.122343704377323;0.0669291288611459;0.11593742853944;0.022190799276284;0.0318986741312001;0.0310792480545633;0.13115890621073;0.0461938649514547;0.0933801636210822;0.0465386759258664;0.0485720684698237
Kyogo Furuhashi;0.158920930410801;0.0848533696272473;0.122344135382405;0.0669329822396869;0.11593895187951;0.0221905434845617;0.0318991956715415;0.0310784028539318;0.131157258416008;0.0461919636016581;0.0933823365942404;0.0465392774222933;0.0485706524161151
Liam Scales;0.158917667240063;0.0848534942585985;0.122344122096958;0.0669317803053434;0.115943637577011;0.0221905405158063;0.0318991927333757;0.0310780193041733;0.131157575678427;0.0461923253448876;0.0933818653555793;0.0465384832190062;0.0485712963707707
Luis Palma;0.158919078828361;0.084853457963411;0.122343444924142;0.0669296367325338;0.115942313709501;0.0221906970041432;0.0318988735617518;0.0310784937930271;0.131159144183146;0.0461937305027906;0.0933807624316586;0.0465381298668551;0.0485722364986796
Matt O'Riley;0.158925740626165;0.0848530276942795;0.122344507243022;0.0669289912597046;0.115937381244403;0.0221907957038615;0.0318986831358189;0.0310793837547446;0.131157748255768;0.0461933064377838;0.0933798465537728;0.0465387971589426;0.0485717909317346
Nathaniel Phillips;0.158926711323193;0.0848529555121612;0.122344874471507;0.0669295335126825;0.115936597283838;0.0221907706341389;0.0318987366895643;0.0310794329259634;0.13115706376431;0.0461928311117779;0.0933800156494935;0.0465390570357486;0.0485714200856217
Paulo Bernardo;0.158922563545831;0.0848532375647984;0.122343666275123;0.0669278053191867;0.115940229649153;0.0221908333236609;0.0318985989497689;0.0310791256203612;0.131159297828794;0.046194344349732;0.0933795410359814;0.0465380842774401;0.048572672260169
