;Alexander Isak;Anthony Gordon;Bruno Guimaraes;Callum Wilson;Dan Burn;Fabian Schar;Jacob Murphy;Jamaal Lascelles;Joe Willock;Joelinton;Kieran Trippier;Matt Targett;Miguel Almiron;Nick Pope;Sandro Tonali;Sean Longstaff
Alexander Isak;0.00840977388754265;0.102441863111619;0.131962479390757;0.0315065346187207;0.0481718926493559;0.102948906961327;0.00524648290923746;0.093788227684279;0.0283274595968814;0.0610428510471185;0.154598588056345;0.0380454307263867;0.0945158222967671;0.0227240792982595;0.0374538161094736;0.0388157916559292
Anthony Gordon;0.00841048539134529;0.102441774937663;0.131961618287995;0.0315071805594746;0.0481699734828992;0.102950858588251;0.00524587964832832;0.0937852888941551;0.0283280537986794;0.0610441166293124;0.154604805764364;0.0380451663934156;0.094513565989162;0.0227230395256957;0.0374526416759617;0.0388155504332988
Bruno Guimaraes;0.00841036583722213;0.102442427842467;0.13196283476805;0.0315073385219973;0.0481708144888766;0.102948677537628;0.00524584089840966;0.0937849956040694;0.0283280349412956;0.0610439701385351;0.154603864775949;0.0380456164303601;0.0945143736820888;0.0227228022362558;0.0374525216656011;0.0388155206311962
Callum Wilson;0.0084098694907131;0.102442978649568;0.131963034961499;0.0315068233147225;0.0481728784611953;0.102948395015845;0.00524612890597571;0.0937865069169689;0.0283276615242836;0.0610437347700935;0.154599315080325;0.0380459095539599;0.0945149450807215;0.0227234340861441;0.0374527901633944;0.0388155940245911
Dan Burn;0.00841009316777475;0.102441084806228;0.131966151963172;0.0315061949765344;0.0481753895387505;0.102942144638746;0.00524634611586672;0.0937882856003569;0.0283265103490849;0.0610395115882561;0.154601642313632;0.0380465818091554;0.0945158724299073;0.0227240841152332;0.037453670807125;0.0388164357801768
Fabian Schar;0.008410664655112;0.102442028890349;0.131959058211131;0.0315080844119442;0.0481640623179727;0.102955478534871;0.00524591574193956;0.0937843026366423;0.0283292949725331;0.0610464310022954;0.154605892834814;0.038043665249486;0.0945142422472477;0.0227224962755606;0.0374532921704502;0.038815089847651
Jacob Murphy;0.00840992535434816;0.102443729684622;0.131962581922965;0.0315070837039143;0.0481705317797714;0.10294969183514;0.00524632986441926;0.093786521335501;0.028328260574484;0.0610440663582603;0.154598017064896;0.0380450505207415;0.0945154512998709;0.022723418771205;0.0374536324286103;0.0388157075012512
Jamaal Lascelles;0.00841016976689254;0.10244346220705;0.131964300477564;0.0315071918451268;0.0481714637105429;0.102946491080386;0.00524616925703471;0.0937859301784962;0.0283280421125011;0.0610428807580095;0.154600294803572;0.0380455482531519;0.0945155671673329;0.022723122764998;0.037453443931365;0.0388159216859766
Joe Willock;0.00840995195268768;0.102440911919626;0.131961715161407;0.0315067095728378;0.0481706080198757;0.102949831074049;0.00524637189335132;0.0937879237339405;0.0283275154137987;0.0610431235740746;0.154601176770733;0.0380452592196712;0.094515660280302;0.0227239198711517;0.0374536897130894;0.0388156318294048
Joelinton;0.00841017477121046;0.102442242238309;0.131961965270634;0.0315071325442758;0.0481698539681036;0.102950177836184;0.00524615338375756;0.0937862688098741;0.0283280615097453;0.061043924982755;0.154601812130178;0.0380450800363606;0.0945149558235437;0.0227233092315809;0.037453306502869;0.0388155809606195
Kieran Trippier;0.00841029269237399;0.102442730824355;0.131964386656173;0.0315073248717796;0.0481727347044893;0.102945812289633;0.00524570323795767;0.0937846750897324;0.0283276823989551;0.0610433679031742;0.154604014630315;0.0380464066818979;0.094514713662111;0.0227225978823188;0.0374520505669799;0.0388155059077535
Matt Targett;0.00841034591136396;0.102440841725054;0.131963742777198;0.0315063742423473;0.0481725240884118;0.102946776537398;0.00524628434710459;0.0937877002600041;0.0283270510704168;0.0610408725808866;0.154603440285207;0.038045576935189;0.0945145656081527;0.0227239976592308;0.0374536736951038;0.0388162322769314
Miguel Almiron;0.00841030887484576;0.102443687261278;0.13196143209664;0.0315073620911994;0.048169188596322;0.102952104319255;0.00524604253802723;0.0937850483606245;0.0283286877295547;0.0610450969303608;0.154600959365395;0.0380446624403803;0.0945138204189375;0.0227229742245952;0.0374530429720968;0.0388155817804875
Nick Pope;0.00841049900735589;0.102442718171472;0.131964444469168;0.031507445943992;0.0481708962882647;0.102945973620436;0.00524587122214809;0.0937848736325191;0.0283279826160107;0.0610427565245922;0.154604442696875;0.0380457127547928;0.0945150334438186;0.0227226699817442;0.0374528973236679;0.0388157823031433
Sandro Tonali;0.00841002343637302;0.102445300816249;0.131961375555699;0.0315077549338248;0.0481685054115499;0.102952547678767;0.0052461212812028;0.093784600214569;0.0283293143744444;0.0610465293687727;0.15459733339056;0.0380445324759341;0.0945148180980401;0.0227226836856471;0.0374531734990243;0.0388153857793432
Sean Longstaff;0.0084100500958692;0.102443430614068;0.131964843663998;0.0315070369643643;0.0481727312409192;0.102945384900707;0.00524618030865459;0.0937862267551824;0.0283277880200528;0.0610425483037335;0.154599588461869;0.0380459332913466;0.0945157562769443;0.0227232295280714;0.0374533157901814;0.0388159557840375
