;Benjamin Henrichs;Benjamin Sesko;Castello Lukeba;Christoph Baumgartner;Dani Olmo;David Raum;Emil Forsberg;Janis Blaswich;Kevin Kampl;Lois Openda;Lukas Klostermann;Mohamed Simakan;Timo Werner;Xaver Schlager;Xavi Simons;Yussuf Poulsen
Benjamin Henrichs;0.0674178123517489;0.00397096749577565;0.114528796781761;0.0471092998977694;0.0250293641904353;0.115608623467011;0.0357789684896555;0.0567584347043191;0.132545822888951;0.0422110997897648;0.0185753780101701;0.110311721620104;0.0225489739593245;0.111326320422087;0.0623768451270952;0.0339015708040279
Benjamin Sesko;0.0674207944158839;0.00397115786136789;0.114533187506395;0.0471108037162377;0.0250298378960437;0.115605668822229;0.0357789223942252;0.0567576619129067;0.132544666080042;0.0422104793697669;0.0185752741097825;0.110307494036812;0.0225494207362068;0.111324196536029;0.0623786261993744;0.0339018084066976
Castello Lukeba;0.067417550561394;0.00397094319154472;0.114528220095339;0.0471091184836175;0.0250292562084986;0.11560916944406;0.0357789477726544;0.0567584760165806;0.13254612890833;0.0422111679427693;0.0185753720251193;0.110312112339977;0.0225489891272521;0.111326455855841;0.0623765340391501;0.0339015579878728
Christoph Baumgartner;0.0674175845466607;0.00397096096010663;0.11452862571992;0.047109239740596;0.0250294029322478;0.115608605225773;0.0357789878510988;0.0567584986756885;0.132545733073626;0.0422111331923407;0.0185753959576205;0.110312001135918;0.0225489124418509;0.111326522232813;0.062376849436646;0.0339015468770938
Dani Olmo;0.0674204632678649;0.00397102001266264;0.114530202535531;0.0471098501061309;0.025028703841691;0.115609742502632;0.0357786581990103;0.056757612798445;0.132547513800211;0.0422107479565909;0.0185751241707885;0.110308522157725;0.0225498625681295;0.111323805388226;0.062376303646721;0.0339018670476393
David Raum;0.0674237305454676;0.00397121895782695;0.114534867205218;0.0471114234344001;0.0250291265125713;0.115606693643462;0.0357786124890608;0.0567567940022119;0.132546392325673;0.0422100896170558;0.0185750058157248;0.110303984167255;0.0225503329295998;0.111321460111959;0.062378131830251;0.0339021364122634
Emil Forsberg;0.0674214503193402;0.00397111910006161;0.11453248336179;0.0471105846842439;0.0250291890157964;0.115607499886697;0.0357787483371649;0.0567574340175049;0.13254622176981;0.0422104837561154;0.018575148203578;0.110306992248854;0.0225498067444365;0.111323324718292;0.0623775945361018;0.0339019193002127
Janis Blaswich;0.0674239908475456;0.00397121616876184;0.114534833033163;0.0471114211920081;0.0250289856385224;0.115607070325635;0.0357785627655002;0.0567567033202855;0.132546749226586;0.0422100689375417;0.0185749690104534;0.110303703844289;0.0225504548204434;0.111321168064404;0.0623779305668822;0.033902172237979
Kevin Kampl;0.0674212040249466;0.00397110964270625;0.114532230124222;0.047110502864601;0.0250292089445886;0.115607590980513;0.0357787583713943;0.0567574902902116;0.132546200996343;0.0422105241329449;0.0185751612327982;0.110307292836141;0.0225497640993542;0.111323521896369;0.0623775429434138;0.0339018966194526
Lois Openda;0.0674242247156021;0.00397121579218337;0.114534885863963;0.0471114364251284;0.0250288794391508;0.115607262613678;0.0357785346025359;0.0567566464508017;0.132546973931507;0.042210045999181;0.0185749459478237;0.110303471405957;0.0225505255356263;0.111320935395822;0.0623778168661399;0.0339021990148995
Lukas Klostermann;0.0674230519037895;0.00397116869258003;0.114533713271037;0.0471110328759601;0.0250289519011177;0.115607615282035;0.0357786021116324;0.0567569579869761;0.132546832473857;0.0422102415450948;0.01857501842205;0.110304969472901;0.0225502678765083;0.111321899190151;0.0623775898616918;0.0339020871326188
Mohamed Simakan;0.0674257335809668;0.00397127169641764;0.114536250549693;0.0471119208236907;0.0250287400508169;0.115607063567655;0.0357784196068961;0.0567562144257612;0.132547327329639;0.0422098013589783;0.0185748380515528;0.110301526785699;0.0225509148773384;0.111319644378681;0.0623779840376976;0.0339023488785153
Timo Werner;0.0674211451217802;0.00397113658848555;0.114532803826994;0.0471106820932791;0.0250294831940403;0.115606671565125;0.0357788261840146;0.0567575421308548;0.1325455136062;0.0422104811980988;0.018575206590284;0.110307226056077;0.0225496285822382;0.111323725136481;0.0623780616437393;0.033901866482309
Xaver Schlager;0.0674233645263854;0.00397117832985741;0.114533953986063;0.047111122935549;0.0250289082910765;0.115607624572507;0.0357785751454996;0.0567568655410301;0.132546945270316;0.0422101944927605;0.0185749938670504;0.110304580095991;0.0225503564909633;0.111321624091035;0.0623775929280938;0.0339021194358216
Xavi Simons;0.0674198421504717;0.00397104020239532;0.114530588732334;0.0471099382074637;0.0250291593607021;0.115608386879042;0.0357788167690221;0.0567578557530337;0.132546328766039;0.0422107771221104;0.0185752318151238;0.110309136065058;0.022549496142855;0.111324583287854;0.0623770435220559;0.0339017752244392
Yussuf Poulsen;0.06742013725656;0.00397104675192484;0.114530777087368;0.0471100034010351;0.0250290906924823;0.115608460568106;0.0357787887629872;0.0567577753979848;0.132546482572973;0.0422107366387553;0.0185752072779449;0.110308787490203;0.0225495784063565;0.111324314090243;0.0623770070784275;0.0339018065266483
