;Alex Balde;Andreas Christensen;Fermin Lopez;Ferran Torres;Ilkay Gundogan;Inigo Martinez;Joao Cancelo;Joao Felix;Lamine Yamal;Marc-Andre ter Stegen;Marc Casado;Marcos Alonso;Oriol Romeu;Ronald Araujo
Alex Balde;0.0155650934224404;0.00223762689048638;0.0776198013450587;0.0496174533727961;0.114494564334426;0.132056014960626;0.137503662407531;0.0734125827506832;0.0764114264657151;0.0375413731872234;0.0119382184160528;0.0670815477114995;0.0643835472895671;0.140137087445894
Andreas Christensen;0.0155656709698142;0.00223763209731789;0.0776194646157246;0.0496158819874327;0.114494218720629;0.132056951533466;0.137503019669078;0.0734143491720262;0.0764130025352909;0.0375411692497371;0.0119382844355414;0.0670801774125353;0.0643829419458703;0.140137235655536
Fermin Lopez;0.0155638649220391;0.00223770208112275;0.0776202787153422;0.0496201127253353;0.114494346764473;0.132058511220335;0.137507549509745;0.073411862215813;0.0764074464579391;0.0375407004250336;0.0119382125929696;0.0670807161015588;0.0643839847711978;0.140134711497096
Ferran Torres;0.0155640237015579;0.00223775706048924;0.0776200710460996;0.0496192999763855;0.114493776434552;0.132061055764333;0.13750878389908;0.073413734400176;0.0764076344144368;0.0375400902542546;0.0119383050051066;0.0670784194217402;0.064383403098487;0.140133645523301
Ilkay Gundogan;0.0155642883950625;0.00223769401249999;0.0776200253429922;0.0496192014733015;0.114494317181488;0.132058734572922;0.13750678111246;0.0734128431413165;0.0764084734942073;0.0375406436377615;0.0119382362554915;0.0670802546152955;0.0643836947834612;0.140134811981742
Inigo Martinez;0.0155651702159026;0.00223765838393393;0.0776195784486624;0.0496172975752328;0.114494338284923;0.132058178387243;0.137504638051112;0.0734142343232775;0.0764109152123267;0.0375407988414733;0.0119382646049387;0.06708000438212;0.0643832088225272;0.140135714466326
Joao Cancelo;0.0155650408619523;0.00223771270235344;0.0776195709909578;0.0496170684542397;0.114493832978924;0.132060226015244;0.13750613962631;0.073415216961178;0.076410552760007;0.0375403332129756;0.0119383277597449;0.0670782586765251;0.0643828660958918;0.140134852903697
Joao Felix;0.0155654221068467;0.00223764900126909;0.0776194715986096;0.0496167100121123;0.11449435755754;0.132057845834301;0.137503954207058;0.0734144598055227;0.0764117335000076;0.0375408988979947;0.0119382702875509;0.0670800283004346;0.0643830923194931;0.140136106571259
Lamine Yamal;0.0155646655771328;0.00223764925505921;0.0776199889839472;0.0496183410185298;0.114494506259532;0.132056528395071;0.137504878622575;0.0734120685616522;0.0764101560462924;0.0375412551308374;0.0119382071685499;0.0670815319087045;0.0643837268786159;0.140136496193501
Marc-Andre ter Stegen;0.0155647258449926;0.00223769380992277;0.077619747183784;0.0496181752125332;0.114494205483312;0.13205934999992;0.137506174551416;0.0734141068287351;0.0764095218181304;0.0375404964516598;0.0119382709061234;0.067079438897687;0.064383321658385;0.140134771353399
Marc Casado;0.0155654974808826;0.00223770392101263;0.0776192929637677;0.0496160391263519;0.114493714988646;0.132060702936222;0.137505384095019;0.0734165200978126;0.0764116348455667;0.037540205674899;0.0119383622103451;0.0670775176923003;0.0643824885692418;0.140134935397934
Marcos Alonso;0.0155641187385003;0.00223769990259607;0.077620077716199;0.0496196900569127;0.114494364669484;0.132059061307833;0.137507249655205;0.0734127678494826;0.0764078035637389;0.0375405305428827;0.011938229535933;0.0670802294129165;0.0643838005086044;0.140134376539713
Oriol Romeu;0.0155643012788347;0.00223769934791916;0.077620021275573;0.0496190695884319;0.114494229942749;0.132058902432281;0.137506880229817;0.0734129625967058;0.0764085708405286;0.0375406158324867;0.0119382462308719;0.0670800452138401;0.0643836275518684;0.140134827638092
Ronald Araujo;0.0155641648061075;0.00223768359916861;0.0776201407084424;0.0496195406362258;0.114494464744407;0.132057930562354;0.137506602404456;0.0734120423628491;0.0764083136389553;0.0375408543580122;0.0119382071950987;0.0670809929141945;0.064383906736509;0.14013515533322
