;Artem Bondarenko;Artur Rudko;Danylo Sikan;Dmytro Kryskiv;Dmytro Riznyk;Georgiy Sudakov;Irakli Azarovi;Kevin Kelsy ;Mykola Matvienko;Newerton;Oleksandr Zubkov;Taras Stepanenko;Valeriy Bondar;Yukhym Konoplya
Artem Bondarenko;0.157064438062953;0.00295533562860403;0.0244679826184898;0.0574871161963297;0.046958854577307;0.126329673470409;0.0999847122177138;0.00345886539073438;0.147914051192443;0.00659237207709454;0.0772657056028689;0.105577155312927;0.0901298849373682;0.0538138527147576
Artur Rudko;0.157066765569918;0.00295553868518031;0.0244678117123899;0.0574881135714219;0.0469605419334664;0.126329379578643;0.0999837736639304;0.00345870088790204;0.14791115672666;0.00659231900703803;0.0772653317064641;0.10557782679256;0.0901282219087801;0.0538145182556471
Danylo Sikan;0.157063607699097;0.00295526254009335;0.0244680440619486;0.0574867645995651;0.046958262797022;0.126329795159609;0.099985030170176;0.00345892415371599;0.147915075449177;0.00659239227492876;0.0772658437486718;0.105576899637986;0.0901304492258028;0.0538136484822062
Dmytro Kryskiv;0.157063916660736;0.00295529324048552;0.0244680172408306;0.0574869032309992;0.0469585604658342;0.126329772005221;0.0999848650818862;0.00345890111756448;0.147914715724527;0.00659238197114091;0.0772657803264587;0.105576957113221;0.0901301564219857;0.0538137793991097
Dmytro Riznyk;0.157063469363268;0.00295526497317148;0.0244680349040215;0.0574867170981601;0.0469583997484948;0.12632987190011;0.0999849792240294;0.0034589297326255;0.147915369830608;0.00659238000218777;0.0772657702581631;0.105576736746913;0.0901303538145167;0.0538137224037309
Georgiy Sudakov;0.15706304378385;0.00295522048506812;0.02446807363701;0.057486532970647;0.0469579595226269;0.126329895411193;0.0999852215242793;0.00345896268773197;0.14791581806734;0.00659239701567135;0.077265884258072;0.105576680081644;0.0901307642680865;0.0538135462867798
Irakli Azarovi;0.157065708134251;0.00295543726924822;0.0244679019207082;0.0574876444623671;0.0469595481299072;0.126329371085062;0.0999843964079399;0.00345878296691452;0.14791241113272;0.0065923540261317;0.0772655631084703;0.105577630260594;0.0901292077566783;0.0538140433390077
Kevin Kelsy ;0.15706614205427;0.00295546661594792;0.0244678721962627;0.0574878374828736;0.046959576695452;0.12632913059762;0.0999844906442042;0.00345876190379407;0.147911666744646;0.00659235145281931;0.0772655902475324;0.105577974972275;0.0901291865727743;0.0538139518195283
Mykola Matvienko;0.157063637841721;0.00295526786666652;0.024468035227744;0.0574867641460263;0.0469581695343315;0.126329642716237;0.0999852229467798;0.0034589277703085;0.147915057685414;0.00659238721796825;0.0772658102074287;0.105576978500505;0.0901306243724265;0.0538134739664427
Newerton;0.157059855431679;0.00295497623896006;0.0244682686345096;0.0574852084381413;0.0469564500267693;0.126330725856304;0.0999858737774751;0.00345916467726183;0.147920096027124;0.00659243309839167;0.0772661633304442;0.105575337918283;0.0901322548334354;0.0538131917112213
Oleksandr Zubkov;0.157066272822887;0.00295547408852899;0.0244678652004643;0.0574878743036733;0.0469595418627501;0.126329072044937;0.0999845232716509;0.0034587534796246;0.147911480386385;0.00659234900494842;0.0772655708852445;0.105578097051034;0.0901292668306273;0.0538138587672453
Taras Stepanenko;0.15706508778509;0.00295538775675501;0.0244679367566303;0.0574874032055325;0.0469591959333044;0.126329493295413;0.0999845855120456;0.00345882572860593;0.14791314323803;0.00659236328737562;0.0772656586783203;0.105577424272007;0.090129527966117;0.0538139665847723
Valeriy Bondar;0.157065308221962;0.00295540556034933;0.0244679185432003;0.0574874856993728;0.0469592626301469;0.126329429492855;0.0999845710764289;0.00345881071097374;0.147912843503126;0.0065923560442224;0.0772656155784393;0.10557756194546;0.0901295088264734;0.0538139221669895
Yukhym Konoplya;0.157062712560229;0.00295519357051692;0.0244681061575502;0.0574863970916222;0.0469579575633719;0.12633010771094;0.0999850803763332;0.00345897872830523;0.14791634302587;0.00659240762911074;0.0772659264685657;0.105576400454201;0.0901306861008273;0.053813702562556
