;Alhassan Yusuf;Anthony Valencia;Arbnor Muja;Arthur Vermeeren;Chidera Ejuke;Jean Butez;Jelle Bataille;Jurgen Ekkelenkamp;Michel-Ange Balikwisha;Owen Wijndal;Ritchie De Laet;Soumaila Coulibaly;Toby Alderweireld;Vincent Janssen
Alhassan Yusuf;0.0869662707175024;0.0120233892389121;0.0527695035386069;0.0673102632876544;0.0193366979771103;0.123818173528604;0.0906458254995517;0.0313282347631551;0.0440155227250389;0.0313200061939305;0.0623307683339898;0.186745894740184;0.163557485798217;0.027831963657543
Anthony Valencia;0.0869668851231177;0.0120242946413618;0.0527629268086034;0.0673035662171285;0.019336816418147;0.123822560701435;0.0906499790460593;0.0313255198248137;0.0440143019301876;0.0313226517212838;0.0623240049280516;0.186753506913504;0.163562990716472;0.0278299950098341
Arbnor Muja;0.0869648751392921;0.012021574079819;0.0527814390673036;0.0673217806561619;0.0193347346662535;0.123809885452959;0.0906397585474212;0.0313329641285705;0.0440163881076229;0.0313167391677003;0.062343216711986;0.186732774159395;0.163548571462743;0.0278352986527719
Arthur Vermeeren;0.0869660903955185;0.0120232308577128;0.0527704202486292;0.0673109320615398;0.0193360711326483;0.123817368924019;0.0906458636548208;0.0313285200835828;0.0440152117979052;0.0313202850896691;0.0623317051924409;0.18674503317129;0.163557103063814;0.0278321643264099
Chidera Ejuke;0.0869655636893344;0.0120238726377403;0.0527688216414472;0.0673075225989806;0.019332904205098;0.123816032820282;0.0906516791908771;0.0313272561778814;0.0440123860735063;0.031326473774724;0.0623294521310228;0.186746949862493;0.163559504250483;0.0278315809461288
Jean Butez;0.0869672968427363;0.0120245188254396;0.0527614387892297;0.0673024114075818;0.0193375860518036;0.12382365495533;0.0906500282826583;0.0313249831602153;0.044014576000833;0.031322379365143;0.0623226187434369;0.186755504889988;0.163563373289067;0.027829629396537
Jelle Bataille;0.0869665099011716;0.0120237520082685;0.052767412319006;0.0673083646351649;0.0193370805559827;0.123820003434618;0.0906466769306606;0.0313274125491577;0.0440154160692731;0.0313205338676436;0.0623286593405852;0.186748346276368;0.163558444924953;0.0278313871871475
Jurgen Ekkelenkamp;0.0869654834180839;0.0120225291662695;0.0527751125443937;0.0673149665500062;0.0193342884236376;0.123813620674197;0.0906446286846791;0.0313301424434999;0.0440147098035576;0.0313202923495458;0.0623365252825535;0.186740454044125;0.163553875322282;0.0278333712931695
Michel-Ange Balikwisha;0.0869656838470524;0.0120231548507591;0.0527719478035805;0.0673116221359211;0.0193343207771547;0.123815065652884;0.0906471983026093;0.0313288549041327;0.0440141261409612;0.0313223335847747;0.0623331689005561;0.186743700136861;0.163556289439896;0.0278325335228571
Owen Wijndal;0.0869666588921348;0.0120235995342022;0.0527704468114569;0.0673124605204205;0.0193398583503015;0.123818025022865;0.0906425144284268;0.0313290585286482;0.0440181879378382;0.031316911493437;0.0623315890982463;0.186743541342376;0.163554436025582;0.0278327120140647
Ritchie De Laet;0.0869650481764702;0.0120222463886272;0.0527770293654927;0.0673164561568814;0.0193332498041607;0.123812296715725;0.0906445095959443;0.0313307667314887;0.0440142863876843;0.0313206600561628;0.0623383346527005;0.186738263769616;0.163553028874663;0.0278338233243828
Soumaila Coulibaly;0.0869668076036143;0.0120246503284617;0.0527606869229619;0.0673012382897868;0.0193368186139203;0.12382435077462;0.0906516224108301;0.0313246627500477;0.0440139287816688;0.0313237452030082;0.0623215017628716;0.186755249725827;0.163565395610037;0.0278293412223442
Toby Alderweireld;0.0869670440689383;0.0120246981907902;0.0527606422938721;0.0673018524826159;0.0193375589210175;0.123825299250113;0.0906502095573224;0.0313247959445072;0.044014526878295;0.0313226573853539;0.0623219175160105;0.186755962120278;0.163563434665467;0.0278294007254197
Vincent Janssen;0.0869647599510984;0.0120218067896377;0.0527802569978748;0.0673193620937663;0.0193327577328459;0.123809578567708;0.0906432585451734;0.0313319270163824;0.0440144800512386;0.0313200581615541;0.0623414119466328;0.186734630136071;0.163550968810408;0.027834743199609
