;Felix Nmecha;Gregor Kobel;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Niklas Sule;Salih Ozcan
Felix Nmecha;0.0801130482315069;0.0650345447740875;0.116293331785713;0.10510844452848;0.0735811540213415;0.086278204284106;0.0150713659603107;0.132244227841122;0.0350828857452944;0.140335013294632;0.0773626948602368;0.0734950846731687
Gregor Kobel;0.0801130099931144;0.0650347289353776;0.116293218801519;0.105108482674562;0.0735811143874519;0.0862781699568039;0.0150713892889697;0.132244386275462;0.0350828549008585;0.140334794793614;0.0773626528147167;0.0734951971775506
Julian Brandt;0.0801130099782128;0.0650355399522887;0.116293269213713;0.105109098229845;0.073581059730054;0.0862781022577332;0.0150715406394082;0.132244571254151;0.0350828615654497;0.140333382093206;0.0773619531638871;0.0734956119220525
Julian Ryerson;0.0801130371312192;0.0650346091412052;0.116293289090138;0.105108438845306;0.0735811504025918;0.0862781656090028;0.0150713791954676;0.132244317580863;0.0350828714441895;0.140334951540318;0.0773626577511232;0.0734951322685756
Karim Adeyemi;0.0801130221209225;0.0650361805258284;0.116293323444826;0.105109484176013;0.0735810332340791;0.0862780330917996;0.0150716556873606;0.132244707025173;0.0350828385933946;0.140332334272384;0.0773614220494725;0.0734959657787466
Marcel Sabitzer;0.0801130279685125;0.0650344921690936;0.11629326996422;0.105108387310155;0.0735811429540932;0.0862781974317524;0.0150713534875857;0.13224427999162;0.0350828779719764;0.140335132010222;0.0773627787305864;0.0734950600101839
Marco Reus;0.080113053882019;0.0650341963269921;0.11629332546774;0.105108214073012;0.0735811898427867;0.0862782308520497;0.0150713134100689;0.132244142897577;0.0350829079230155;0.1403355901754;0.0773629411469952;0.0734948940023439
Mats Hummels;0.0801130415077525;0.0650339991067107;0.116293279332363;0.105108081219924;0.0735811958765858;0.0862782348411147;0.0150712802448795;0.132244147957109;0.0350829126213443;0.140335931596194;0.0773631083421018;0.0734947873539198
Niclas Fullkrug;0.08011303915462;0.0650355045491923;0.116293351349605;0.105109077893967;0.0735810863241115;0.0862781041139272;0.0150715357537447;0.13224449259085;0.0350828593005373;0.140333418302683;0.077361929228674;0.0734956014380893
Nico Schlotterbeck;0.0801129664635973;0.0650373633448089;0.116293213233883;0.105110173338152;0.0735808988262422;0.0862779278068595;0.0150718406537949;0.132245111722856;0.0350827652677744;0.140330466674934;0.0773606566530613;0.073496616014037
Niklas Sule;0.080113025629057;0.0650358892421144;0.116293329864544;0.105109329087416;0.0735810479696979;0.0862780606817975;0.0150715997807928;0.132244627479811;0.0350828412182328;0.140332787080241;0.0773616500981209;0.0734958118681748
Salih Ozcan;0.0801130133608551;0.0650357734124537;0.116293286787227;0.105109228094909;0.0735810453464483;0.0862780869982004;0.0150715779533382;0.132244607141618;0.0350828474619538;0.140333008899296;0.0773617823042501;0.0734957422394512
