;Danylo Sikan;Dmytro Kryskiv;Dmytro Riznyk;Georgiy Sudakov;Giorgi Gocholeishvili;Mykola Matvienko;Newerton;Oleksandr Zubkov;Taras Stepanenko;Valeriy Bondar;Yaroslav Rakitskyi;Yegor Nazaryna
Danylo Sikan;0.0469999500766416;0.0965160212666532;0.062776859721843;0.152119146722754;0.0702470655648936;0.138159229118685;0.0835414849653348;0.0617035167544926;0.0667192979403285;0.0784163052822749;0.130049208377362;0.0127519142087365
Dmytro Kryskiv;0.0470012074366639;0.0965157325140464;0.0627798848953407;0.152119149664648;0.0702483255069701;0.138162797069069;0.0835392888798396;0.0617031197920561;0.0667201764162833;0.0784142645970766;0.130043766082945;0.0127522871450613
Dmytro Riznyk;0.0470013910080002;0.0965143721564938;0.0627811470392248;0.152119580463898;0.0702485990509602;0.138159868220817;0.0835400114987629;0.0617044606361694;0.066720133080939;0.0784133889520437;0.130044849166959;0.0127521987257317
Georgiy Sudakov;0.0470006403519437;0.0965139030088927;0.0627795934875008;0.152119844939716;0.0702478615494423;0.13815582059895;0.0835420124339327;0.0617054496100386;0.0667194910290547;0.0784143414935986;0.130049158762908;0.0127518827340211
Giorgi Gocholeishvili;0.0470019401239703;0.0965119099197344;0.0627838614631875;0.152120543183629;0.0702492542165442;0.138155769263327;0.0835410801253408;0.0617063780339949;0.0667201967788701;0.0784111869078752;0.130045707309428;0.0127521726740984
Mykola Matvienko;0.0470011152572535;0.0965169148419205;0.0627793426512305;0.15211867428013;0.0702482380453402;0.138166411340341;0.0835380738159195;0.0617015922157855;0.0667203626935578;0.0784147709747068;0.130042027795428;0.0127524760883868
Newerton;0.0470007857171637;0.0965142221887498;0.0627799696984728;0.15211970183431;0.0702478633230781;0.138158709638976;0.0835408888379058;0.0617044543460886;0.06671970891338;0.0784140670326196;0.130047505196457;0.0127521232727991
Oleksandr Zubkov;0.0469993670223082;0.0965186037345833;0.06277370555275;0.152118203298403;0.0702463906468639;0.138162528378978;0.0835408448301894;0.0617018545672978;0.0667191558965043;0.0784187553472975;0.130048752639932;0.0127518380848921
Taras Stepanenko;0.047001898167182;0.0965139494771805;0.062782582618494;0.152119730407266;0.0702491348047898;0.138160609283944;0.0835394149828627;0.0617045204235642;0.0667204501802635;0.0784123327938082;0.130043042717495;0.0127523341431507
Valeriy Bondar;0.0469999084715224;0.0965180046254959;0.0627751818297464;0.152118360764449;0.0702470013236816;0.138162139329601;0.0835405129537333;0.0617024576530625;0.066719437118438;0.0784177831264364;0.130047338162653;0.0127518746411806
Yaroslav Rakitskyi;0.0469994561523111;0.0965164139674489;0.0627752687970411;0.15211897468791;0.0702466212202965;0.138157200066557;0.0835424784895211;0.0617040216152052;0.0667189318369805;0.0784175531283162;0.130051432621858;0.0127516474165541
Yegor Nazaryna;0.0470026787022899;0.0965128205439547;0.0627851357403104;0.152120110886188;0.0702499568068221;0.138160895168754;0.083538718776;0.0617049683007341;0.0667208911313779;0.0784104716306067;0.130040824751683;0.0127525275612792
