;Alvaro Morata;Angel Correa;Antoine Griezmann;Axel Witsel;Caglar Soyuncu;Cesar Azpilicueta;Jan Oblak;Jose Gimenez;Koke;Marcos Llorente;Mario Hermoso;Nahuel Molina;Pablo Barrios ;Rodrigo Riquelme;Samuel Lino;Saul Niguez
Alvaro Morata;0.0281342902862608;0.0598112500424127;0.087684903031744;0.116679697728529;0.0202998753191779;0.0434004612272299;0.00633845172400633;0.0505537824936254;0.157906435561418;0.0507927118128932;0.141208748648248;0.078078848441079;0.0488449130493367;0.0539455216173243;0.0340031542929721;0.0223169547237424
Angel Correa;0.0281323785798474;0.0598148196374162;0.0876778345925571;0.116687866523068;0.0202991678407224;0.0434055541923366;0.00633908815284124;0.0505514145994824;0.157908918114957;0.0507990390218935;0.141199194966112;0.0780841904010825;0.0488457845154689;0.0539386582090947;0.0339999769291716;0.0223161137239477
Antoine Griezmann;0.0281340676392424;0.0598117988898923;0.0876848440794157;0.116681602444567;0.0202997267010509;0.0434007123774008;0.00633851718612739;0.0505529530009764;0.157906369739131;0.0507936263591772;0.141208252102846;0.0780787963693885;0.0488449665560561;0.0539442065796766;0.0340027068871745;0.0223168530878764
Axel Witsel;0.0281318389942475;0.0598159903095552;0.0876749618087355;0.11669109877814;0.0202989309504397;0.0434067595474741;0.0063393556551621;0.0505505774641795;0.157910254889403;0.0508017121669166;0.141195634455886;0.0780853208862376;0.0488461487734658;0.0539365365596213;0.0339990874361015;0.0223157913244334
Caglar Soyuncu;0.0281346436224948;0.0598108247446882;0.0876859614825263;0.116680015852745;0.0202999268930642;0.043398979775825;0.00633841940750663;0.0505535370354701;0.157906232748105;0.0507926124148388;0.141210352090506;0.078076843182807;0.0488448249893222;0.0539460880487827;0.0340036818293327;0.0223170558819846
Cesar Azpilicueta;0.0281315164228442;0.0598160671698788;0.0876738969968256;0.116690159858685;0.0202990088924384;0.0434084036199027;0.00633936583871971;0.0505510857664845;0.157910090804551;0.0508013426801734;0.141194781190038;0.0780875254660177;0.0488461169879762;0.0539360663900695;0.0339986899418339;0.0223158819735603
Jan Oblak;0.0281331022792879;0.059813528421983;0.0876794593011475;0.116685255061125;0.0202994264335434;0.0434035126756661;0.00633892845964982;0.0505523134918144;0.157908567891408;0.0507973916485529;0.141202046353268;0.0780820184619231;0.0488456224877311;0.0539412772145865;0.0340011775219455;0.0223163722963675
Jose Gimenez;0.0281332198619358;0.0598131903789287;0.0876802827021525;0.116684358914889;0.020299502422776;0.0434032995172726;0.00633885096254307;0.0505525148372275;0.157908047024851;0.0507965926246237;0.141203207974396;0.0780818240140458;0.0488455079916698;0.0539417342621984;0.0340013702721731;0.0223164962383166
Koke;0.0281327996518594;0.0598141186589169;0.0876781521525379;0.116686646710238;0.0202993059208115;0.0434042985107014;0.00633904454197019;0.0505519364762681;0.157909088928677;0.0507985496186654;0.141200331308083;0.0780828413781854;0.0488457998367569;0.0539402013834042;0.0340006694856304;0.0223162154372941
Marcos Llorente;0.0281317992646533;0.0598157219144162;0.0876743744384334;0.11668953574993;0.0202990358418659;0.0434073897538573;0.00633932827422021;0.0505512562876452;0.157910193244416;0.0508011029573231;0.141195594739509;0.0780864045476478;0.0488461977225875;0.0539371135170814;0.0339990759589903;0.0223158757874231
Mario Hermoso;0.0281342575366015;0.0598108994133584;0.0876859216232463;0.11667829771484;0.0203000215114383;0.0434010794478819;0.00633833431822247;0.0505541800224446;0.157905458935727;0.050791268910714;0.141210034469068;0.0780796934191362;0.0488445668383252;0.0539455487120323;0.0340032290211613;0.0223172081058021
Nahuel Molina;0.0281316127998236;0.0598160049291579;0.0876739705908873;0.116689872288068;0.0202989813075213;0.0434080238573553;0.00633935606079496;0.0505511494969331;0.157910233942424;0.0508013637688343;0.141194867090702;0.0780871608525033;0.0488462477598925;0.0539365744320702;0.0339987669960811;0.0223158138269507
Pablo Barrios ;0.0281323278000163;0.0598148449107862;0.0876765988408798;0.116687669531666;0.0202991750547781;0.043405809818094;0.00633915178149917;0.0505516738234065;0.157909455364358;0.0507995138596357;0.141198309145662;0.0780846462170704;0.0488459983756541;0.0539388801898947;0.0339998901242645;0.0223160551623343
Rodrigo Riquelme;0.0281347690734028;0.0598104772174676;0.0876862041887368;0.116677937589551;0.0203000033886293;0.0433990657374854;0.00633833189688185;0.0505543293246284;0.157906201172448;0.0507915871476207;0.141210565434912;0.0780773911754408;0.0488448408690245;0.0539473246911778;0.0340039055475894;0.022317065545003
Samuel Lino;0.0281348746245733;0.0598102059529257;0.0876876259524754;0.116678163693791;0.020300090925202;0.043398679154074;0.00633826033657925;0.0505540713516162;0.157905369408518;0.050790897410589;0.141212214499065;0.0780766499791782;0.0488444705122713;0.0539469807526147;0.0340041558609116;0.0223172895856144
Saul Niguez;0.0281344253306239;0.0598111013030015;0.0876852018694154;0.116680175860672;0.0202998898957927;0.043399784173755;0.00633845929843326;0.0505535514217721;0.157906375144503;0.0507928964110016;0.141209436372268;0.078077864585538;0.0488449028974442;0.0539455919185773;0.0340033407926419;0.0223170027245599
