;Alistair Johnston;Callum McGregor;Cameron Carter-Vickers;Daizen Maeda;David Turnbull;Greg Taylor;Hyeon-gyu Oh;Hyun-jun Yang;Joe Hart;Kyogo Furuhashi;Liam Scales;Luis Palma;Matt O'Riley;Odin Holm;Paulo Bernardo;Tomoki Iwata
Alistair Johnston;0.11992991715919;0.103696486164134;0.125957762234391;0.0354649206001738;0.0236799628019196;0.142946841035105;0.0220935173425562;0.0109013401223887;0.0540200565695277;0.0151509460552852;0.152879740690643;0.0651444547306059;0.0465955216828467;0.0168779686948017;0.0587406790321397;0.00591988508429217
Callum McGregor;0.119930654213219;0.103695716572181;0.125954781578994;0.0354643404832013;0.0236810673115721;0.142944822362453;0.022094030072052;0.0109018462716597;0.0540194945144153;0.0151508955673486;0.152882306660367;0.0651448213966608;0.0465948838822485;0.0168785752437004;0.0587415506949986;0.00592021317492824
Cameron Carter-Vickers;0.119930007939434;0.103696415099298;0.125956653159667;0.0354649778477715;0.0236803172195024;0.142945682296005;0.0220937464931914;0.0109014035940272;0.054020005015648;0.0151509152732806;0.152880963771597;0.0651447656175322;0.0465952268379959;0.0168780464842744;0.0587409991725613;0.00591987417821493
Daizen Maeda;0.119931086576408;0.103696433247014;0.125956647300984;0.0354650042945633;0.0236795031330551;0.142944922442753;0.0220935076681432;0.0109009710257116;0.0540204661875738;0.0151507829838222;0.152882265624139;0.0651449013265745;0.0465956716120663;0.0168775587212997;0.0587408139137173;0.00591946394217637
David Turnbull;0.119929903123512;0.103694383232188;0.125951317236166;0.0354631329253759;0.0236838222524241;0.142944888409358;0.0220948542499987;0.0109032159734783;0.0540176342831317;0.0151510279706343;0.152882619453169;0.0651445034921747;0.0465935579227346;0.0168806987921382;0.0587426608868005;0.00592177979671626
Greg Taylor;0.119927829471493;0.103696666307377;0.125958426086745;0.0354650169131892;0.0236812138583124;0.142948654965701;0.0220938083050769;0.0109019971897782;0.054019365267585;0.0151512085744435;0.152876790015914;0.0651441023063254;0.0465948755453912;0.0168787114840552;0.0587407987010495;0.00592053500756249
Hyeon-gyu Oh;0.119930824660635;0.103694404899172;0.125951729487464;0.0354632786293792;0.0236829291787371;0.142943805706922;0.0220948065645548;0.0109030015882185;0.0540182771832369;0.0151509406767872;0.152883597437765;0.0651448917919699;0.0465938751638795;0.0168798190454492;0.0587426933086777;0.00592112467715193
Hyun-jun Yang;0.119925391252361;0.103695797773077;0.125955554128601;0.0354638516990174;0.0236858137323407;0.142950511865891;0.0220947288232633;0.0109042943027208;0.0540169217113031;0.0151518545260935;0.152873222630111;0.065143071478738;0.0465929782947603;0.0168814825889299;0.0587420159757524;0.00592250921704011
Joe Hart;0.119929826805668;0.103696341240161;0.125956615132164;0.0354648943220444;0.0236805328493562;0.142945899009185;0.022093808473557;0.0109015547487725;0.0540198607221587;0.0151509502641251;0.152880636816717;0.0651447093171822;0.0465951246362772;0.0168781835464245;0.0587410705031133;0.00591999161309452
Kyogo Furuhashi;0.119928028699105;0.103696728010146;0.125958583645389;0.0354651531466738;0.0236808217813648;0.142948280197788;0.0220937854423416;0.0109018125496525;0.0540195984657559;0.0151511427298502;0.152877277227007;0.0651442771790207;0.0465949872846959;0.0168784327346022;0.0587407547645935;0.0059203361420144
Liam Scales;0.119930692292701;0.103695802669874;0.12595547724793;0.0354643076344896;0.0236808035021528;0.142945568991861;0.0220938241141361;0.0109017460183664;0.0540195580238549;0.01515091377432;0.152881581129867;0.0651445841863066;0.0465951327728295;0.0168785191561757;0.0587412907693812;0.00592019771575414
Luis Palma;0.11993075849243;0.103695908937222;0.125955121226597;0.0354645155039113;0.0236806884236513;0.142944784896792;0.0220938990795371;0.0109015893579762;0.0540197234013075;0.0151508547060322;0.152882457794976;0.0651448624176386;0.0465950707968759;0.0168783544884357;0.0587413680848347;0.00592004239178253
Matt O'Riley;0.11993021607432;0.103696360521419;0.125957112547398;0.0354648500261727;0.0236800553527694;0.142946192893786;0.0220936022114915;0.0109013588913717;0.0540200411344944;0.0151509105795631;0.15288056866436;0.0651445987693212;0.046595441516925;0.0168779857449729;0.0587408446803296;0.00591986039130473
Odin Holm;0.119928473766248;0.103696475502358;0.125957747518691;0.0354649032224192;0.0236810243126429;0.142947897720266;0.0220938026271096;0.0109018489450645;0.0540194280577869;0.0151511042803936;0.152878080376074;0.0651442400454322;0.046594953767582;0.0168786801570286;0.058740865358712;0.00592047434219186
Paulo Bernardo;0.119930366571017;0.103695889081848;0.125955332979613;0.0354644770575847;0.0236809158850956;0.142945279118376;0.0220939506709412;0.0109017506330997;0.054019558445331;0.015150907271348;0.152881753317849;0.0651447540437521;0.0465949621667927;0.0168785183287138;0.0587413856932478;0.0059201987353904
Tomoki Iwata;0.119929087919115;0.10369371829325;0.125950905675732;0.0354626253902099;0.0236852459946429;0.142945260303757;0.0220954821702462;0.0109044476441016;0.0540168961699637;0.0151512728652848;0.152880952931823;0.0651444056613185;0.0465927466299737;0.0168812425718313;0.0587434318836436;0.00592227789510726
