;Christian Pulisic;Davide Calabria;Fikayo Tomori;Malick Thiaw;Mike Maignan;Olivier Giroud;Rafael Leao;Ruben Loftus-Cheek;Theo Hernandez;Tijjani Reijnders;Yunus Musah
Christian Pulisic;0.130158515566298;0.105210935917003;0.0650032358746892;0.0662772469628946;0.0260943629651088;0.090115445656294;0.13463466748887;0.0710687216634928;0.10763889384757;0.125039774363551;0.0787581996942284
Davide Calabria;0.130156919225808;0.1052119220523;0.0650026396594555;0.0662776217036157;0.0260942409169576;0.090115326058561;0.134635735996589;0.0710687818322654;0.107637893904316;0.125040856961621;0.0787580616885117
Fikayo Tomori;0.130155030346364;0.10521011018346;0.0650022827044287;0.0662773925914131;0.0260940208692216;0.0901163144640016;0.134638648521908;0.0710671775867605;0.107639620988722;0.125040764660808;0.0787586370829126
Malick Thiaw;0.130149837398629;0.105206502373242;0.0650011187893607;0.0662769442948005;0.0260934923770002;0.0901185645105419;0.134645456207276;0.0710634830460116;0.107643513389492;0.125041209822326;0.0787598777913206
Mike Maignan;0.130153381686804;0.105207673793439;0.0650020485877885;0.0662768666993839;0.0260938501461149;0.0901175569752671;0.134641209045681;0.0710652379255453;0.107642466479895;0.125040357942885;0.0787593507171956
Olivier Giroud;0.130155877662148;0.105203945499769;0.065003189413173;0.0662755097922983;0.0260940752698963;0.0901186892152915;0.13463979932819;0.0710637918846919;0.107647215336499;0.125037799148617;0.078760107449425
Rafael Leao;0.130145867772594;0.105207214028398;0.0649998619657424;0.0662776138983988;0.0260931022661317;0.0901188728120487;0.134649523840037;0.0710627112519407;0.107642232819428;0.125043032503827;0.0787599668414528
Ruben Loftus-Cheek;0.130156418398583;0.105211941458533;0.0650024867328836;0.0662776750587541;0.0260941948521211;0.0901153980165987;0.13463623599097;0.0710686381568925;0.107637858741594;0.125041062282812;0.0787580903102575
Theo Hernandez;0.130152894672488;0.105200920266347;0.0650026290135326;0.0662750179033104;0.0260937537249896;0.0901203511898328;0.134644171205324;0.0710611252324903;0.107650454997868;0.125037625446832;0.0787610563469847
Tijjani Reijnders;0.13015624994467;0.105208845331329;0.0650027716584686;0.0662768356403877;0.0260941513901625;0.0901166646614443;0.134637584266116;0.0710667755746725;0.107641471703777;0.125039781178228;0.0787588686507446
Yunus Musah;0.130151737934975;0.105205799158823;0.0650017644634858;0.0662765512964063;0.0260936668451685;0.0901185505121615;0.134643741713169;0.0710636528334305;0.107644444944674;0.125040165204327;0.0787599250933794
