;Ederson;Erling Haaland;Jack Grealish;Jeremy Doku;John Stones;Josko Gvardiol;Kalvin Phillips;Kyle Walker;Mateo Kovacic;Matheus Nunes;Nathan Ake;Oscar Bobb;Phil Foden;Rico Lewis;Ruben Dias
Ederson;0.0393470085591341;0.0127550392663257;0.0650302391924655;0.0196596775014284;0.0687212646346667;0.0816224802302292;0.0320746255890882;0.10270860506867;0.0674140201497595;0.118688634842008;0.0423250391091642;0.0101543565882534;0.0836868044934406;0.103071167920763;0.152741036854602
Erling Haaland;0.0393467682275815;0.0127551802045873;0.0650293157220311;0.0196595805300727;0.0687223618734534;0.0816210607959178;0.0320747151880545;0.10270845687313;0.0674130387880564;0.118688007537978;0.0423252390542018;0.0101544533351015;0.0836875978265895;0.10307061182551;0.152743612217734
Jack Grealish;0.039346109417111;0.0127550438500709;0.0650351982491246;0.0196589854275555;0.0687232478975599;0.0816186431254106;0.0320759346456218;0.10270668252143;0.0674137232788062;0.118685576484288;0.0423247354030999;0.0101552869884409;0.0836863708980676;0.103069271263522;0.152745190549891
Jeremy Doku;0.0393468209946146;0.0127551136569695;0.0650310143212523;0.01966024445838;0.0687206265415718;0.0816240224664569;0.032074634392133;0.102707845999926;0.0674146552741837;0.118689170100976;0.042325061840955;0.0101543134456565;0.0836863272412178;0.10307083643004;0.152739312835666
John Stones;0.0393470245924152;0.0127551167900274;0.0650290083126604;0.0196598020115805;0.0687214990835588;0.0816225236823942;0.0320744264756987;0.102708633249009;0.06741361614937;0.118688857996474;0.0423252150711602;0.010154239006242;0.0836873091940624;0.103071117813233;0.152741610572114
Josko Gvardiol;0.0393468032942799;0.0127550088119841;0.0650319575873508;0.0196595977180791;0.0687211626758797;0.081622218881082;0.0320750108299546;0.102708434870911;0.0674143831299877;0.118688161442628;0.0423248456872039;0.0101545811413182;0.0836861611388282;0.10307093562644;0.152740737164072
Kalvin Phillips;0.039346607760966;0.0127550124848458;0.0650324883519344;0.0196591630710404;0.0687223676117271;0.0816200902525806;0.0320753353817543;0.102708086023264;0.0674137132757955;0.118686893411772;0.0423248365107686;0.0101548643268394;0.0836866757665689;0.103070375198046;0.152743490572096
Kyle Walker;0.0393461640128573;0.0127548655124186;0.0650364585305535;0.0196580307194455;0.0687237772013053;0.0816162525392067;0.0320764369455724;0.102707796626912;0.0674134368558133;0.118684317392891;0.042324381683559;0.0101556332239753;0.0836860244732064;0.103069664358102;0.15274675992418
Mateo Kovacic;0.0393463036674622;0.0127548336103475;0.0650365098896083;0.0196583057121785;0.0687229150283278;0.0816177174014491;0.0320762479078209;0.102707845663939;0.0674140432022799;0.118685110352394;0.0423243468082745;0.0101554684325442;0.0836855916673904;0.103070021094128;0.152744739561855
Matheus Nunes;0.0393470494686539;0.0127550153251321;0.065030030340919;0.019659394114246;0.0687215215288903;0.081621699660702;0.0320746712483345;0.102708992737546;0.0674137164747102;0.118688401111592;0.0423250050590045;0.010154396391915;0.0836869486428148;0.103071347736713;0.152741810158826
Nathan Ake;0.0393465468513094;0.0127551020081104;0.0650323523170613;0.0196596349332677;0.0687219731476807;0.0816214662098989;0.0320751082361799;0.102707389549892;0.0674140042195879;0.118687639534843;0.0423249957685266;0.0101546880015483;0.0836865546594544;0.10307016929278;0.152742375269859
Oscar Bobb;0.0393466513749464;0.0127551450301997;0.0650306125415374;0.0196595849412486;0.0687222444058876;0.0816210719174523;0.0320749482505878;0.102708130210311;0.0674134138206661;0.118687704461389;0.0423251088518013;0.0101545969833888;0.0836871707803164;0.103070401657295;0.152743214772972
Phil Foden;0.0393472514560297;0.0127549500255354;0.0650294285276907;0.0196593779603139;0.0687211599202043;0.0816220364424723;0.0320745505733415;0.102709552501316;0.0674138509939102;0.118688643754366;0.0423249427058803;0.0101543182412684;0.0836870187504214;0.103071804466384;0.152741113680866
Rico Lewis;0.0393464569677721;0.0127548935028013;0.065034724571161;0.0196583884874243;0.0687229325372826;0.0816180033724609;0.0320759004095717;0.102708255671213;0.0674136186563257;0.118685685478659;0.0423245346018664;0.0101552422018793;0.0836861042284151;0.103070321039728;0.152744938273438
Ruben Dias;0.0393470646276761;0.012755066370546;0.065029381286061;0.0196597735989217;0.0687213183332764;0.0816226096101995;0.0320744830199173;0.102708693163945;0.0674138408045845;0.118688792049935;0.0423251242003369;0.0101542763540779;0.0836871646403929;0.103071215926605;0.152741196013524
