;Amadou Haidara;Benjamin Henrichs;Benjamin Sesko;Castello Lukeba;Christoph Baumgartner;David Raum;Emil Forsberg;Fabio Carvalho;Janis Blaswich;Lois Openda;Lukas Klostermann;Mohamed Simakan;Nicolas Seiwald;Xaver Schlager;Xavi Simons
Amadou Haidara;0.074684276983827;0.0827578454751905;0.0504135015870031;0.108861353276757;0.0116631253567134;0.145478143610833;0.0662971193211785;0.0153962043901206;0.0905870937563888;0.0777025460402417;0.0117583270701137;0.0703518559079536;0.00613023191404291;0.0686621129540776;0.119256262355558
Benjamin Henrichs;0.0746841410382819;0.0827574858790589;0.0504136819092688;0.108862475922262;0.0116629497481831;0.145477580970113;0.0662971324276595;0.0153962610402974;0.090585627349663;0.0777024502294709;0.0117584250358;0.0703529617992755;0.00613027070163151;0.0686621403886254;0.119256415560409
Benjamin Sesko;0.0746843117347076;0.0827579305868368;0.0504134476304136;0.108861074383835;0.0116631675536515;0.145478283574413;0.0662971086540834;0.0153961803416961;0.0905875192398491;0.0777025593184762;0.0117582988092761;0.0703515779352414;0.00613021997740368;0.0686621055471981;0.119256214712919
Castello Lukeba;0.0746846025373624;0.082758588224;0.0504129689704485;0.108858860485216;0.0116634804854437;0.145479432781492;0.0662969809333028;0.0153959475076107;0.090591179154804;0.07770260299334;0.0117580647950938;0.0703493883422326;0.00613011250254043;0.0686620211706326;0.11925576911648
Christoph Baumgartner;0.0746844156963282;0.0827581297914805;0.0504132490128747;0.108860354834799;0.011663257497222;0.145478686623225;0.0662970306262314;0.015396068780083;0.090588950673036;0.077702525219439;0.0117582135773109;0.0703508717621906;0.00613017404894834;0.0686620597204167;0.119256012136414
David Raum;0.0746842503537897;0.0827577630950507;0.0504135287472548;0.108861596119513;0.0116630831551344;0.145478027592209;0.0662971122980483;0.0153962052788818;0.0905868482344137;0.0777025110857286;0.0117583446536137;0.0703520962245869;0.00613023731211596;0.0686621148084168;0.119256281041242
Emil Forsberg;0.0746843748952355;0.0827580909149531;0.0504133574533744;0.108860563743832;0.0116632456710613;0.145478542317238;0.066297095951547;0.0153961466401388;0.0905882365710436;0.077702593654909;0.0117582515536407;0.0703510739424831;0.00613020026632986;0.0686620910971747;0.119256135327039
Fabio Carvalho;0.0746841132296681;0.0827574103328393;0.0504137136904887;0.108862696930541;0.011662915811794;0.145477459506929;0.0662971322400506;0.0153962655756761;0.09058537967538;0.0777024253283005;0.011758440742814;0.070353171764028;0.00613027755493751;0.0686621510283256;0.119256446588227
Janis Blaswich;0.0746838720728608;0.0827567695298286;0.0504140394400746;0.108864708828726;0.0116625967019772;0.145476459981728;0.06629715789594;0.0153963699195031;0.0905827249661953;0.0777022560899563;0.0117586177042095;0.0703551632613368;0.00613034761916359;0.0686621950050307;0.119256720983469
Lois Openda;0.0746843946911132;0.0827581222731636;0.0504133149835698;0.108860437864847;0.0116632589787265;0.145478615512409;0.0662970757925077;0.0153961199768521;0.0905885347102137;0.0777025781522492;0.0117582345266943;0.0703509504739962;0.0061301903090884;0.0686620809374652;0.119256090817105
Lukas Klostermann;0.0746843862273335;0.0827580433786593;0.0504132797526239;0.108860597036923;0.0116632172324341;0.145478548421212;0.0662970273402576;0.0153960668234353;0.0905887169960764;0.0777024906077542;0.011758227406462;0.0703511002130665;0.00613018064216443;0.0686620730100998;0.119256044911499
Mohamed Simakan;0.0746846553075258;0.0827586854151339;0.0504128665401979;0.108858500000669;0.0116635235521343;0.145479631489326;0.0662969395513826;0.0153958871660051;0.090591922163719;0.0777025807407465;0.0117580200778001;0.0703490335064243;0.00613008883975481;0.0686619991852562;0.119255666463924
Nicolas Seiwald;0.0746843852177587;0.0827580483262295;0.0504132839610093;0.108860588830434;0.0116632233014008;0.145478553921321;0.0662970310900982;0.0153960763949807;0.0905886832580734;0.0777024993390853;0.0117582319785067;0.070351091806245;0.00613018175101475;0.0686620731611238;0.119256047662719
Xaver Schlager;0.0746842909028374;0.0827578581221873;0.0504134615802743;0.108861276352679;0.0116631304347292;0.145478188311637;0.0662970957291441;0.0153961720978861;0.0905873713183007;0.0777025199658547;0.0117583101616101;0.0703517760560844;0.00613022230499735;0.0686621058122482;0.11925622084953
Xavi Simons;0.0746843026968215;0.0827578953314459;0.0504134511719565;0.108861169948204;0.0116631488914475;0.145478241002829;0.0662970999301889;0.0153961739520683;0.0905874659779079;0.0777025371774006;0.0117583036029968;0.0703516725376872;0.00613022029630902;0.0686621040994307;0.119256213383306
