;Aihen Munoz;Alex Remiro;Alvaro Odriozola;Ander Barrene;Aritz Elustondo;Arsen Zakharyan;Benat Turrientes;Brais Mendez;Carlos Fernandez;Igor Zubeldia;Martin Zubimendi;Mikel Merino;Mikel Oyarzabal;Robin Le Normand;Takefusa Kubo
Aihen Munoz;0.0876198387965222;0.0288666636984772;0.00304387866436554;0.117861468663646;0.0799244650740757;0.0120406028716446;0.0183656311920032;0.0900636487376412;0.0144042948370666;0.0868413089870458;0.136335805205956;0.121419523692912;0.0587950915323379;0.0635361153302115;0.0808816627160946
Alex Remiro;0.0876124966611391;0.0288677714761622;0.00304345375927381;0.117863840145618;0.0799285185188337;0.012040145828134;0.0183650281870634;0.0900617141307903;0.0144041443749318;0.0868410921223087;0.136331020379857;0.121420960958226;0.0587970968605522;0.0635384291382941;0.0808842874588153
Alvaro Odriozola;0.0876170434757774;0.028866923722524;0.00304379451320011;0.117861914690267;0.0799258387359617;0.0120403087016646;0.018365635941587;0.0900643273598778;0.0144042180027961;0.0868423522009096;0.136334847330068;0.121418731403623;0.0587957672936973;0.0635359726084356;0.0808823240196113
Ander Barrene;0.0876176392760505;0.0288667655906907;0.00304366620355177;0.117860597694438;0.0799254692274516;0.0120403257488605;0.0183659190821734;0.0900636865195268;0.0144041067605946;0.086841797791559;0.13633425233056;0.121419701806318;0.0587958574050543;0.0635369048707472;0.0808833096924239
Aritz Elustondo;0.0876092426477373;0.0288682044860442;0.00304327657290761;0.117862820841819;0.079930676933118;0.0120396292809942;0.0183653729348518;0.0900625845498422;0.0144039391561587;0.0868422883058128;0.136329846500219;0.12141986763739;0.0587980263575463;0.0635382905353306;0.0808859332602275
Arsen Zakharyan;0.0876182275463252;0.0288671002483173;0.00304364570021468;0.117862992494647;0.0799254575550398;0.0120407487634274;0.0183650600527641;0.0900607008775555;0.0144042990697237;0.0868392818644932;0.136333134199065;0.12142234768231;0.0587956800968605;0.0635385253003582;0.0808827985488983
Benat Turrientes;0.0876143019257501;0.0288679499281835;0.00304367666862251;0.117864636030151;0.0799283136422274;0.012040315375878;0.0183647125043671;0.0900617162192675;0.0144043310036411;0.0868405848874064;0.136332712620386;0.121420385494853;0.0587963828588358;0.0635372808213492;0.0808827000190809
Brais Mendez;0.0876179884337149;0.028867295319997;0.00304386090510075;0.117857390010427;0.0799272734856075;0.0120397074380219;0.0183667308400998;0.0900668838375844;0.0144039964204262;0.0868439035872058;0.136337244179832;0.121415506288582;0.0587955721920089;0.0635335197172259;0.0808831273441661
Carlos Fernandez;0.0876224025655918;0.0288662137887193;0.00304398487034707;0.117860636218419;0.0799228786225834;0.0120408054720672;0.0183658334970594;0.0900639606640298;0.0144043343403128;0.0868411490781842;0.136337115189168;0.121419509742822;0.0587944445147605;0.0635357551949113;0.0808809762410242
Igor Zubeldia;0.087621068826668;0.0288664926467726;0.00304396123530187;0.117856755574094;0.0799246501723333;0.0120400562881907;0.0183669468523917;0.0900671598954161;0.0144040423200358;0.0868437701860605;0.13633836842453;0.121415993628329;0.0587948572476367;0.0635335855951778;0.080882291107062
Martin Zubimendi;0.0876132577295956;0.0288676570159347;0.00304352739310303;0.117862624660718;0.0799283415108058;0.0120400247092541;0.018365383868115;0.0900629353758594;0.0144041026343345;0.0868418713012558;0.136332163953024;0.12141972629788;0.0587968753449809;0.0635373991781193;0.08088410902702
Mikel Merino;0.0876161796330739;0.0288675868853071;0.00304370148668712;0.117862582006204;0.0799273307158033;0.0120403002586403;0.0183652467582947;0.0900624993620222;0.0144042478673468;0.0868408897394282;0.136333778189836;0.121419917084809;0.058796023482628;0.0635368517612998;0.0808828647686184
Mikel Oyarzabal;0.0876159643801213;0.0288674780223414;0.00304363940639213;0.117861328456583;0.0799273767400344;0.0120401513746783;0.0183656170505922;0.0900630990855813;0.0144041333634078;0.0868414436274579;0.136333710930321;0.121419520857929;0.0587961928160434;0.063536799553957;0.0808835443345587
Robin Le Normand;0.0876146965768999;0.0288676904133733;0.00304353096763084;0.117864379281218;0.0799275383155733;0.0120404856551765;0.018364739722926;0.0900604516279506;0.0144042708835006;0.0868396714797722;0.136331509754541;0.121422166481417;0.0587965221974713;0.0635388477141649;0.0808834989283843
Takefusa Kubo;0.0876135416917172;0.0288680118068997;0.00304359551184599;0.117860967351396;0.0799294106459257;0.0120397339951624;0.0183657451412294;0.0900640320476259;0.0144040462330861;0.0868424644722346;0.136333461471187;0.121418045181199;0.058796739888075;0.0635359953823997;0.0808842091800158
