;Anatoliy Trubin;Angel Di Maria;Antonio Silva;Arthur Cabral;David Jurasek;Florentino Luis;Fredrik Aursnes;Joao Mario;Joao Neves;Morato;Nicolas Otamendi;Petar Musa;Rafa Silva
Anatoliy Trubin;0.0593132819402758;0.086747555343897;0.115323066820129;0.047490300334293;0.0759474461424374;0.0169215266389513;0.0736742776634366;0.115947749708018;0.0930584247742451;0.0867264429942418;0.118174673394379;0.00923241493076848;0.101442839314928
Angel Di Maria;0.0593101603699489;0.0867477539543918;0.115318888249431;0.0474923946920142;0.0759500979137084;0.0169227270557235;0.0736726207802128;0.115951295116621;0.0930567580671501;0.0867261697809615;0.118172089630882;0.00923209740771365;0.101446946981242
Antonio Silva;0.0593116140047109;0.0867472291558817;0.115324231088225;0.0474907761155202;0.0759476827875235;0.016921749781773;0.0736732950640382;0.115948269503158;0.0930579777869654;0.086725963219486;0.118175117656188;0.0092323739595652;0.101443719876964
Arthur Cabral;0.0593100538438671;0.0867483389986767;0.115317337671134;0.0474930019689555;0.0759500769165923;0.0169229842149024;0.0736722272173191;0.115950578594777;0.0930567520332975;0.0867267187040416;0.118171557965365;0.0092320473293372;0.101448324541735
David Jurasek;0.0593103998374724;0.0867476725827755;0.115317293389303;0.0474925304222425;0.0759506563520732;0.0169228028754638;0.0736730017652891;0.115952228711755;0.0930566586261697;0.0867259884321785;0.118171413720126;0.0092320650483147;0.101447288236838
Florentino Luis;0.0593143948611396;0.0867486134695215;0.115316406616191;0.0474911523396951;0.0759489285028115;0.0169220754312238;0.0736749441407395;0.115949049232377;0.0930583089216214;0.0867270387885098;0.118171969200367;0.009232187311861;0.101444931183942
Fredrik Aursnes;0.0593130815359297;0.0867475363843044;0.115319475704263;0.0474912200694427;0.0759485533201044;0.0169218853314328;0.0736744336460231;0.115949163211534;0.0930580451517596;0.0867263787072209;0.118173059488923;0.00923235877122908;0.101444808677834
Joao Mario;0.0593098041740895;0.0867470206178853;0.115319169645681;0.0474927351546927;0.0759500668158072;0.0169226188820074;0.0736727081630655;0.115951516469392;0.0930566308922243;0.0867259000284858;0.118172056105714;0.0092322541389774;0.101447518911979
Joao Neves;0.0593130410904462;0.0867477558980979;0.115319998518708;0.0474911271218456;0.0759483000308444;0.0169218891950591;0.0736742265574013;0.11594866907081;0.0930581310381467;0.0867265050624046;0.11817337794663;0.00923233226816778;0.101444646201438
Morato;0.0593105338359447;0.0867474623501243;0.115321438346052;0.0474919619532981;0.0759488184072221;0.0169223126506892;0.07367267875669;0.115949498373868;0.0930572724797727;0.0867262230577319;0.118173474096785;0.0092322716721682;0.101446054019654
Nicolas Otamendi;0.0593127073440173;0.086747807689272;0.115318530010462;0.0474914985070257;0.075948999947707;0.0169221220812993;0.0736741440573437;0.115949644818634;0.0930578420232366;0.086726398807651;0.118172638071516;0.0092322543244756;0.101445412317361
Petar Musa;0.0593083930767954;0.0867469553298068;0.115314847195288;0.0474948277245848;0.0759513054599587;0.0169232939698044;0.0736719946493434;0.115952662996446;0.0930557881840727;0.0867262747128178;0.118169730083625;0.00923225550951132;0.101451671107945
Rafa Silva;0.0593097367237086;0.0867470015115481;0.115319042863798;0.0474928821864275;0.0759499497820622;0.0169226254899985;0.0736726348968203;0.115951287517032;0.0930566836675312;0.0867258790968557;0.118172145973396;0.00923226611519328;0.101447864175627
