;Alphonso Davies;Dayot Upamecano;Harry Kane;Jamal Musiala;Joshua Kimmich;Kim Min-jae;Kingsley Coman;Konrad Laimer;Leon Goretzka;Leroy Sane;Manuel Neuer;Mathys Tel;Noussair Mazraoui;Serge Gnabry;Thomas Muller
Alphonso Davies;0.114002362532267;0.0579840261687786;0.0586340255351037;0.0390871458491271;0.154116906622156;0.0920940856879942;0.09722818072248;0.0161244458056261;0.0941379467263315;0.0577102624564256;0.0679136194571157;0.0183049306302459;0.0725302068903572;0.00718180633827196;0.0529500485777197
Dayot Upamecano;0.11400657258125;0.0579832155814185;0.0586341102317826;0.03908768543253;0.154113947200335;0.0920874003346528;0.0972297732536102;0.0161245982056859;0.0941368904442951;0.0577100122325125;0.0679162749182169;0.0183042824986502;0.0725295508543133;0.00718291307506013;0.0529527731556868
Harry Kane;0.114007446965271;0.0579833545394152;0.0586339851323004;0.0390877498653431;0.154113523709477;0.0920870623375804;0.097229680034517;0.016124405666285;0.0941368900728798;0.0577099539077064;0.0679169991533693;0.0183041055483009;0.0725292861162556;0.00718291331347882;0.05295264363782
Jamal Musiala;0.114005892238007;0.0579835922049093;0.0586341683779708;0.0390875517266145;0.154114449152435;0.0920892102246335;0.0972294744707677;0.0161243057605764;0.0941370686313627;0.0577101144021016;0.0679157515760395;0.0183044074059053;0.0725294203554817;0.00718273820339307;0.0529518552698019
Joshua Kimmich;0.114006735342824;0.0579837173115103;0.0586339681197834;0.0390876343953663;0.154114145117581;0.0920888265024231;0.097229333975855;0.0161240894432075;0.0941371549673288;0.0577100319957034;0.0679166156677759;0.0183042014280148;0.0725292082904829;0.00718266022780114;0.0529516772143424
Kim Min-jae;0.11400994156724;0.0579837793147254;0.0586337388884508;0.0390879672984028;0.154112424097209;0.0920857857680158;0.0972298091280378;0.0161235300784749;0.0941368355060768;0.0577098321537938;0.0679191429572271;0.0183035836909055;0.0725283982713322;0.0071830430429956;0.052952188237113
Kingsley Coman;0.114005696247253;0.057983196810005;0.0586340711381509;0.0390876002630192;0.154114497774134;0.0920883616274303;0.0972294260904095;0.0161248427319818;0.0941370740995346;0.0577100515440817;0.0679156220548414;0.0183044302388762;0.072529850878265;0.00718267909754038;0.0529525994044772
Konrad Laimer;0.114001568481595;0.0579816719528732;0.0586367882713617;0.0390870544847915;0.154113243016472;0.092085665248627;0.0972337782479746;0.0161261398707232;0.0941342555335353;0.057710336781112;0.0679104747949305;0.0183059171274138;0.0725307510906328;0.00718571875256315;0.0529566363453938
Leon Goretzka;0.114004982038342;0.0579836870748254;0.0586338873140382;0.0390874792313022;0.154115324373636;0.0920905625400849;0.0972287631494354;0.0161244870247793;0.094137536136313;0.0577101072622512;0.0679153894543844;0.0183044733567371;0.0725297952337548;0.00718220534913255;0.0529513204609838
Leroy Sane;0.114006753665424;0.0579838272603975;0.0586340036002084;0.0390876178724303;0.154114183947767;0.0920891599375212;0.0972293167169547;0.0161238847781616;0.0941371769778109;0.057710056163844;0.0679166660814148;0.0183042010535714;0.072529073090938;0.00718268150168877;0.0529513973518667
Manuel Neuer;0.11400375411324;0.0579834831215141;0.0586341445191307;0.0390873566618474;0.154115662558132;0.0920908252719488;0.0972290430573568;0.0161248974528076;0.0941373369714088;0.0577101619558849;0.0679142254272258;0.0183047498760953;0.0725302432976527;0.00718234447611442;0.0529517712396404
Mathys Tel;0.114012169492724;0.0579842962122957;0.0586331210580048;0.0390881683715668;0.154111930552467;0.0920856632267733;0.0972290020540124;0.0161228506047033;0.0941373049954905;0.057709706899014;0.0679212697101578;0.0183030324531789;0.0725276828542137;0.00718259800724416;0.0529512035081528
Noussair Mazraoui;0.114004406098973;0.0579833979860847;0.0586347564501958;0.0390873685784668;0.154114620231695;0.0920896066550807;0.097230225742511;0.0161245006933793;0.09413660315611;0.057710231559185;0.0679142602763498;0.0183048174867061;0.0725296887241293;0.00718323083612627;0.0529522855250076
Serge Gnabry;0.114005638175746;0.0579807877953311;0.0586347777194623;0.0390878104754512;0.154112585255359;0.092080440861996;0.0972316986349063;0.0161277691489057;0.0941353492893532;0.0577098129863414;0.0679140900008269;0.0183047380101977;0.0725315938639595;0.00718418726142575;0.052958720520738
Thomas Muller;0.114003333983195;0.0579833831419265;0.0586343539678503;0.0390872844606532;0.154115683980125;0.0920909647093775;0.0972292266388637;0.016124956363336;0.0941372075836916;0.0577101926255852;0.0679137901008938;0.0183048912677552;0.0725302598647065;0.0071825613308643;0.0529519099811753
