;Abdulkerim Bardakci;Angelino;Baris Yilmaz;Cedric Bakambu;Davinson Sanchez;Fernando Muslera;Hakim Ziyech;Kaan Ayhan;Kerem Akturkoglu;Lucas Torreira;Mateus Tete;Mauro Icardi;Sacha Boey;Sergio Oliveira;Victor Nelsson;Wilfried Zaha
Abdulkerim Bardakci;0.12876937799962;0.101203345155428;0.00637932010068217;0.00244553887557588;0.115724987510808;0.0957757459303101;0.0746885954517617;0.0824344214701402;0.0831423960318492;0.0952130576373556;0.0102655300988437;0.0322716630558639;0.0844123072612801;0.0152790252110643;0.00519516773979599;0.0667995204696209
Angelino;0.128765526608735;0.101204683077989;0.0063793118679528;0.00244552575160141;0.115724691532409;0.095776544984721;0.0746891978790106;0.0824342574642121;0.0831420811144524;0.0952137744247949;0.0102656268780993;0.0322721059106048;0.0844130024066045;0.0152792793369496;0.00519517100285045;0.0667992197590141
Baris Yilmaz;0.128763421398975;0.101206066636013;0.00637926103414192;0.00244550287876874;0.115724626487361;0.0957778737787278;0.07468929373733;0.0824339985292686;0.0831411883794539;0.09521406216645;0.0102656549900745;0.0322721717574461;0.0844133435827727;0.0152795252716592;0.00519512885158419;0.0667988805199727
Cedric Bakambu;0.128767795905975;0.101202763210152;0.00637939553366741;0.00244556283952096;0.11572469589409;0.0957744925803705;0.074689293036079;0.0824346628362171;0.0831434829619352;0.0952135329715411;0.0102656180387185;0.032272170448191;0.0844126491680287;0.0152789472195212;0.00519524372646784;0.0667996936295248
Davinson Sanchez;0.128767191440961;0.101203713496039;0.00637934216515215;0.00244554142247793;0.11572475996879;0.095775642645188;0.0746890922468206;0.0824344331792577;0.0831426469011129;0.0952135334784019;0.0102656024410033;0.032272026256495;0.0844127254185973;0.0152791072530741;0.00519519504950776;0.066799446637122
Fernando Muslera;0.128763587069314;0.101207113604557;0.00637918933635624;0.00244547647726907;0.115724813169455;0.0957794859541182;0.0746888385634865;0.0824337243576103;0.0831399216440309;0.0952137906097898;0.0102655957565773;0.0322718433137615;0.0844132191634421;0.0152796834276378;0.00519505946898609;0.0667986580836078
Hakim Ziyech;0.128765359801804;0.10120350921757;0.00637939416755092;0.00244555603825898;0.115724486705448;0.0957747743261024;0.0746897107425944;0.0824345734761895;0.0831434596157548;0.0952140504376096;0.0102656889325386;0.0322724756040676;0.0844131196162244;0.0152790975750529;0.00519525023549299;0.0667994935077413
Kaan Ayhan;0.128765156226328;0.101204667018396;0.00637932029087314;0.0024455285951915;0.1157246393068;0.0957763950073108;0.0746893246952315;0.0824342829509513;0.0831422099602988;0.0952138752000274;0.010265644570906;0.0322721947206005;0.0844130776252898;0.0152792822379066;0.00519518009169411;0.0667992215021942
Kerem Akturkoglu;0.128764094328972;0.101204436294968;0.00637935959836762;0.00244554009181362;0.11572446487191;0.0957757548418056;0.0746897260939429;0.0824343979174564;0.0831427878323644;0.0952141807797947;0.0102656977803863;0.032272487537581;0.0844133032362629;0.0152792568674293;0.00519522009241672;0.066799291834529
Lucas Torreira;0.128764664561835;0.101204942287104;0.00637931241052592;0.0024455244574335;0.115724617516612;0.0957766490181226;0.074689363357114;0.0824342361817886;0.0831420481204235;0.0952139446605716;0.0102656520501784;0.0322722230474581;0.0844131565820169;0.0152793309128238;0.00519517386801648;0.066799160967976
Mateus Tete;0.128763765750916;0.101205352505807;0.0063793010076606;0.00244551815170302;0.11572456049944;0.095776928591557;0.0746894605920018;0.082434161650861;0.0831419099775503;0.0952141251604176;0.0102656743510529;0.0322722942970628;0.0844133341035753;0.0152794103056485;0.00519516652359265;0.0667990365311537
Mauro Icardi;0.128764398487616;0.101203855318119;0.00637938919594028;0.0024455516674005;0.115724410079365;0.0957749401982216;0.0746898530613056;0.082434520424312;0.0831434103774825;0.0952142573143843;0.010265716701574;0.0322725795318223;0.0844133091346269;0.0152791674202248;0.00519524839896423;0.0667993926886408
Sacha Boey;0.12876499330143;0.101204381191932;0.0063793427877226;0.00244553633602317;0.115724573573285;0.0957759312236972;0.0746894796604839;0.0824343635202096;0.0831425882718433;0.0952139743554149;0.0102656650270655;0.032272308007153;0.0844131338055921;0.0152792400496922;0.00519520178578063;0.0667992871026745
Sergio Oliveira;0.128764432383976;0.101206032889354;0.00637924447560442;0.00244549897461251;0.115724755785408;0.0957781635998302;0.0746890143423054;0.0824339667328448;0.083140878953703;0.0952137867799991;0.010265610516579;0.032271969048721;0.0844131205053027;0.0152795035839231;0.00519510973516937;0.0667989116926679
Victor Nelsson;0.128769071850802;0.101202653152643;0.00637937558954208;0.00244555834507615;0.115724845520367;0.0957747128063996;0.0746889535784818;0.0824346253912372;0.0831432244066962;0.0952132350873213;0.0102655705138967;0.0322719248663836;0.0844124010982269;0.0152789157849169;0.0051952209430731;0.0667997110649372
Wilfried Zaha;0.128766780394861;0.101203793244305;0.00637934479540233;0.00244554174527692;0.115724714528846;0.0957755977687077;0.0746891923140228;0.0824344328781885;0.0831426973445581;0.0952136370355854;0.0102656186183839;0.0322720958184145;0.0844128054642905;0.0152791269895648;0.00519519844207316;0.06679942261752
