;Aaron Wan-Bissaka;Alejandro Garnacho;Andre Onana;Bruno Fernandes;Christian Eriksen;Diogo Dalot;Harry Maguire;Jonny Evans;Marcus Rashford;Raphael Varane;Rasmus Hojlund;Scott McTominay;Sofyan Amrabat
Aaron Wan-Bissaka;0.119676389577262;0.0670136306550255;0.08880525516619;0.0742462804185099;0.0544810039930187;0.0917761603626527;0.143323157350142;0.0215296145353976;0.0461630052507028;0.106795045238412;0.0247785184747114;0.0936148757588183;0.0677970632191564
Alejandro Garnacho;0.119674663369331;0.0670154835223273;0.0888061951647875;0.074245404439483;0.0544789694457157;0.0917754431403296;0.143323485809087;0.0215296857424424;0.0461641972087558;0.106794449766965;0.0247788897944788;0.0936162802055924;0.0677968523907045
Andre Onana;0.11967234917127;0.0670175730127656;0.0888079017071561;0.0742444513734944;0.054477780381797;0.0917734038979442;0.14332184101016;0.0215298209209331;0.0461653556772335;0.106794306693991;0.0247791925007408;0.0936190049300823;0.0677970187224314
Bruno Fernandes;0.119673770312184;0.0670158228027413;0.0888072661448222;0.0742453068521748;0.0544801738373873;0.0917733612203474;0.143320657536004;0.0215297535322783;0.046164363713356;0.106795102674175;0.0247788204449304;0.0936183084156428;0.0677972925139567
Christian Eriksen;0.119672331451292;0.0670170573230345;0.0888080114090019;0.0742447232725964;0.0544789617617176;0.0917719269058732;0.14332034083131;0.021529761063392;0.0461659414517954;0.106794794882452;0.0247791694065717;0.0936200203395356;0.0677969599014286
Diogo Dalot;0.119676761778126;0.0670137319014753;0.0888051802640648;0.0742462221925941;0.0544808552328897;0.0917775903204937;0.143323766027116;0.0215297024455587;0.0461616705011876;0.106794963533837;0.0247783351185982;0.0936137724013437;0.0677974482827145
Harry Maguire;0.119677945085737;0.0670126406555268;0.0888041627424164;0.0742467264874117;0.0544811396732583;0.0917786823709523;0.143325069599262;0.0215295940482285;0.0461614251711897;0.106794883745267;0.0247782612684283;0.0936123003562118;0.0677971687961096
Jonny Evans;0.119672676254235;0.0670174359322761;0.0888080458711032;0.0742445180613476;0.0544786123649801;0.0917738624855882;0.143321119285929;0.0215299101823383;0.0461640771928492;0.106794647047832;0.024778927321912;0.0936186267415583;0.0677975412580506
Marcus Rashford;0.119679129480424;0.0670109540620469;0.0888028337664226;0.0742474653410281;0.0544817330869258;0.0917783800986633;0.143326026056597;0.021529353540598;0.0461628519332456;0.106794907943413;0.0247783950097044;0.0936116635356507;0.0677963061452806
Raphael Varane;0.119674382051268;0.0670155239142529;0.0888065161877875;0.0742453962033764;0.0544794412018076;0.0917746425302214;0.14332247511645;0.0215296999254343;0.0461643704205063;0.106794706494991;0.0247788733753792;0.0936170159266783;0.0677969566518467
Rasmus Hojlund;0.119677104801511;0.0670133098231482;0.088804746765014;0.0742464188969316;0.0544808422655654;0.09177770592377;0.143324323212393;0.0215296255206504;0.0461620420225231;0.106794899167109;0.0247783824523484;0.0936134410304668;0.0677971581185689
Scott McTominay;0.119674252586364;0.0670157162877717;0.0888065344794796;0.0742453074345501;0.0544790457157205;0.0917747540299821;0.14332282118849;0.0215296980220124;0.0461645137327159;0.106794544803022;0.0247789341356203;0.0936169912061999;0.0677968863780707
Sofyan Amrabat;0.119674012719736;0.0670160394941899;0.0888070141920992;0.0742451591131886;0.0544793816407011;0.0917746894035323;0.143321953842203;0.021529796701547;0.0461638070863245;0.106794742669503;0.024778807920279;0.0936172662655901;0.0677973289511057
