;Abel Ruiz;Al Musrati;Alvaro Djalo;Andre Horta;Bruma;Cristian Borja ;Joao Moutinho;Joe Mendes;Jose Fonte;Matheus;Ricardo Horta;Rodrigo Zalazar;Sikou Niakate;Simon Banza;Victor Gomez;Vitor Carvalho
Abel Ruiz;0.0188632126025638;0.0668686513941328;0.0370778851423167;0.0306996180380932;0.0770323051082393;0.11531295050859;0.161549311561754;0.0486360358578633;0.0493122100733806;0.0200964608514506;0.0531441198211585;0.0672173184245621;0.0827258102310798;0.0170421335272871;0.0468649401402095;0.107557036717318
Al Musrati;0.0188629347231515;0.0668676473677663;0.0370778061418495;0.0307000625350691;0.077033315191228;0.115311656772834;0.161549399943243;0.0486353730012089;0.049312271244468;0.0200960595458556;0.0531443372497141;0.0672168212545483;0.082727421723615;0.0170420244638112;0.0468651561728347;0.107557712668803
Alvaro Djalo;0.0188636204295336;0.0668690184772422;0.0370781807952174;0.0306992506609491;0.0770315476476262;0.11531404747641;0.161549027270861;0.0486356517919579;0.0493123893279279;0.0200970035510427;0.0531441129216894;0.0672186578325119;0.0827240417369754;0.017042223789681;0.0468645939263852;0.107556632363989
Andre Horta;0.0188633717414644;0.0668675934084566;0.0370787182161585;0.0307003610320576;0.0770324789794876;0.11531146739947;0.161549631107317;0.0486345386738696;0.0493122366871067;0.0200965084366731;0.053143551705348;0.0672175357032893;0.0827261360642814;0.01704263939612;0.046864394887921;0.10755883656098
Bruma;0.0188629120430126;0.0668671705437998;0.0370784795247208;0.0307010131027712;0.0770337424996499;0.115310172474532;0.161549894933979;0.048634927227087;0.0493118944220644;0.0200957108782384;0.0531434168437115;0.0672160478190104;0.0827282565191934;0.017042623946916;0.0468645211847057;0.107559216036608
Cristian Borja ;0.0188623908172055;0.066867050034282;0.037077677261604;0.0307010052149536;0.0770347313963334;0.115309846197503;0.161549979924294;0.048635799454383;0.0493117857110882;0.0200951217338947;0.0531439564627349;0.0672147539116823;0.0827299693983421;0.0170421604298675;0.046865107524208;0.107558664527624
Joao Moutinho;0.0188631022984779;0.0668679034429647;0.0370779138567523;0.0306996260874181;0.0770326874885148;0.115312574588741;0.161549160918909;0.0486351941870167;0.0493123605524775;0.0200964044185917;0.0531444846969849;0.06721751504204;0.0827264606698643;0.0170419335949614;0.0468652363564129;0.107557441799873
Joe Mendes;0.0188623381767027;0.0668658315289148;0.0370780340584363;0.0307013823525765;0.0770348814054102;0.115308292045508;0.161550083951428;0.0486344960808146;0.0493120861960103;0.0200951620134987;0.0531439632059853;0.0672146668911218;0.0827309326160235;0.0170422867333698;0.046865330869426;0.107560231874774
Jose Fonte;0.0188626081870617;0.0668661067244997;0.0370776011171207;0.0306997805059163;0.0770338576367988;0.115310692594216;0.161549243289548;0.0486337694482306;0.0493126542307429;0.0200959879630029;0.0531453285508991;0.0672171855028613;0.0827291665128624;0.0170413676119423;0.0468663727150392;0.107558277409258
Matheus;0.0188625593659655;0.0668661126324116;0.0370774509313023;0.0306995493283067;0.0770338573096905;0.115311417153526;0.1615489870993;0.0486338368494124;0.0493127574419929;0.020096068668503;0.0531456705952954;0.0672171222419641;0.0827288660764593;0.0170412040154475;0.0468663539065859;0.107558186383836
Ricardo Horta;0.0188626292576795;0.066866455158456;0.0370780007056308;0.0307006038002858;0.0770341916413543;0.115309968642845;0.161549619890117;0.0486343585061384;0.0493121831888347;0.0200956089163844;0.0531443309638742;0.0672162477917471;0.0827293968178736;0.0170419912139063;0.0468655229483093;0.107558890556563
Rodrigo Zalazar;0.0188632613950618;0.0668684002455328;0.03707806714448;0.0306997292239318;0.0770325548178548;0.115313059896717;0.161549332134084;0.0486355765188589;0.0493121535160904;0.0200964536049015;0.0531441243619889;0.0672176272643805;0.0827256688923378;0.0170421594616702;0.0468646480276266;0.107557183494483
Sikou Niakate;0.0188632935769415;0.0668672856066368;0.0370784488865017;0.0306998717324377;0.0770325887289476;0.115311901844475;0.161549025339087;0.0486340010617008;0.0493125239375597;0.0200965724389318;0.0531442773200967;0.0672182581112669;0.0827263998609792;0.0170421536136713;0.0468651460716801;0.107558251869086
Simon Banza;0.0188641638943929;0.0668702582803898;0.0370779903772671;0.0306981187484926;0.0770298755701364;0.115316131668456;0.161548351968113;0.0486361178656174;0.0493129038832728;0.0200979469569448;0.0531444863479474;0.0672205121931173;0.0827212823805121;0.0170420545779942;0.0468648262565451;0.107554979030801
Victor Gomez;0.0188629801653721;0.0668668214239407;0.0370779214786213;0.0306996112261247;0.0770330858350325;0.115311951599264;0.161549002110317;0.0486340216884186;0.0493126847986674;0.0200964253612274;0.053145025027584;0.0672177969389126;0.0827272497827986;0.0170416745064673;0.0468656489062257;0.107558099151027
Vitor Carvalho;0.0188629485919133;0.0668670788425762;0.037078009019221;0.0307000599509877;0.0770332911566082;0.115311199974949;0.161549278080745;0.0486345150727687;0.049312423527143;0.0200961413331442;0.0531444589480003;0.0672172255803169;0.082727743361217;0.0170419708876315;0.0468654493733465;0.107558206299431
