;Alessandro Bastoni;Alexis Sanchez;Carlos Augusto;Davide Frattesi;Federico Dimarco;Francesco Acerbi;Hakan Calhanoglu;Henrikh Mkhitaryan;Kristjan Asllani;Lautaro Martinez;Marcus Thuram;Matteo Darmian;Nicolo Barella;Stefan de Vrij;Yann Bisseck;Yann Sommer
Alessandro Bastoni;0.103846224646557;0.0400389015177192;0.0830538000036358;0.0856201384693566;0.0116982966938656;0.081070115238304;0.0758798569674807;0.083016503553803;0.0557703419426932;0.0322438254531454;0.0552532936630307;0.103899724846454;0.0470560509436066;0.0504582387380489;0.0633374773747489;0.0277572099475505
Alexis Sanchez;0.10384643686276;0.0400389318791287;0.083052744065948;0.0856214572219696;0.0116980268287214;0.0810703582463515;0.0758796676623414;0.0830169783198044;0.0557697962590487;0.0322433306464479;0.0552538562871067;0.103898614515635;0.0470565228128582;0.0504585488754214;0.0633375490285253;0.0277571804879319
Carlos Augusto;0.103846944836326;0.040038890021647;0.0830526708217537;0.0856216795298894;0.0116979783073881;0.0810706318310509;0.0758794456978514;0.0830174188177265;0.055769568696042;0.0322430759400488;0.0552542107241426;0.103897510554608;0.0470568175241398;0.050458681441341;0.0633373808191386;0.0277570944369066
Davide Frattesi;0.103845592577988;0.0400389971625576;0.083053342711926;0.085620468742097;0.0116982373357654;0.0810694843811727;0.0758795431506273;0.0830163443860065;0.0557707616684719;0.032244256478298;0.0552536073820866;0.103900306494496;0.0470561678297339;0.0504584949630043;0.0633373721947313;0.0277570225410374
Federico Dimarco;0.10384776595744;0.0400388480275818;0.0830511244912137;0.085623557956605;0.0116975741406515;0.0810703222215194;0.0758780769103675;0.0830186035076754;0.0557692894277164;0.0322427730606903;0.0552564161545403;0.103894615792162;0.047058202866715;0.050459742487473;0.0633366158949526;0.0277564711026966
Francesco Acerbi;0.103845961826844;0.0400389493722938;0.083053711398837;0.0856201708544541;0.0116983045388692;0.081069989378094;0.0758798292014432;0.0830164393610171;0.0557705008725413;0.0322439714879178;0.0552532294113765;0.103899971445328;0.0470560070131403;0.0504582783837794;0.0633375236306654;0.0277571618233998
Hakan Calhanoglu;0.103846728666247;0.0400389150391838;0.0830525119169279;0.0856218451738163;0.0116979381579417;0.0810706225665914;0.0758795896732967;0.0830172745028387;0.0557694775772301;0.0322430460705865;0.0552540622139019;0.103897925471557;0.0470567320679972;0.0504586023003536;0.0633375181687925;0.0277572104327372
Henrikh Mkhitaryan;0.103846652027654;0.0400389172117712;0.0830527125898693;0.0856215641903014;0.0116980049871343;0.0810705670600513;0.075879602218318;0.0830171893574569;0.0557696495420918;0.0322431875775438;0.0552539331647873;0.103898133591404;0.0470566173650179;0.0504585677603081;0.06333752677051;0.0277571745857809
Kristjan Asllani;0.103846703979127;0.0400389322220959;0.0830526848275288;0.085621580654825;0.011697989708039;0.0810703161185941;0.0758792502611562;0.0830174062322909;0.0557698691521486;0.0322433388826049;0.0552543916954137;0.103897677153356;0.0470569425852544;0.0504587763368843;0.0633371879813922;0.027756952209289
Lautaro Martinez;0.103846417885512;0.0400389702505801;0.0830525287971118;0.0856215944662199;0.0116980061846069;0.0810699012026665;0.0758789943874712;0.0830173228015698;0.0557702619188156;0.0322436773664809;0.0552546142638099;0.103897904642337;0.0470569791012951;0.0504589903458356;0.0633370951402021;0.0277567412454857
Marcus Thuram;0.103846303866948;0.0400389020318153;0.0830530284539163;0.0856210330089059;0.0116981131787433;0.0810699307491845;0.0758794665368389;0.0830167391226413;0.055770174507652;0.0322437257464633;0.0552539719712867;0.10389914399853;0.0470564132175416;0.0504585922926695;0.0633373715984766;0.0277570897183875
Matteo Darmian;0.103846503581725;0.0400389381706082;0.083052224623982;0.0856220287668918;0.0116978960042293;0.0810699762744181;0.0758790849231393;0.0830172767775738;0.0557699001166836;0.0322434409718279;0.0552547064312302;0.103897957482374;0.0470570168027724;0.0504589519992032;0.0633371800597506;0.0277569170135907
Nicolo Barella;0.1038456074667;0.0400389990501998;0.0830540675206142;0.0856196806460474;0.0116983565043562;0.0810692728618905;0.0758794832034684;0.0830163480173428;0.0557710887645039;0.032244501518156;0.0552536313896416;0.103900402447651;0.0470563068441655;0.0504583649574285;0.0633369434107191;0.0277569453971153
Stefan de Vrij;0.103846204707084;0.040038966021568;0.0830527120166632;0.0856213490584763;0.0116980585656221;0.0810698456044418;0.0758792280090707;0.0830169972787347;0.0557703020061525;0.0322437715199269;0.055254260889991;0.103898657035597;0.0470566876695502;0.0504588140923557;0.0633372593356331;0.0277568861891328
Yann Bisseck;0.10384618519407;0.0400389463784206;0.0830529730302482;0.0856210930192143;0.011698115642214;0.0810701435912345;0.075879663107573;0.083016756482808;0.0557701020454046;0.0322436229544001;0.0552536807640509;0.103899173718591;0.0470563254014749;0.0504585127932495;0.063337564167656;0.0277571417093907
Yann Sommer;0.10384698139056;0.040038887311997;0.0830522828713964;0.085622127466489;0.0116978820998026;0.0810705911674204;0.0758793154457279;0.0830175134287696;0.0557694367216424;0.0322429840843823;0.0552544902395747;0.103897278074138;0.0470569737555425;0.0504588162637174;0.0633373693517858;0.0277570703270541
