;Alexander Schlager;Amankwah Forson;Amar Dedic;Andreas Ulmer;Dorgeles Nene;Karim Konate;Lucas Gourna-Douath;Luka Sucic;Mads Bidstrup;Nicolas Capaldo;Oscar Gloukh;Petar Ratkov;Roko Simic;Samson Baidoo;Strahinja Pavlovic
Alexander Schlager;0.0792869833045469;0.0150306277405056;0.0876841189190417;0.0469726720570864;0.00858349587068831;0.0499561872541309;0.0495491315221019;0.112013944544505;0.0662054298669153;0.0474892994554613;0.10913681460166;0.00339680954938002;0.0358089007201298;0.140805100261586;0.148080484332261
Amankwah Forson;0.0792883862560786;0.0150306967446703;0.0876855534702482;0.0469721468963822;0.00858401776989454;0.0499560880520961;0.0495492551562324;0.112013494206803;0.06620623111592;0.0474896881030096;0.109137706418657;0.00339677417408112;0.0358092520093684;0.140802834348368;0.148077875278191
Amar Dedic;0.0792853897567953;0.0150309825473547;0.08768349644293;0.0469725653426305;0.0085837888216772;0.0499567821894207;0.0495490655155559;0.112015193986056;0.0662056174805844;0.0474894451218206;0.109137426745533;0.00339687680328162;0.0358093471582912;0.140804369372465;0.148079652715604
Andreas Ulmer;0.0792841352201023;0.0150312336226428;0.0876830023686971;0.0469724940179492;0.00858410505810754;0.0499574039526628;0.0495490861778197;0.112016283852369;0.0662059067898318;0.0474894956093752;0.109138297802048;0.00339694268983218;0.0358098594379395;0.1408034573417;0.148078296058923
Dorgeles Nene;0.0792859007539204;0.0150309960303853;0.0876840579242354;0.0469725511831935;0.00858412461174551;0.0499567513629381;0.04954918311283;0.112015269423045;0.0662057451937993;0.0474894415886942;0.109137553163885;0.00339688335708816;0.0358094570484395;0.140803889756447;0.148078195489354
Karim Konate;0.0792851886043594;0.0150311865176333;0.0876839569197128;0.0469722303441555;0.0085843800394705;0.0499573478308215;0.0495491936582553;0.112016050286131;0.0662063907448827;0.0474897385071101;0.10913887738671;0.00339693146274249;0.0358101112148622;0.140801875923394;0.148076540559759
Lucas Gourna-Douath;0.0792858863439997;0.0150308678893278;0.0876836747059169;0.0469726398711312;0.00858378454974679;0.0499567021076554;0.0495491520749537;0.112014889176978;0.0662056187095396;0.0474893135140117;0.109137464376206;0.00339686499955069;0.0358092998528667;0.140804507133762;0.148079334694354
Luka Sucic;0.0792852193002231;0.015031146925031;0.0876838601034646;0.046972318353808;0.00858427104698762;0.0499572221784091;0.0495491695448052;0.112015885752728;0.066206203455318;0.0474896612403294;0.10913852658985;0.00339692097135006;0.0358099385922439;0.140802471339691;0.148077184605761
Mads Bidstrup;0.0792865989468011;0.0150308494326715;0.0876844791556378;0.0469723564428295;0.00858405185424128;0.0499567242170991;0.0495492175485066;0.112014864960723;0.066206111459346;0.0474896026978349;0.109138078143865;0.00339686582678214;0.0358096068694168;0.140802824281971;0.148077768162274
Nicolas Capaldo;0.0792867177127776;0.0150308472769984;0.0876844860746807;0.0469723692102328;0.00858400917223926;0.0499566910768616;0.0495492226598826;0.112014765932796;0.0662060817858145;0.0474895944929586;0.109138030439999;0.00339685951746173;0.0358095632699835;0.140802926587419;0.148077834789894
Oscar Gloukh;0.0792863148975826;0.0150311859977433;0.0876846152356885;0.0469721127155632;0.00858454469166431;0.0499573956229953;0.0495493742560474;0.1120157153986;0.0662067598761312;0.0474898174349842;0.109139533381336;0.00339691713934251;0.0358103138001272;0.140800808649306;0.148074590902888
Petar Ratkov;0.0792802239811385;0.0150319573973797;0.0876814459281631;0.0469722272467091;0.00858466932589664;0.049958752949194;0.0495488676872952;0.112019184454647;0.0662063381731704;0.0474898633863159;0.109139660347908;0.00339710154851772;0.03581088405661;0.140801730577293;0.148077092939763
Roko Simic;0.0792839625730652;0.0150315031211217;0.0876831308845785;0.0469723104700475;0.00858448094846082;0.0499579010075137;0.0495492044105244;0.112016925286693;0.0662063791280569;0.047489671198729;0.109139361665283;0.00339698034438964;0.0358103788209897;0.140801947639187;0.14807586250136
Samson Baidoo;0.0792881978459174;0.015030511647067;0.087685196214183;0.0469724870103004;0.00858391535895755;0.0499561911092032;0.0495493382721369;0.112013756913357;0.0662059686912343;0.0474894051251202;0.109137586823146;0.00339680881245662;0.0358092396859764;0.140803434872111;0.148077961618833
Strahinja Pavlovic;0.0792885450473309;0.0150304106199154;0.0876855676062853;0.046972371627623;0.00858389940910894;0.0499560305536806;0.0495492967999027;0.112013596942343;0.0662060678406118;0.0474895662347727;0.109137508791469;0.00339680003942785;0.0358092331141383;0.140802942219046;0.148078163154344
