;Donyell Malen;Emre Can;Gregor Kobel;Jamie Bynoe-Gittens;Julian Brandt;Julian Ryerson;Karim Adeyemi;Marcel Sabitzer;Marco Reus;Marius Wolf;Mats Hummels;Niclas Fullkrug;Nico Schlotterbeck;Ramy Bensebaini;Salih Ozcan
Donyell Malen;0.0556228584848708;0.0846198486354149;0.0614683183497336;0.039909246301284;0.0340269782608514;0.123479082173137;0.0452561085020883;0.0805213973734018;0.0643034733700967;0.013752083821709;0.110573553572842;0.0661337799378457;0.090327865591639;0.0980056550829393;0.0319997505421465
Emre Can;0.055623383350165;0.0846209289098207;0.0614696084143252;0.0399094989703771;0.0340266266289705;0.123477613730894;0.0452563942003331;0.080520874636259;0.0643030155252127;0.0137518877434726;0.110573168118894;0.0661341483780462;0.090326304064853;0.0980064892388829;0.0320000580894942
Gregor Kobel;0.0556240116550979;0.0846218503223357;0.0614708226193482;0.0399098261891865;0.0340259547346847;0.123475789296202;0.045256933368787;0.0805205336257534;0.0643025145471542;0.0137518138983629;0.110573294911747;0.0661344730981902;0.0903250801950619;0.0980068410787498;0.0320002604593382
Jamie Bynoe-Gittens;0.055623122869889;0.0846211011566175;0.0614699242237013;0.0399093764117364;0.0340269334411161;0.123478354076483;0.0452557556179051;0.0805207099751772;0.0643031492066188;0.0137516363407093;0.11057256780236;0.0661340126599112;0.0903262767284948;0.0980070704384405;0.032000009050839
Julian Brandt;0.0556249953718546;0.0846233883911633;0.0614720155219517;0.0399101620193067;0.0340261098079497;0.123473279904883;0.0452581999240786;0.0805198772072186;0.0643016580452007;0.013751766389064;0.110572048776886;0.0661354446659742;0.090321051796985;0.0980084866576715;0.0320015155198129
Julian Ryerson;0.0556228349542162;0.0846212012868141;0.0614699543432128;0.0399091875119387;0.0340275983737844;0.123479180433301;0.045255356486878;0.080520612047551;0.0643032248983171;0.0137514545044004;0.110571661566748;0.0661339726987128;0.0903256125036285;0.0980078628518821;0.0320002855386149
Karim Adeyemi;0.0556206942396416;0.0846165202861632;0.0614636970429254;0.0399080581502653;0.0340297398935491;0.123485342414446;0.0452546707046216;0.0805227176189771;0.064305088499008;0.0137524849006532;0.110572879358761;0.0661327957387795;0.090331243241611;0.0980045822518369;0.0319994856587604
Marcel Sabitzer;0.0556227496521531;0.0846203420645536;0.0614689685088178;0.0399091776548135;0.0340273085242962;0.123479419984986;0.0452556219674694;0.0805211125770046;0.0643034479167208;0.0137517799976647;0.110572675644967;0.0661337779994695;0.0903270676158956;0.0980066234138074;0.0319999264773801
Marco Reus;0.0556228575617309;0.0846206213419558;0.0614693010804547;0.0399092270704071;0.0340272642182449;0.123479128464541;0.0452556518541102;0.0805209741093563;0.0643033420319283;0.0137517097619621;0.110572509020192;0.0661338586385661;0.0903266207203264;0.0980069119774957;0.0320000221487291
Marius Wolf;0.0556230643499631;0.0846197494966998;0.0614680299788476;0.0399093277046356;0.0340268350871931;0.123478592737283;0.0452565723400722;0.0805214831006296;0.0643033969486206;0.013752256120602;0.110573829847703;0.0661339268878436;0.0903277321431599;0.0980053619309676;0.0319998413257786
Mats Hummels;0.0556227104029324;0.0846198685576262;0.0614683478553378;0.0399091753266815;0.0340271853957777;0.123479489881148;0.0452558375763061;0.0805213176215701;0.0643035337869228;0.0137519863224439;0.110573318116788;0.0661337151728983;0.0903278291028644;0.09800593098167;0.0319997538990328
Niclas Fullkrug;0.0556233577256766;0.0846214497600149;0.0614702136946467;0.0399094611183398;0.0340269215232289;0.123477729250571;0.0452560614118243;0.0805205679740608;0.0643029493934373;0.0137516373963075;0.110572339937435;0.0661342344601928;0.0903254418376778;0.0980073675865764;0.0320002669300103
Nico Schlotterbeck;0.0556216754146397;0.0846195036080776;0.0614681316454011;0.0399086571102709;0.0340282933556418;0.123482379119452;0.0452541694981329;0.0805213239313774;0.0643041663121;0.0137515393594695;0.110571981347124;0.0661331531474224;0.0903287128941531;0.098006784072719;0.0319995291840183
Ramy Bensebaini;0.0556233062447836;0.0846211676567513;0.0614698750990183;0.039909451084022;0.0340269109157679;0.12347787403488;0.0452561223824064;0.0805207127105685;0.0643030058049319;0.0137517239729356;0.110572648246963;0.0661341555682311;0.0903257449730573;0.0980071012354579;0.032000200070225
Salih Ozcan;0.0556221542561854;0.0846198709042836;0.0614683385815671;0.0399088539258134;0.034028118944951;0.123481144874888;0.0452549045074459;0.0805212431039957;0.0643038390348741;0.0137516672838251;0.110571987401533;0.0661335180284611;0.0903275262402676;0.0980069272927461;0.0319999056191622
