;Andreas Cornelius;Denis Vavro;Diogo Goncalves;Elias Achouri;Elias Jelert;Jordan Larsson;Kamil Grabara;Kevin Diks;Magnus Mattsson;Mohamed Elyounoussi;Rasmus Falk;Scott McKenna;Viktor Claesson
Andreas Cornelius;0.0229398159856378;0.0915463870258123;0.0260562825839435;0.0593333940047759;0.156870885691454;0.00876286079635384;0.0677661373954714;0.0766015682040038;0.0772102028672457;0.115576630878699;0.141057355446463;0.0966281918744325;0.0596502872457074
Denis Vavro;0.0229403055197848;0.0915485352008086;0.0260572144484357;0.0593346275561308;0.15687043030539;0.00876303814393266;0.0677670495991761;0.076601052411725;0.0772093886410904;0.115579348636073;0.141056878130878;0.0966241595378559;0.0596479718687194
Diogo Goncalves;0.0229400342240833;0.0915478088752989;0.0260571275490437;0.0593341959644595;0.156871393688006;0.00876291672192635;0.0677666406426764;0.0766005311162035;0.0772103709176042;0.11557779554698;0.141056796396642;0.096625586455604;0.059648801901473
Elias Achouri;0.0229403224632422;0.0915480818875184;0.0260568404204435;0.0593342972254296;0.156870086349509;0.00876305295335037;0.0677670319632328;0.076601489152214;0.0772089419368366;0.115579883382462;0.14105687875892;0.0966247270704729;0.059648366436369
Elias Jelert;0.022939844280497;0.0915478187127353;0.0260572999420204;0.0593342893949049;0.15687189372511;0.00876281544825704;0.0677664151552922;0.0766001237594001;0.0772111977781142;0.115576320837426;0.141057058044202;0.0966259161880665;0.0596490067339757
Jordan Larsson;0.0229401435054698;0.0915481022303446;0.026056401380958;0.0593343677608607;0.156869335677028;0.00876292918272802;0.0677667596118762;0.0766021058120892;0.0772090463770931;0.11557878082547;0.141057789567543;0.0966251872131291;0.0596490508554093
Kamil Grabara;0.0229401146237461;0.0915476193132676;0.0260565302616283;0.059334092739109;0.156869882205054;0.00876295036065407;0.0677666670230343;0.0766018452760011;0.0772093371301222;0.115578311212238;0.141057524861145;0.0966259511206015;0.0596491738733988
Kevin Diks;0.0229402588183469;0.0915463301650666;0.0260572909485741;0.0593331359992761;0.156872118721395;0.00876308349714976;0.0677668465517372;0.0766002743397463;0.0772099598271627;0.115578738145237;0.141055847723524;0.0966272718017028;0.0596488434610807
Magnus Mattsson;0.0229403738805235;0.0915465106780976;0.0260572139182509;0.0593332210690968;0.156871658036007;0.00876313853807302;0.0677670025845102;0.076600595745469;0.077209438538878;0.115579558618805;0.141055836718024;0.0966268307290251;0.0596486209452399
Mohamed Elyounoussi;0.0229402724541854;0.0915464518619786;0.0260571018904301;0.0593332144833883;0.156871741379202;0.00876309134129119;0.0677668586132924;0.0766005959299995;0.0772096611050401;0.115579109391886;0.141055945894712;0.0966270672581603;0.0596488883964333
Rasmus Falk;0.0229403446662158;0.0915476232530899;0.0260576371666528;0.0593339494008674;0.156871880655513;0.00876308220208485;0.0677671016410483;0.0766000227382043;0.0772099351249876;0.115579318103158;0.141055931128052;0.096625211066306;0.0596479628538194
Scott McKenna;0.0229403944831283;0.091547442437787;0.0260575999906359;0.0593338393329714;0.156871815392045;0.00876312700177031;0.0677671391399135;0.0766001616131062;0.0772097048265671;0.115579628483473;0.141055815425099;0.0966253927649406;0.0596479391085621
Viktor Claesson;0.0229403685783542;0.0915479505973674;0.0260572967284797;0.0593341403496714;0.156871091799014;0.0087630767373508;0.0677671269017624;0.0766006086209128;0.0772094255826161;0.115579893378212;0.141056237830731;0.0966247352159542;0.0596480476795738
