;Alex Remiro;Ander Barrene;Andre Silva;Arsen Zakharyan;Benat Turrientes;Brais Mendez;Hamari Traore;Igor Zubeldia;Javi Galan;Jon Aramburu;Jon Pacheco;Martin Zubimendi;Mikel Merino;Robin Le Normand;Takefusa Kubo;Umar Sadiq
Alex Remiro;0.0734518006373384;0.0750508029226413;0.0879129417527596;0.0190949660425571;0.0235608704551999;0.0834721894941809;0.0665780620868155;0.0477883968793185;0.056995440423703;0.0113030675818399;0.0134269205668334;0.125408213659567;0.0952246993769444;0.0877104405501445;0.111309822271145;0.0217113652990115
Ander Barrene;0.0734526291456419;0.0750507317394048;0.08791355292218;0.01909364638417;0.0235611802079926;0.0834725997757241;0.0665780235627336;0.0477882936801891;0.0569959411389959;0.0113031119317174;0.013426757104271;0.125407971179924;0.0952249675841027;0.0877106448924394;0.111309272403156;0.0217106763473571
Andre Silva;0.0734523808535759;0.0750510873395768;0.087913079013695;0.0190944950127778;0.0235604719858249;0.0834721043679055;0.0665780003443903;0.0477883256575648;0.056995789991883;0.0113029674171635;0.0134269195833995;0.125408094861205;0.0952248662345208;0.0877106102890173;0.111309673085622;0.021711133961878
Arsen Zakharyan;0.0734522685748963;0.0750509336397031;0.0879128852166314;0.0190947059710791;0.023560641164716;0.0834720457821791;0.0665780763690679;0.0477884398846952;0.0569954708049087;0.0113030613819364;0.01342698159343;0.125408382974369;0.0952247041546014;0.0877104596237314;0.111309691803118;0.0217112510609375
Benat Turrientes;0.0734535725932512;0.0750492483660008;0.0879146675926973;0.0190914175668112;0.0235642917982416;0.0834742356567541;0.066577866646852;0.0477878384419973;0.0569961042731185;0.0113037233832715;0.0134263806223066;0.125408260117547;0.0952252353745235;0.0877102210344642;0.111307443694132;0.021709492838032
Brais Mendez;0.0734525105917364;0.0750509118445857;0.0879134124088237;0.019093849379011;0.0235611038347958;0.0834724820349379;0.0665779820487119;0.0477882114618182;0.0569959340400016;0.0113030960207605;0.0134267163753243;0.125408105013511;0.0952250461162169;0.0877106786845785;0.111309212684352;0.0217107474608345
Hamari Traore;0.0734524008405125;0.0750509597628353;0.0879132789630242;0.0190941552569532;0.0235611566780177;0.0834724376545676;0.066577867371541;0.0477880435680352;0.0569959422253495;0.0113030528491487;0.0134267330378817;0.125408174783233;0.0952250901286756;0.0877105944316798;0.11130921484885;0.0217108975996942
Igor Zubeldia;0.0734526570999255;0.0750504424457122;0.0879138232676059;0.0190931918175323;0.0235622058870983;0.0834731959260886;0.0665779274945681;0.047787858590656;0.0569959940287872;0.0113032211401193;0.0134265156382622;0.12540820109903;0.0952252257194719;0.0877104190460772;0.111308761568173;0.0217103592308918
Javi Galan;0.0734525533609613;0.0750510185902646;0.0879130701004649;0.0190943722427395;0.0235603546995756;0.0834720976001858;0.0665781350503377;0.0477884592300822;0.0569956439522464;0.0113029878582044;0.0134269908839348;0.125408188897287;0.0952247508236878;0.0877105225642021;0.111309753230816;0.0217111009150103
Jon Aramburu;0.0734526723154499;0.0750489750573103;0.0879138289999312;0.0190939840605004;0.0235631222057571;0.0834736084593412;0.0665777267294344;0.0477879393201459;0.0569956051322729;0.0113032361566264;0.0134271655983746;0.125407714020656;0.0952244283542235;0.0877094946542451;0.111309428355931;0.0217110705797995
Jon Pacheco;0.0734526470469147;0.0750499091685057;0.0879140403048052;0.019092785403738;0.0235631371690335;0.0834738107055677;0.0665780910798561;0.047787731259113;0.0569956686364559;0.0113033932983862;0.0134263869682589;0.125408524894767;0.0952251999094851;0.0877100131389188;0.11130855100387;0.0217101100123242
Martin Zubimendi;0.0734523380663038;0.0750508737171362;0.0879131959034463;0.0190945139737886;0.0235606840274966;0.0834723015666707;0.0665779493202185;0.0477882219372807;0.0569958284164166;0.0113029353807195;0.0134269621874356;0.125407927668813;0.0952248312117442;0.0877104695847663;0.111309792514307;0.0217111745234575
Mikel Merino;0.0734530615675024;0.0750501409609765;0.0879140753721931;0.0190925570458836;0.0235623614266326;0.0834733124027811;0.0665780782035642;0.0477881962457485;0.0569959586595087;0.011303371986063;0.0134265659482958;0.125408105892694;0.0952250676642076;0.087710493021097;0.111308564845907;0.021710088756944
Robin Le Normand;0.0734528623972611;0.0750503282017726;0.0879136129359436;0.0190932937678808;0.023562048499294;0.0834731334472463;0.0665781174693825;0.0477879913835646;0.0569956050520036;0.0113032389611642;0.0134266692330701;0.125408555071688;0.0952250033638399;0.0877101122033158;0.111308975739807;0.0217104522727657
Takefusa Kubo;0.0734525489406703;0.0750507067126545;0.0879135020614614;0.0190937591905962;0.0235614537000305;0.0834726349087321;0.0665779024891238;0.0477881466013001;0.0569959738681032;0.0113031417110318;0.0134267130288342;0.125408052636051;0.095225043850863;0.0877106143620173;0.111309095635339;0.0217107103031912
Umar Sadiq;0.0734512310473206;0.0750520329510327;0.0879107606873678;0.0190985138775591;0.0235580612120286;0.0834697625142552;0.0665777231490728;0.0477888114890157;0.0569948311821023;0.0113026261078308;0.013427876464257;0.125408695893079;0.0952240200847674;0.0877103804951045;0.111311285186991;0.0217133876582153
