;Achraf Hakimi;Beraldo;Bradley Barcola;Danilo Pereira;Fabian Ruiz;Gianluigi Donnarumma;Kylian Mbappe;Lucas Hernandez;Marco Asensio;Marquinhos;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.139346812170952;0.120232296783422;0.0400397510021635;0.0854690505183126;0.113038093990259;0.050780390892537;0.056614898850357;0.0278575216861291;0.0193880338474603;0.0977003646337307;0.070750850018732;0.00552276822857419;0.115358211923797;0.0579009554535722
Beraldo;0.139343374169089;0.120230916317089;0.0400404417179161;0.0854692518709654;0.113038775635151;0.0507801001502039;0.0566133995823173;0.0278576773506651;0.0193886704052761;0.0977011036419999;0.0707526107442618;0.0055226213857006;0.115358766732431;0.0579022902969327
Bradley Barcola;0.139343397827702;0.120230913556828;0.0400404445584981;0.0854692632486571;0.113038766770501;0.0507800923364559;0.0566134223631664;0.0278576834094338;0.0193886650659964;0.0977010871986671;0.0707525884466148;0.00552262183837953;0.115358775614271;0.057902277764829
Danilo Pereira;0.139343958108385;0.120231087738307;0.0400403319559341;0.0854692685927554;0.113038635258162;0.0507801224762859;0.0566136763342688;0.0278576645065239;0.0193885651783525;0.0977009687199607;0.0707523060285178;0.00552264061004792;0.115358698245201;0.0579020762472982
Fabian Ruiz;0.139341797952102;0.120230251341574;0.0400407830465009;0.0854693557537981;0.113039094600395;0.0507799261034994;0.0566127621338477;0.027857764923669;0.0193889620725332;0.0977013871545712;0.0707533992412889;0.00552255424510856;0.11535906556933;0.0579028958617807
Gianluigi Donnarumma;0.139342951018967;0.120230698895915;0.0400405411702518;0.0854692930995441;0.113038859842207;0.0507800274478255;0.0566132512298078;0.0278577064637345;0.0193887527706086;0.0977011584886186;0.0707528274587948;0.00552260109564346;0.115358867858952;0.0579024631591299
Kylian Mbappe;0.139344878219973;0.120231507811075;0.0400401471623134;0.0854691868309771;0.113038465979226;0.0507802191671582;0.0566140683228736;0.0278576192707908;0.0193883893303152;0.0977007718205907;0.0707518228399686;0.00552268449503419;0.115358538044028;0.0579017007056759
Lucas Hernandez;0.139344636849875;0.120231384874004;0.0400401922445777;0.0854692371317911;0.113038490418995;0.0507801993875751;0.05661395755804;0.0278576356075835;0.0193884340949416;0.0977008413255597;0.0707519421077797;0.00552267035278046;0.115358577289948;0.0579018007565484
Marco Asensio;0.139340797187885;0.120229824788477;0.0400410077110025;0.0854694051238381;0.113039312150829;0.0507797987876304;0.0566123778365024;0.0278578212042929;0.0193891490912128;0.0977015392246717;0.0707539029941183;0.00552251294937983;0.11535926987423;0.0579032810759296
Marquinhos;0.139340306033276;0.120229640710498;0.0400410986200222;0.0854694187090133;0.113039414407272;0.0507797678614043;0.0566121471038114;0.0278578350375705;0.0193892418068124;0.0977016604648388;0.0707541685018834;0.00552249271463674;0.115359331743103;0.0579034762858573
Ousmane Dembele;0.139340407278945;0.120229691029506;0.0400410850764861;0.0854694241797547;0.113039389200974;0.0507797790754051;0.0566121989383013;0.0278578388463461;0.0193892175910305;0.0977016307244594;0.0707540926551922;0.0055224978514763;0.115359325346087;0.0579034222060369
Randal Kolo Muani;0.139346331523545;0.120232102154977;0.0400398457082095;0.0854690861644315;0.113038184162889;0.0507803555915019;0.0566146835038534;0.027857544178021;0.0193881221241451;0.0977004757800346;0.0707510938485234;0.00552274705086354;0.115358286829281;0.057901141379724
Vitinha Ferreira;0.139341301002355;0.120230039885089;0.0400408893185566;0.0854693950706985;0.113039189932773;0.0507798726955695;0.0566125602593394;0.0278577935486386;0.0193890535347378;0.0977014800908469;0.0707536454118834;0.00552253238842446;0.115359159365082;0.0579030874960042
Warren Zaire-Emery;0.139341194624317;0.120230003680297;0.040040921153731;0.0854693691559067;0.113039236178949;0.0507798454272593;0.0566125359182726;0.0278577968392269;0.0193890753270766;0.0977014684826168;0.0707537057696176;0.00552253099457698;0.115359189796779;0.0579031266513742
