;Alan Varela;Diogo Costa;Evanilson;Francisco Conceicao;Galeno;Joao Mario;Nico Gonzalez;Otavio;Pepe_14926;Pepe_66499;Wendell
Alan Varela;0.0779965690423649;0.15829318003916;0.0744685612784951;0.0863628613453236;0.0146349716910042;0.103596365328712;0.0468926698206525;0.159615840374903;0.118902157673309;0.106212562840404;0.0530242605656711
Diogo Costa;0.0779963039249457;0.158295251437169;0.0744673762941945;0.0863634228163483;0.0146345844307684;0.103594503855513;0.0468935441980291;0.15961407631854;0.118902487400087;0.106212991015131;0.053025458309274
Evanilson;0.0779966621725017;0.158292285643033;0.074468869087319;0.0863625144105625;0.0146351814466243;0.103597229815806;0.0468922589184221;0.159617139883426;0.118901873295997;0.106212271537122;0.0530237137891863
Francisco Conceicao;0.0779965258355792;0.158293733791422;0.0744683310386431;0.0863631407867339;0.0146348158531777;0.103595741836347;0.0468929709607207;0.159614905540433;0.118902349836496;0.106212823284462;0.0530246612359851
Galeno;0.0779969585168842;0.158289950535723;0.0744696771845364;0.0863618333903024;0.0146356391394079;0.103599224417565;0.0468913250330126;0.159619912525636;0.118901244424055;0.106211771927246;0.0530224629056314
Joao Mario;0.0779966786219268;0.158292298714464;0.0744688287262736;0.0863625941302286;0.0146351485627448;0.103597118572179;0.0468923169799901;0.159616960292855;0.11890189915474;0.106212365857231;0.053023790387367
Nico Gonzalez;0.0779968327184241;0.158290818487069;0.074469592246931;0.0863619920718663;0.0146355077352402;0.103598661697525;0.0468915771150909;0.159618891028959;0.118901516187011;0.106211818251385;0.053022792460498
Otavio;0.077996980179367;0.158288451385183;0.0744705126222711;0.0863605793044276;0.0146362636425848;0.103601566775902;0.0468901602259404;0.159623585101891;0.118900544805395;0.106210438231488;0.0530209177255497
Pepe_14926;0.07799710482103;0.158287763204926;0.0744706612958687;0.0863605519979168;0.014636328606355;0.103601922711178;0.046890008098304;0.159624029931659;0.118900411291003;0.106210506143239;0.0530207118985215
Pepe_66499;0.0779971068507407;0.158288674735308;0.0744702047779039;0.0863613553139609;0.0146359334381319;0.103600467717775;0.0468907318348576;0.159621632354666;0.118900873297121;0.106211352219201;0.0530216674603334
Wendell;0.077996676829486;0.158291878787942;0.0744687961834631;0.0863621814572188;0.014635349378121;0.103597766297705;0.0468919931753913;0.159618490173944;0.118901552651593;0.106211937658757;0.0530233774063792
