;Alex Meret;Amir Rrahmani;Giacomo Raspadori;Giovanni Di Lorenzo;Giovanni Simeone;Hamed Junior Traore;Jens Cajuste;Jesper Lindstrom;Juan Jesus;Khvicha Kvaratskhelia;Mathias Olivera;Matteo Politano;Stanislav Lobotka;Victor Osimhen;Zambo Anguissa
Alex Meret;0.06183553777756;0.102144730242861;0.0302198709567787;0.140614879303994;0.00426826191553063;0.028641670201906;0.0397720651859677;0.0405440519856158;0.0856876909561871;0.0486329190405118;0.0865992836940302;0.0982641159386949;0.0804514480845992;0.0361190596236098;0.116204415092153
Amir Rrahmani;0.0618355288323219;0.102144695638801;0.0302198535794514;0.140614663638706;0.00426827023375564;0.028641687522789;0.0397720450560308;0.0405440568013294;0.0856876670348106;0.0486329048399953;0.0865992084565084;0.0982644310372981;0.0804513391104389;0.036119007251359;0.116204640966405
Giacomo Raspadori;0.061835409967772;0.102144881092772;0.0302200563090283;0.140616414898168;0.00426820995005165;0.0286415849076735;0.0397720114525284;0.0405441353272344;0.0856874608112554;0.048632747962699;0.0865993762046774;0.0982629409261083;0.0804519159381403;0.0361193507388655;0.116203503513026
Giovanni Di Lorenzo;0.0618351547329477;0.102145388818434;0.0302205654224892;0.140620960964231;0.00426805146158077;0.0286413076353852;0.0397719789286838;0.0405443067503166;0.0856870364791681;0.0486324161062433;0.0865999347788525;0.0982587766810906;0.080453498219114;0.0361202651791005;0.116200357842362
Giovanni Simeone;0.0618356929675528;0.102144558283793;0.0302196535862697;0.140613096445342;0.00426832200591165;0.0286417679742278;0.0397721344921416;0.0405439511650494;0.0856879723000264;0.048633127368615;0.0865991917358881;0.0982654424858198;0.0804509157618414;0.0361187244660151;0.116205448961506
Hamed Junior Traore;0.0618354629423389;0.102144765291858;0.0302199437261749;0.140615397868192;0.00426824555852333;0.0286416477044851;0.0397720143585663;0.0405440996921765;0.0856875467954119;0.0486328162118004;0.086599241644264;0.0982638959591906;0.0804515551855416;0.0361191443698413;0.116204222691634
Jens Cajuste;0.0618355225867293;0.102144844393854;0.0302199577427825;0.140615751417368;0.00426823025044898;0.0286416103184888;0.0397720936714332;0.0405440642257322;0.0856876801328429;0.0486329033896522;0.0865994689604377;0.0982631286924052;0.0804518058688412;0.0361192494409472;0.116203688908037
Jesper Lindstrom;0.0618355019393389;0.102144731981738;0.0302198957723538;0.140615019815202;0.00426825808485833;0.028641667190749;0.0397720354548318;0.0405440744545283;0.0856876194583337;0.0486328690207762;0.0865992362671524;0.098264143069536;0.080451452082333;0.0361190759819034;0.116204419426365
Juan Jesus;0.0618354882514493;0.102144911494066;0.0302200254283849;0.140616354398232;0.00426820925050439;0.0286415736664521;0.0397720888607455;0.0405440872468969;0.0856876228734526;0.048632858722145;0.0865995419038489;0.0982625790222854;0.0804520149715713;0.0361193705128511;0.116203273397114
Khvicha Kvaratskhelia;0.061835595991765;0.102144707174894;0.0302198172745816;0.140614507206128;0.00426827349258265;0.0286416854497697;0.0397721062178272;0.0405440151734901;0.0856878036494529;0.048632999205512;0.0865993242618136;0.0982642487422854;0.0804513784353098;0.0361190006979589;0.116204537026628
Mathias Olivera;0.061835436719946;0.102145013988892;0.0302201282211162;0.140617271750693;0.0042681772769944;0.0286415177098795;0.0397720823353452;0.0405441218385926;0.0856875373260157;0.0486327917407535;0.0865996546322566;0.0982617385838338;0.0804523342996304;0.0361195550656094;0.116202638510441
Matteo Politano;0.0618356511735206;0.102144429922443;0.030219594499526;0.140612324503669;0.00426835210996002;0.0286418319652494;0.0397720525227669;0.0405439740775343;0.0856878665266463;0.0486330628006441;0.0865989002167648;0.0982666240094084;0.0804505104891961;0.0361185328965753;0.116206292286096
Stanislav Lobotka;0.0618354082800653;0.102145043820322;0.0302201668893139;0.140617586475425;0.00426816670207967;0.0286415006475121;0.0397720690031864;0.04054414027814;0.0856874854087811;0.0486327534640791;0.086599668459912;0.098261510334357;0.0804524265686117;0.0361196137727022;0.116202459895512
Victor Osimhen;0.0618352914098631;0.102145229863799;0.0302203687644591;0.140619335317406;0.00426810643802614;0.0286413977487549;0.0397720372928361;0.0405442176214792;0.0856872831880095;0.0486325993006637;0.086599840110771;0.0982600124656823;0.0804530053208994;0.0361199575717567;0.116201317585594
Zambo Anguissa;0.0618355544890584;0.102144620774002;0.030219786395927;0.1406140362603;0.00426829245914956;0.028641727699655;0.0397720396618198;0.0405440390220632;0.0856877055113016;0.0486329370286194;0.086599109196231;0.0982650592121575;0.0804511053749951;0.0361188769556786;0.116205109959041
