;Ederson;Erling Haaland;Jacob Wright;John Stones;Josko Gvardiol;Julian Alvarez;Manuel Akanji;Mateo Kovacic;Matheus Nunes;Micah Hamilton;Oscar Bobb;Rico Lewis;Rodri;Ruben Dias;Sergio Gomez
Ederson;0.0333703346649558;0.0133716817450873;0.00680049366514473;0.0334834360864259;0.123193590958195;0.0724710031746645;0.118064272419105;0.149680601554083;0.0439720237885857;0.00624751750098181;0.0546220672006159;0.068439820600482;0.0660554920555632;0.145548104087076;0.064679560499034
Erling Haaland;0.0333701700977769;0.0133716862683836;0.00680044883977066;0.0334837673659594;0.123193418081127;0.0724714095613948;0.118063877038793;0.149680101304345;0.0439718624596087;0.00624754889210341;0.0546224314804912;0.068439636570494;0.0660554983926514;0.145548701098835;0.0646794425482646
Jacob Wright;0.0333707285239767;0.0133715958995877;0.00680058667428408;0.0334822502826893;0.123196305918916;0.0724706020454267;0.118066306084891;0.149682706057052;0.0439720234393264;0.00624749764129905;0.0546212853289634;0.0684392845161014;0.0660552486420204;0.1455440744814;0.0646795044640657
John Stones;0.0333704691147727;0.013371709945401;0.00680052226225074;0.0334831272366471;0.12319435784277;0.07247101864276;0.118064230505927;0.149681419900462;0.0439719285536397;0.00624757481258082;0.0546217643805461;0.068439564322961;0.0660554246862214;0.145546897716762;0.0646799900762978
Josko Gvardiol;0.0333701487757346;0.0133717660730815;0.00680044523230418;0.0334840315305613;0.123192476312279;0.0724714232142254;0.11806274207709;0.149679832237238;0.0439718885933489;0.00624759455502051;0.054622416869558;0.0684398748162856;0.0660555790624989;0.145549822076523;0.0646799585742516
Julian Alvarez;0.0333704350994011;0.0133717355172567;0.00680051467100727;0.0334832766908;0.123193937550878;0.0724710583552394;0.118063796537198;0.149681206179142;0.0439719361329918;0.00624758780078676;0.0546218194083393;0.0684396592194677;0.066055457078226;0.14554746118201;0.0646801185772544
Manuel Akanji;0.0333700024685038;0.0133717604231495;0.00680041788754873;0.0334844736100947;0.12319102886558;0.0724712555831385;0.118062469923034;0.149678713413856;0.0439720839678317;0.00624752306226372;0.0546227134148295;0.0684404069233838;0.066055719786951;0.145551812293941;0.0646796183758931
Mateo Kovacic;0.0333702313256298;0.0133717151603294;0.00680046300102687;0.0334836905399181;0.123193455196419;0.0724713686577083;0.118063625585767;0.149680369371135;0.0439718547467392;0.0062475759081142;0.0546222810409925;0.0684396301529499;0.0660554988862647;0.1455485043282;0.0646797360988069
Matheus Nunes;0.0333706167887457;0.0133715994945086;0.00680056620709884;0.033482614966169;0.123195069738878;0.0724704489363605;0.118066008796012;0.149681807120706;0.0439721825337534;0.00624744446783714;0.0546215031260975;0.0684397348123499;0.0660553759363101;0.145545732457146;0.0646792946180283
Micah Hamilton;0.0333701900582941;0.0133716866713509;0.00680044366568121;0.0334835993417269;0.123194513111464;0.0724717726418462;0.118063963534917;0.149680694726057;0.043971606405584;0.00624761946389986;0.0546224150611078;0.0684390888685797;0.0660553968209796;0.145547406262768;0.0646796033657433
Oscar Bobb;0.0333705290156579;0.0133716850959977;0.00680053559395024;0.0334829121823672;0.123194932831169;0.0724709760954439;0.118064702574887;0.149681781887825;0.0439719120451329;0.00624756781807049;0.0546216565396359;0.0684394263655957;0.0660553758804691;0.14554609728714;0.0646799087866569
Rico Lewis;0.0333703193133059;0.0133716913614984;0.00680049332044853;0.0334835301844863;0.123193136753239;0.0724709090333488;0.118064092190121;0.149680370267686;0.0439721026243998;0.00624750228769408;0.0546220841094541;0.0684400135704251;0.0660555291657882;0.145548660689023;0.0646795651290809
Rodri;0.0333702026875704;0.0133717392829926;0.00680046334772734;0.033483901806086;0.123192410403512;0.0724711460696333;0.118063192415646;0.149679858516587;0.0439720337497505;0.00624754281589943;0.0546223066389404;0.0684400719563652;0.0660555880230594;0.145549768723284;0.0646797735629459
Ruben Dias;0.0333706855204936;0.0133716387469618;0.006800575121553;0.0334824449823986;0.123195849282559;0.0724707093833325;0.118065654467802;0.149682500439846;0.0439719823748868;0.00624753283169955;0.054621348479899;0.0684393324605941;0.0660552930849068;0.145544687261951;0.0646797655611159
Sergio Gomez;0.0333702150634707;0.013371736953209;0.00680045710287676;0.0334837506846672;0.123193443596923;0.0724714979844637;0.118063289954695;0.149680394522513;0.043971793831278;0.0062476071138066;0.0546223073746447;0.0684395545547193;0.0660554885273088;0.145548566747317;0.0646798959881074
