;Andriy Lunin;Antonio Rudiger;Aurelien Tchouameni;Dani Carvajal;Eduardo Camavinga;Federico Valverde;Ferland Mendy;Joselu;Jude Bellingham;Luka Modric;Nacho Fernandez;Rodrygo;Toni Kroos;Vinicius Junior
Andriy Lunin;0.0258824000404922;0.0787388701973708;0.12049492889594;0.104197281709968;0.0502661097915847;0.100473479512925;0.0638545697447532;0.00218595687861414;0.0978100274960548;0.0260349781034602;0.0974179787430337;0.0201607477311407;0.125320742001872;0.0871619291527917
Antonio Rudiger;0.0258827709408076;0.0787377998561279;0.120497822580934;0.104197966681777;0.0502651249744698;0.100472838258956;0.0638525806122177;0.00218599802165134;0.0978112430205518;0.026034521211478;0.0974200860206516;0.0201609253869735;0.125318767563684;0.0871615548697198
Aurelien Tchouameni;0.0258826015406136;0.0787384423666144;0.12049640413409;0.104198002172448;0.0502655840558245;0.100473110096501;0.0638533281831064;0.00218597935371473;0.0978104178663861;0.0260347280187244;0.0974188530923113;0.0201608645663979;0.125320100481971;0.0871615840712967
Dani Carvajal;0.0258827784722723;0.0787392734633758;0.120496603898131;0.104198416228228;0.0502655382824737;0.100473651755101;0.0638529368377783;0.00218602045233574;0.0978099976251731;0.0260344806113632;0.0974183094560843;0.0201608547100971;0.125320613783082;0.0871605244245046
Eduardo Camavinga;0.0258821861780346;0.0787367351361893;0.120495932256532;0.104196415223921;0.0502657691058582;0.10047251184026;0.0638545768613612;0.00218591258489478;0.0978116884418256;0.0260352072522356;0.0974201238336402;0.0201608375669281;0.125318289986136;0.0871638137321834
Federico Valverde;0.0258826518268618;0.0787382100793675;0.120496932126528;0.10419779002992;0.0502654546210323;0.100473235835828;0.0638532083207453;0.00218599534134351;0.0978108636534887;0.0260346438469878;0.0974192501114514;0.0201608919594233;0.12531937379244;0.0871614984545817
Ferland Mendy;0.0258820139465565;0.0787348963997876;0.12049664146068;0.104196389192986;0.0502654289870882;0.100471065726963;0.0638542183528603;0.00218584634516825;0.0978126097678446;0.0260354803184913;0.0974218150296994;0.0201609386885938;0.125317089457764;0.0871655663255172
Joselu;0.0258831578593547;0.0787382043037825;0.120499466766822;0.104200516389027;0.0502644088920303;0.100472200431707;0.0638500734596106;0.00218603213571322;0.0978104096369051;0.0260340835458534;0.0974201130234667;0.02016112026965;0.125320025839541;0.0871601874465353
Jude Bellingham;0.0258823905400275;0.0787353379728907;0.120498000341688;0.104197896711869;0.0502648865346618;0.100470725413532;0.0638525151952865;0.00218588073088633;0.0978121576200129;0.0260350807637869;0.0974220007572863;0.0201610300332653;0.125317726035334;0.0871643713494719
Luka Modric;0.0258819975108465;0.0787350889372731;0.120496463059304;0.104196740571139;0.050265450225669;0.100471038342492;0.0638540578107008;0.00218584484766062;0.0978122806402892;0.0260354821928443;0.0974215417102492;0.0201609454498794;0.125317588517577;0.0871654801840764
Nacho Fernandez;0.0258823061917804;0.0787384115228521;0.12049495428351;0.10419693356003;0.050266110526148;0.100473363019809;0.0638547694136578;0.00218594556731549;0.0978104041019089;0.0260350669103376;0.0974183658773895;0.0201607547311656;0.125320178213212;0.0871624360808834
Rodrygo;0.0258827446054544;0.0787402398266759;0.120495767934445;0.104198044735417;0.0502659121614312;0.100474708503825;0.063853630811243;0.00218605429735695;0.0978095761391505;0.0260344366071088;0.0974171543492865;0.0201607862871767;0.125321139888467;0.0871598038529618
Toni Kroos;0.025882439424371;0.0787384365038329;0.120495706373882;0.104196990449183;0.0502659057214386;0.100473630386384;0.0638543490706099;0.0021859783443722;0.0978107134766013;0.0260348681173477;0.0974186443847683;0.0201607938855942;0.125319609880274;0.0871619339813402
Vinicius Junior;0.0258818537855154;0.0787394760597921;0.120492131675794;0.104194969823172;0.0502672618815359;0.100475200445993;0.0638575542683708;0.00218595348362669;0.0978100505888322;0.0260354437693002;0.0974163075729733;0.0201605532382482;0.125320623221976;0.0871626201848696
