;Achraf Hakimi;Beraldo;Bradley Barcola;Carlos Soler;Fabian Ruiz;Gianluigi Donnarumma;Kang-In Lee;Kylian Mbappe;Lucas Hernandez;Manuel Ugarte;Nordi Mukiele;Nuno Mendes;Ousmane Dembele;Randal Kolo Muani;Vitinha Ferreira;Warren Zaire-Emery
Achraf Hakimi;0.131129321873666;0.0896006541194055;0.0130017969497618;0.00255211163031636;0.0840635622203546;0.035310438421796;0.06115915723271;0.0766774347688518;0.0882937568226053;0.00454664265169244;0.0173159376570552;0.085010710620438;0.09079642570555;0.00255204955280295;0.143087237463341;0.0749027623096529
Beraldo;0.131118971774478;0.0896027260044577;0.0130002316136278;0.00255106009934134;0.0840714510511838;0.0353096379783878;0.0611527726791819;0.0766849212552943;0.0882922546146068;0.00454661994934014;0.0173142457866367;0.0850193485837889;0.0908024842171843;0.00255155192359505;0.14308630682066;0.0748954156482357
Bradley Barcola;0.131138915965524;0.089599683365803;0.013002561692246;0.00255351177200485;0.0840584155865335;0.0353117028972512;0.061164319637188;0.0766697856888293;0.0882943697691786;0.00454679171206144;0.0173166338708652;0.085002202852249;0.0907921355462181;0.00255231525363131;0.143085675355973;0.0749109790344427
Carlos Soler;0.131126762120214;0.0896011087755966;0.013001376069846;0.00255184720037051;0.0840656106060809;0.0353102902922762;0.0611573573030538;0.0766794204211181;0.0882933180884128;0.00454663693828094;0.0173154608066283;0.0850130593061705;0.0907979342578043;0.00255191626088065;0.143087080861204;0.0749008206920623
Fabian Ruiz;0.131119496555296;0.0896026333565127;0.0130002904275115;0.00255108472075623;0.0840711836704256;0.0353097021445044;0.0611528684429163;0.0766847071406883;0.0882921931571087;0.00454662324477048;0.017314292238607;0.0850191267710033;0.0908022126949774;0.00255157171124923;0.143086440951454;0.0748955727722184
Gianluigi Donnarumma;0.131116384011899;0.0896028760045612;0.0129998977844278;0.00255132896626721;0.0840721987327094;0.0353093564219627;0.0611537915844847;0.0766845296805;0.0882936082748419;0.0045466021182489;0.0173140287399715;0.0850188522115918;0.0908037574166007;0.00255143400566457;0.1430845287779;0.074896825268369
Kang-In Lee;0.131129964830261;0.0896011807502038;0.0130014542200817;0.00255231643058356;0.084064699406441;0.035310835271715;0.0611584584548386;0.076677071031789;0.0882929649116041;0.0045467254076617;0.0173154504818131;0.0850105068980855;0.090796921201669;0.00255195721569101;0.143086170322831;0.074903323164731
Kylian Mbappe;0.131118052527954;0.0896027882570896;0.0130000788949904;0.00255136541180484;0.0840715055915681;0.0353095362326203;0.0611539765086605;0.0766839527574784;0.0882932205045569;0.00454662255415465;0.0173141733998072;0.0850181954349169;0.090802993117408;0.00255149747335083;0.143084917201245;0.0748971241323933
Lucas Hernandez;0.131121433867566;0.0896022079397141;0.0130004451390322;0.00255200947954523;0.0840689921828694;0.0353098977202458;0.0611568498915029;0.0766804911242011;0.0882941729666831;0.00454665651958456;0.0173145920380797;0.0850142649821506;0.090801239935135;0.00255161504328916;0.143084060594065;0.0749010705763352
Manuel Ugarte;0.131114448581231;0.0896031773581857;0.0129996801608485;0.00255086425953992;0.0840738379546827;0.0353091706602634;0.0611516379930328;0.0766869608920231;0.0882927639317362;0.00454658013185429;0.0173137455200146;0.0850216604001256;0.0908047743073253;0.00255136541180484;0.143085377190151;0.0748939552471801
Nordi Mukiele;0.131125995046235;0.0896016942076827;0.0130010527838915;0.00255202144646513;0.0840667038130232;0.0353103478089594;0.0611573332261789;0.0766791363467626;0.0882932726246086;0.00454668473381562;0.0173151195113451;0.0850127563827086;0.0907988493529175;0.00255182000727755;0.143085702288828;0.0749015104193011
Nuno Mendes;0.13111131463165;0.0896033192650691;0.0129994021740413;0.0025512324268378;0.0840741818478888;0.0353086925723515;0.0611536579477084;0.076686032588476;0.0882948476154903;0.00454654446925698;0.0173136888502268;0.0850203931884467;0.0908061274871025;0.00255125812640028;0.143083122354748;0.0748961844543051
Ousmane Dembele;0.131120401554098;0.0896027029363618;0.0130002808348292;0.00255113548722003;0.0840711916496428;0.0353098947622702;0.0611526604243123;0.0766844535759757;0.088291775584615;0.00454665186332243;0.0173142213207185;0.0850189110469637;0.0908019884088965;0.00255157560545659;0.143086429276519;0.0748957256687988
Randal Kolo Muani;0.131127807115396;0.08960156738347;0.0130011399130716;0.00255282430604879;0.0840650773577226;0.0353105635098345;0.0611606441632575;0.0766754348366353;0.088294735366242;0.00454673480408804;0.0173153173776052;0.0850084869922348;0.090798135541696;0.00255184720037051;0.143083436239419;0.0749062478929084
Vitinha Ferreira;0.131119701123095;0.0896023646861378;0.0130003278164573;0.00255166358323695;0.0840699978916317;0.0353096619942889;0.0611555643586179;0.0766822375477666;0.0882938544003141;0.00454662444628854;0.0173144708717937;0.0850162257072993;0.0908019835085284;0.00255157412104101;0.143084688892077;0.0748990590514255
Warren Zaire-Emery;0.131133300967187;0.0896002428296998;0.0130020244704752;0.00255272311174263;0.0840616894551001;0.035311057394076;0.0611609996301695;0.076674358652129;0.0882938864405434;0.00454671322605399;0.0173160941282394;0.0850073803993525;0.0907947537948382;0.00255213330431109;0.143086490914946;0.0749061512811357
